"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Андрусяк
Михайло
Миколайович","Антипенко
Ірина
Вікторівна","Бекіш
Ірина
Орестівна","Гладій
Василь
Іванович","Марчук
Володимир
Григорович","Москалик
Микола
Михайлович","Остафійчук
Володимир
Леонідович","Палійчук
Микола
Васильович","Просвєтова
Ольга
Володимирівна","Романовський
Богдан
Петрович","Сливка
Іван
Васильович","Чуднов
Василь
Михайлович","Шатрук
Василь
Іванович","Яворський
Олександр
Павлович","Дата підписання протоколу"
"260048","89","Івано-Франківська область","середня школа, фойє
вул.І.Франка, 5, смт Верховина, Верховинський р-н, Івано-Франківська обл., 78700","1134","441","1119","10","684","9","693","","0","684","9","693","12","681","19","3","0","160","6","0","7","220","1","97","1","153","11","3","29.10.12"
"260049","89","Івано-Франківська область","турбаза, актовий зал
вул.П.Поповича, 9, смт Верховина, Верховинський р-н, Івано-Франківська обл., 78700","486","190","490","1","295","1","296","","0","295","1","296","5","291","8","0","1","75","1","2","0","126","1","45","0","28","4","0","29.10.12"
"260050","89","Івано-Франківська область","районний лісгосп, актовий зал
вул.І.Франка, районний лісгосп, смт Верховина, Верховинський р-н, Івано-Франківська обл., 78700","990","395","975","23","573","22","595","","0","573","22","595","9","586","12","0","0","185","3","4","19","200","1","83","3","63","12","1","29.10.12"
"260051","89","Івано-Франківська область","школа-інтернат, актовий зал
вул.В.Стуса, 6, смт Верховина, Верховинський р-н, Івано-Франківська обл., 78700","666","267","664","21","380","19","399","","0","380","19","399","5","394","11","5","0","111","4","0","4","118","2","67","1","64","6","1","29.10.12"
"260052","89","Івано-Франківська область","школа-сад, актовий зал
вул.М.Грушевського, школа-сад, смт Верховина, Верховинський р-н, Івано-Франківська обл., 78700","1014","441","1003","9","564","9","573","","0","564","9","573","9","564","8","3","1","144","2","1","2","168","1","139","1","88","4","2","29.10.12"
"260053","89","Івано-Франківська область","сільський клуб, актовий зал
сільський клуб, с.Віпче, Верховинський р-н, Івано-Франківська обл., 78700","132","49","128","8","75","8","83","","0","75","8","83","3","80","5","0","0","30","0","1","0","12","0","3","0","29","0","0","29.10.12"
"260054","89","Івано-Франківська область","будинок культури, актовий зал
будинок культури, с.Красник, Верховинський р-н, Івано-Франківська обл., 78705","870","371","867","37","470","29","499","","0","470","29","499","11","488","4","5","2","173","0","1","4","180","2","25","0","67","24","1","29.10.12"
"260055","89","Івано-Франківська область","будинок культури, актовий зал
будинок культури, с.Ільці, Верховинський р-н, Івано-Франківська обл., 78704","1458","649","1448","62","752","57","809","","0","752","57","809","24","785","24","2","4","190","8","0","7","362","2","57","0","119","6","4","29.10.12"
"260056","89","Івано-Франківська область","будинок культури, актовий зал
будинок культури, с.Кривопілля, Верховинський р-н, Івано-Франківська обл., 78706","1068","479","1058","69","523","66","589","","0","523","66","589","11","578","15","11","3","146","4","3","4","271","0","32","2","68","17","2","29.10.12"
"260057","89","Івано-Франківська область","будинок культури, актовий зал
будинок культури, с.Зелене, Верховинський р-н, Івано-Франківська обл., 78730","582","211","575","36","341","30","371","","0","341","30","371","9","362","11","0","1","104","1","1","3","64","1","5","0","112","58","1","28.10.12"
"260058","89","Івано-Франківська область","сільський клуб, актовий зал
сільський клуб, с.Топільче, Верховинський р-н, Івано-Франківська обл., 78730","144","38","137","10","96","10","106","","0","96","10","106","0","106","7","1","1","28","0","0","0","27","0","0","0","40","2","0","29.10.12"
"260059","89","Івано-Франківська область","сільський клуб, актовий зал
сільський клуб, с.Явірник, Верховинський р-н, Івано-Франківська обл., 78733","240","78","239","11","152","10","162","","0","152","10","162","6","156","6","0","1","24","1","0","0","32","0","9","0","67","15","1","29.10.12"
"260060","89","Івано-Франківська область","будинок культури, актовий зал
будинок культури, с.Бистрець, Верховинський р-н, Івано-Франківська обл., 78707","246","92","248","10","146","8","154","","0","146","8","154","3","151","35","1","0","19","0","3","1","60","1","8","0","20","3","0","29.10.12"
"260061","89","Івано-Франківська область","сільський клуб, актовий зал
сільський клуб, с.Дземброня, Верховинський р-н, Івано-Франківська обл., 78707","186","53","184","9","125","8","133","","0","125","8","133","2","131","4","0","0","47","1","0","4","47","0","1","0","21","5","1","29.10.12"
"260062","89","Івано-Франківська область","будинок культури, актовий зал
будинок культури, с.Криворівня, Верховинський р-н, Івано-Франківська обл., 78710","1200","492","1185","81","641","67","708","","0","641","67","708","8","700","15","1","2","239","5","3","2","288","2","41","2","85","10","5","29.10.12"
"260063","89","Івано-Франківська область","сільський клуб, актовий зал
сільський клуб, с.Бережниця, Верховинський р-н, Івано-Франківська обл., 78710","216","95","211","11","111","10","121","","0","111","10","121","6","115","3","1","0","10","1","2","0","75","0","0","0","20","3","0","28.10.12"
"260064","89","Івано-Франківська область","школа, актовий зал
школа, с.Буковець, Верховинський р-н, Івано-Франківська обл., 78711","570","233","564","36","303","34","337","","0","303","34","337","4","333","6","2","4","75","2","1","0","172","1","6","0","57","7","0","29.10.12"
"260065","89","Івано-Франківська область","будинок культури, актовий зал
будинок культури, с.Верхній Ясенів, Верховинський р-н, Івано-Франківська обл., 78712","918","386","910","58","482","50","532","","0","482","50","532","11","521","18","10","1","116","4","1","2","246","7","22","0","84","7","3","29.10.12"
"260066","89","Івано-Франківська область","сільський клуб, актовий зал
сільський клуб, с.Рівня, Верховинський р-н, Івано-Франківська обл., 78712","378","120","372","17","241","17","258","","0","241","17","258","7","251","2","0","0","54","4","2","1","107","0","19","1","55","5","1","28.10.12"
"260067","89","Івано-Франківська область","будинок культури, актовий зал
будинок культури, с.Красноїлля, Верховинський р-н, Івано-Франківська обл., 78716","1050","441","1045","25","587","22","609","","0","587","22","609","12","597","11","1","4","152","2","1","7","323","1","33","2","49","8","3","29.10.12"
"260068","89","Івано-Франківська область","сільський клуб, актовий зал
сільський клуб, с.Перехресне, Верховинський р-н, Івано-Франківська обл., 78716","390","167","389","39","184","39","223","","0","184","39","223","8","215","0","0","1","62","1","1","0","90","0","3","1","52","3","1","29.10.12"
"260069","89","Івано-Франківська область","будинок культури, актовий зал
будинок культури, с.Голови, Верховинський р-н, Івано-Франківська обл., 78723","1098","362","1076","58","686","50","736","","0","686","50","736","18","718","29","3","6","194","0","3","4","373","3","54","0","44","2","3","29.10.12"
"260070","89","Івано-Франківська область","сільський клуб, актовий зал
сільський клуб, с.Чорна Річка, Верховинський р-н, Івано-Франківська обл., 78723","348","128","337","27","195","25","220","","0","195","25","220","8","212","2","2","0","58","1","0","4","107","2","1","2","31","1","1","28.10.12"
"260071","89","Івано-Франківська область","сільська рада, актовий зал
сільська рада, с.Замагора, Верховинський р-н, Івано-Франківська обл., 78720","936","423","936","25","493","20","513","","0","493","20","513","8","505","15","1","1","110","2","2","15","297","0","7","2","49","4","0","29.10.12"
"260072","89","Івано-Франківська область","будинок культури, актовий зал
будинок культури, с.Устеріки, Верховинський р-н, Івано-Франківська обл., 78715","588","174","576","32","383","31","414","","0","383","31","414","10","404","3","0","1","51","3","3","1","196","0","15","1","125","3","2","29.10.12"
"260073","89","Івано-Франківська область","сільський клуб, актовий зал
сільський клуб, с.Барвінків, Верховинський р-н, Івано-Франківська обл., 78713","228","61","228","20","147","20","167","","0","147","20","167","0","167","0","6","1","14","1","0","0","84","2","5","0","52","0","2","29.10.12"
"260074","89","Івано-Франківська область","сільський клуб, актовий зал
сільський клуб, с.Хороцеве, Верховинський р-н, Івано-Франківська обл., 78714","354","117","349","28","213","24","237","","0","213","24","237","12","225","8","3","0","47","0","2","2","92","0","10","3","49","6","3","28.10.12"
"260075","89","Івано-Франківська область","будинок культури, актовий зал
будинок культури, с.Білоберізка, Верховинський р-н, Івано-Франківська обл., 78713","732","290","719","50","395","47","442","","0","395","47","442","9","433","32","2","0","91","3","4","1","100","1","15","7","167","5","5","29.10.12"
"260076","89","Івано-Франківська область","сільський клуб, актовий зал
сільський клуб, с.Білоберізка (присілок Пасічне, Заверх), Верховинський р-н, Івано-Франківська обл., 78713","204","81","203","24","101","22","123","","0","101","22","123","5","118","1","0","0","16","0","1","0","32","2","1","2","63","0","0","29.10.12"
"260077","89","Івано-Франківська область","сільський клуб, актовий зал
сільський клуб, с.Стебні, Верховинський р-н, Івано-Франківська обл., 78722","540","220","537","37","284","36","320","","0","284","36","320","6","314","11","1","2","53","2","1","0","161","1","19","0","62","1","0","28.10.12"
"260078","89","Івано-Франківська область","будинок культури, актовий зал
будинок культури, с.Довгополе, Верховинський р-н, Івано-Франківська обл., 78725","1044","423","1034","89","542","79","621","","0","542","79","621","10","611","8","0","2","200","7","0","3","221","3","78","2","79","6","2","28.10.12"
"260079","89","Івано-Франківська область","сільський клуб, актовий зал
сільський клуб, с.Черемошна, Верховинський р-н, Івано-Франківська обл., 78732","444","155","444","20","269","20","289","","0","269","20","289","7","282","6","2","3","43","3","3","3","139","3","11","1","51","13","1","29.10.12"
"260080","89","Івано-Франківська область","будинок культури, актовий зал
будинок культури, с.Яблуниця, Верховинський р-н, Івано-Франківська обл., 78731","642","175","633","40","427","40","467","","0","427","40","467","4","463","9","4","2","113","1","3","3","203","2","14","3","98","7","1","29.10.12"
"260081","89","Івано-Франківська область","будинок культури, актовий зал
будинок культури, с.Гринява, Верховинський р-н, Івано-Франківська обл., 78734","684","345","677","51","299","40","339","","0","299","40","339","11","328","5","2","1","84","1","1","5","62","0","15","1","141","7","3","29.10.12"
"260082","89","Івано-Франківська область","сільський клуб, актовий зал
сільський клуб, с.Біла Річка, Верховинський р-н, Івано-Франківська обл., 78734","114","27","115","5","82","5","87","","0","82","5","87","6","81","6","0","0","15","0","1","0","31","2","0","0","26","0","0","29.10.12"
"260083","89","Івано-Франківська область","сільський клуб, актовий зал
сільський клуб, с.Голошина, Верховинський р-н, Івано-Франківська обл., 78735","312","106","307","18","191","15","206","","0","191","15","206","8","198","9","3","2","45","0","1","0","59","1","2","1","72","2","1","28.10.12"
"260084","89","Івано-Франківська область","сільська рада, актовий зал
сільська рада, с.Пробійнівка, Верховинський р-н, Івано-Франківська обл., 78736","318","117","310","23","182","19","201","","0","182","19","201","9","192","1","0","0","49","0","0","1","66","1","4","0","57","10","3","29.10.12"
"260085","89","Івано-Франківська область","сільський клуб, актовий зал
сільський клуб, с.Грамотне, Верховинський р-н, Івано-Франківська обл., 78737","246","88","247","26","135","23","158","","0","135","23","158","7","151","6","2","0","23","0","2","1","53","0","1","1","60","2","0","29.10.12"
"260086","89","Івано-Франківська область","Верховинська центральна районна лікарня, актовий зал
вул.Я.Невестюка, 2, смт Верховина, Івано-Франківська обл., 78700","156","114","42","14","28","14","42","","0","28","14","42","0","42","0","0","0","7","0","0","0","20","0","1","0","14","0","0","29.10.12"
"260412","89","Івано-Франківська область","центр дитячої творчості, зал
вул.Незалежності, 42, м.Косів, Косівський р-н, Івано-Франківська обл., 78600","2496","1039","2485","50","1410","47","1457","","0","1410","47","1457","40","1417","33","6","2","694","32","2","5","350","2","3","44","220","12","12","29.10.12"
"260413","89","Івано-Франківська область","інститут прикладного мистецтва, їдальня
вул.Міцкевича, 2, м.Косів, Косівський р-н, Івано-Франківська обл., 78600","2004","783","2007","45","1181","40","1221","","0","1181","40","1221","27","1194","29","3","5","562","4","4","2","336","5","3","49","175","1","16","28.10.12"
"260414","89","Івано-Франківська область","школа №1, актовий зал
вул.Я.Мудрого, 3, м.Косів, Косівський р-н, Івано-Франківська обл., 78600","2160","764","2133","49","1351","45","1396","","0","1351","45","1396","19","1377","37","4","8","760","3","12","3","325","5","7","26","167","10","10","29.10.12"
"260415","89","Івано-Франківська область","школа, їдальня
вул.Шкільна, 8, смт Кути, Косівський р-н, Івано-Франківська обл., 78665","1428","602","1421","60","779","47","826","","0","779","47","826","27","799","27","3","8","375","16","9","4","237","4","2","5","103","4","2","29.10.12"
"260416","89","Івано-Франківська область","будинок культури, приміщення для засідань
вул.Снятинська, 6, смт Кути, Косівський р-н, Івано-Франківська обл., 78665","1554","613","1537","44","904","37","941","","0","904","37","941","22","919","16","2","7","442","16","7","6","281","5","13","1","109","2","12","29.10.12"
"260417","89","Івано-Франківська область","будинок культури, малий зал
вул.Франка, 47, смт Яблунів, Косівський р-н, Івано-Франківська обл., 78621","1326","447","1333","49","832","47","879","","0","832","47","879","14","865","29","2","3","423","7","0","3","176","1","28","3","177","1","12","29.10.12"
"260418","89","Івано-Франківська область","будинок культури, зал
будинок культури, с.Акрешори, Косівський р-н, Івано-Франківська обл., 78618","636","267","629","61","309","60","369","","0","309","60","369","0","369","6","2","0","100","1","0","0","100","1","1","1","156","0","1","29.10.12"
"260419","89","Івано-Франківська область","сільська рада, зал
сільська рада, с.Бабин, Косівський р-н, Івано-Франківська обл., 78651","648","186","642","57","407","55","462","","0","407","55","462","9","453","0","0","1","285","4","0","0","50","1","0","0","110","1","1","29.10.12"
"260420","89","Івано-Франківська область","школа, їдальня
школа, с.Баня-Березів, Косівський р-н, Івано-Франківська обл., 78610","888","281","880","36","571","36","607","","0","571","36","607","14","593","22","1","0","312","3","0","2","116","1","0","113","22","1","0","29.10.12"
"260421","89","Івано-Франківська область","будинок культури, зал
будинок культури, с.Брустурів, Косівський р-н, Івано-Франківська обл., 78641","1038","574","1028","17","447","17","464","","0","447","17","464","19","445","8","0","0","67","5","0","0","67","0","3","1","288","3","3","29.10.12"
"260422","89","Івано-Франківська область","школа, каб.2
вул.Миру, 71, с.Вербовець, Косівський р-н, Івано-Франківська обл., 78605","1644","746","1641","39","866","32","898","","0","866","32","898","24","874","20","3","2","370","12","4","4","249","4","0","107","81","12","6","29.10.12"
"260423","89","Івано-Франківська область","народний дім, зал
вул.Миру, 19, с.Вербовець, Косівський р-н, Івано-Франківська обл., 78605","1212","619","1193","28","572","21","593","","0","572","21","593","21","572","10","1","6","256","13","0","0","165","1","0","53","53","4","10","29.10.12"
"260424","89","Івано-Франківська область","клуб-бібліотека, зал
вул.Л.Українки, 34, с.Старий Косів, Косівський р-н, Івано-Франківська обл., 78605","1290","527","1274","24","741","22","763","","0","741","22","763","16","747","10","6","1","338","4","0","3","170","3","4","94","106","5","3","29.10.12"
"260425","89","Івано-Франківська область","будинок культури, зал
будинок культури, с.Вижній Березів, Косівський р-н, Івано-Франківська обл., 78613","1242","348","1233","68","832","62","894","","0","832","62","894","16","878","69","1","3","580","11","1","0","78","2","2","3","118","3","7","29.10.12"
"260426","89","Івано-Франківська область","адміністративний будинок, зал
адміністративний будинок, с.Великий Рожин, Косівський р-н, Івано-Франківська обл., 78654","1146","582","1144","110","467","97","564","","0","467","97","564","27","537","13","5","4","208","7","1","6","145","0","3","2","125","3","15","29.10.12"
"260427","89","Івано-Франківська область","будинок культури, зал
вул.Незалежності, 48, с.Город, Косівський р-н, Івано-Франківська обл., 78652","402","135","401","16","251","16","267","","0","251","16","267","2","265","2","0","1","120","1","0","3","61","0","0","3","70","4","0","29.10.12"
"260428","89","Івано-Франківська область","будинок культури, малий зал
вул.Головна, будинок культури, с.Кобаки, Косівський р-н, Івано-Франківська обл., 78660","2106","998","2082","64","1051","57","1108","","0","1051","57","1108","31","1077","11","10","3","539","57","4","6","259","3","5","12","153","6","9","29.10.12"
"260429","89","Івано-Франківська область","школа, актовий зал
вул.Шевченка, 5, с.Космач, Косівський р-н, Івано-Франківська обл., 78640","2376","1021","2359","73","1286","69","1355","","0","1286","69","1355","22","1333","12","0","0","174","0","0","0","60","0","0","0","1083","0","4","29.10.12"
"260430","89","Івано-Франківська область","школа, актовий зал
вул.Ставницька, 5, с.Космач, Косівський р-н, Івано-Франківська обл., 78640","468","157","464","9","302","9","311","","0","302","9","311","1","310","1","0","0","43","0","0","1","16","1","0","0","247","1","0","29.10.12"
"260431","89","Івано-Франківська область","школа, спортивний зал
вул.Завояли, 51, с.Космач, Косівський р-н, Івано-Франківська обл., 78640","480","215","480","44","222","43","265","","0","222","43","265","3","262","2","0","1","10","0","0","0","7","0","0","0","240","1","1","29.10.12"
"260432","89","Івано-Франківська область","лісництво, зал засідань
вул.Незалежності, 15А, с.Космач, Косівський р-н, Івано-Франківська обл., 78640","468","254","468","9","205","9","214","","0","205","9","214","5","209","2","0","0","42","0","0","1","13","0","1","1","149","0","0","29.10.12"
"260433","89","Івано-Франківська область","школа, спортивний зал
вул.Бані, 4, с.Космач, Косівський р-н, Івано-Франківська обл., 78640","444","175","442","24","245","24","269","","0","245","24","269","4","265","4","0","0","35","2","0","0","23","0","0","0","201","0","0","29.10.12"
"260434","89","Івано-Франківська область","школа, актовий зал
вул.Рушірська, 84, с.Космач, Косівський р-н, Івано-Франківська обл., 78640","360","137","356","26","200","23","223","","0","200","23","223","3","220","0","0","0","53","0","0","1","4","0","1","1","158","0","2","29.10.12"
"260435","89","Івано-Франківська область","школа, спортивний зал
школа, с.Люча, Косівський р-н, Івано-Франківська обл., 78616","1002","407","1001","40","557","38","595","","0","557","38","595","14","581","9","2","2","227","6","1","1","186","5","18","3","117","0","4","29.10.12"
"260436","89","Івано-Франківська область","будинок культури, зал
будинок культури, с.Лючки, Косівський р-н, Івано-Франківська обл., 78612","408","113","400","33","264","31","295","","0","264","31","295","8","287","3","0","0","96","5","1","0","94","0","2","2","78","2","4","29.10.12"
"260437","89","Івано-Франківська область","будинок культури, зал
будинок культури, с.Малий Рожин, Косівський р-н, Івано-Франківська обл., 78655","690","288","687","26","377","25","402","","0","377","25","402","18","384","13","1","4","208","0","1","1","69","1","1","2","69","6","8","29.10.12"
"260438","89","Івано-Франківська область","будинок культури, зал
вул.Шевченка, 60, с.Микитинці, Косівський р-н, Івано-Франківська обл., 78634","582","238","578","23","322","22","344","","0","322","22","344","15","329","8","6","7","126","16","2","2","98","1","10","3","42","1","7","29.10.12"
"260439","89","Івано-Франківська область","сільська рада, актовий зал
сільська рада, с.Нижній Березів, Косівський р-н, Івано-Франківська обл., 78615","954","272","948","62","620","62","682","","0","620","62","682","17","665","25","8","2","454","0","1","2","105","1","2","1","55","1","8","29.10.12"
"260440","89","Івано-Франківська область","школа, каб.6
вул.30-річчя Перемоги, школа, с.Пістинь, Косівський р-н, Івано-Франківська обл., 78633","1710","742","1702","77","907","61","968","","0","907","61","968","20","948","14","4","4","302","15","0","14","275","2","9","6","279","12","12","29.10.12"
"260441","89","Івано-Франківська область","будинок культури, зал
вул.Українська, будинок культури, с.Пістинь, Косівський р-н, Івано-Франківська обл., 78633","1440","585","1411","38","820","35","855","","0","820","35","855","22","833","11","3","3","266","11","1","12","282","2","18","7","202","6","9","29.10.12"
"260442","89","Івано-Франківська область","будинок культури, зал
будинок культури, с.Прокурава, Косівський р-н, Івано-Франківська обл., 78625","924","377","915","37","510","37","547","","0","510","37","547","12","535","16","2","3","183","3","3","4","85","0","0","3","229","1","3","29.10.12"
"260443","89","Івано-Франківська область","будинок культури, зал
будинок культури, с.Річка, Косівський р-н, Івано-Франківська обл., 78643","1650","899","1639","34","717","34","751","","0","717","34","751","22","729","13","4","6","276","9","2","2","266","4","5","7","92","30","13","30.10.12"
"260444","89","Івано-Франківська область","навчально-виховний комплекс ""Гуцульщина"", зал
вул.Бойчука, 9, с.Рожнів, Косівський р-н, Івано-Франківська обл., 78635","1530","571","1519","51","909","50","959","","0","909","50","959","22","937","10","2","3","586","20","5","4","163","2","2","8","109","10","13","29.10.12"
"260445","89","Івано-Франківська область","будинок культури імені Франка, зал
вул.Франка, 1, с.Рожнів, Косівський р-н, Івано-Франківська обл., 78635","1038","359","1040","55","624","55","679","","0","624","55","679","13","666","7","4","4","376","36","5","4","107","6","7","20","78","6","6","29.10.12"
"260446","89","Івано-Франківська область","будинок культури імені Красовського, зал
вул.Бойчука, 11, с.Рожнів, Косівський р-н, Івано-Франківська обл., 78635","1752","678","1711","18","1056","18","1074","","0","1056","18","1074","29","1045","20","1","3","598","26","9","5","258","1","3","10","87","15","9","29.10.12"
"260447","89","Івано-Франківська область","школа, приміщення для засідань
школа, с.Розтоки, Косівський р-н, Івано-Франківська обл., 78656","1470","775","1462","127","583","112","695","","0","583","112","695","30","665","26","6","3","288","18","5","4","178","4","2","2","110","15","4","29.10.12"
"260448","89","Івано-Франківська область","будинок культури, зал
вул.Шевченка, 51, с.Рибне, Косівський р-н, Івано-Франківська обл., 78661","900","337","895","53","514","49","563","","0","514","49","563","10","553","5","1","1","150","151","0","3","97","0","1","1","142","0","1","29.10.12"
