"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Калетник
Оксана
Миколаївна","Ковальчук
Микола
Анатолійович","Лантух
Олег
Петрович","Лосенко
Михайло
Михайлович","Македон
Юрій
Миколайович","Паримський
Ігор
Святославович","Потурнак
Іван
Євгенійович","Свиридівський
Ярослав
Ігорович","Стойлов
Володимир
Петрович","Дата підписання протоколу"
"050509","16","Вінницька область","фельдшерсько-акушерський пункт, кімната
вул.Шевченка, 2, с.Андріяшівка, Крижопільський р-н, Вінницька обл., 24611","64","19","63","6","39","6","45","","0","39","6","45","0","45","30","2","0","0","13","0","0","0","0","28.10.12"
"050510","16","Вінницька область","школа, фойє
вул.Куйбишева, 6, с.Висока Гребля, Крижопільський р-н, Вінницька обл., 24612","376","128","369","13","239","9","248","","0","239","9","248","7","241","90","4","6","16","121","2","0","0","2","06.11.12"
"050511","16","Вінницька область","сільський клуб, зала
вул.Кірова, 1, с.Кринички, Крижопільський р-н, Вінницька обл., 24612","72","23","66","5","44","5","49","","0","44","5","49","1","48","34","1","0","0","13","0","0","0","0","28.10.12"
"050512","16","Вінницька область","будинок культури, фойє
вул.Сонячна, 29, с.Вербка, Крижопільський р-н, Вінницька обл., 24623","800","324","795","30","449","27","476","","0","449","27","476","24","452","248","5","18","14","151","4","4","2","6","29.10.12"
"050513","16","Вінницька область","школа, фойє
вул.Шкільна, 41, с.Вільшанка, Крижопільський р-н, Вінницька обл., 24624","1152","544","1134","49","565","43","608","","0","565","43","608","37","571","281","11","33","22","196","16","3","5","4","28.10.12"
"050514","16","Вінницька область","сільський клуб, зала
вул.Лісова, 28А, с.Доярня, Крижопільський р-н, Вінницька обл., 24624","88","10","86","0","78","0","78","","0","78","0","78","1","77","62","1","1","0","5","0","0","0","8","29.10.12"
"050515","16","Вінницька область","будинок культури, актова зала
вул.Свердлова, 15, с.Гарячківка, Крижопільський р-н, Вінницька обл., 24622","848","254","833","48","548","46","594","","0","548","46","594","17","577","309","5","15","16","221","5","1","1","4","29.10.12"
"050516","16","Вінницька область","школа, коридор молодших класів
вул.Свердлова, 13, с.Гарячківка, Крижопільський р-н, Вінницька обл., 24622","696","264","687","77","363","69","432","","0","363","69","432","11","421","240","8","17","4","145","2","1","1","3","28.10.12"
"050517","16","Вінницька область","будинок культури, фойє
вул.Фалаштинських, 6, с.Голубече, Крижопільський р-н, Вінницька обл., 24606","1088","420","1076","65","604","64","668","","0","604","64","668","14","654","320","12","26","29","248","9","5","2","3","29.10.12"
"050518","16","Вінницька область","сільський клуб, зала
вул.Клубна, 6, с.Радянське, Крижопільський р-н, Вінницька обл., 24606","328","144","322","24","168","16","184","","0","168","16","184","11","173","76","9","8","2","69","4","0","1","4","06.11.12"
"050519","16","Вінницька область","будинок культури, зала
вул.Леніна, 62, с.Городківка, Крижопільський р-н, Вінницька обл., 24615","1040","435","1029","71","540","65","605","","0","540","65","605","19","586","274","10","22","28","235","6","4","3","4","29.10.12"
"050520","16","Вінницька область","школа №1, їдальня
вул.Жовтого, 26, с.Городківка, Крижопільський р-н, Вінницька обл., 24615","976","482","970","26","478","16","494","","0","478","16","494","24","470","226","13","22","13","186","5","3","1","1","28.10.12"
"050521","16","Вінницька область","професійний будівельний ліцей, клас гуртожитку
вул.60 років СРСР, 9, с.Городківка, Крижопільський р-н, Вінницька обл., 24615","1392","757","1379","9","629","6","635","","0","629","6","635","9","626","236","11","17","40","294","16","3","3","6","29.10.12"
"050522","16","Вінницька область","дитяча установа №3, гральна кімната
вул.Комсомольська, 79, с.Городківка, Крижопільський р-н, Вінницька обл., 24615","808","358","791","29","421","29","450","","0","421","29","450","13","437","189","5","14","16","206","4","0","0","3","28.10.12"
"050523","16","Вінницька область","клуб 4-ї дільниці, кімната
вул.Шевченка, 25, с.Городківка, Крижопільський р-н, Вінницька обл., 24615","544","184","535","32","328","32","360","","0","328","32","360","15","345","196","7","6","8","125","0","0","1","2","28.10.12"
"050524","16","Вінницька область","будинок культури, мала зала
вул.Леніна, 44, с.Дахталія, Крижопільський р-н, Вінницька обл., 24614","240","71","233","21","149","20","169","","0","149","20","169","1","168","141","3","2","2","19","0","1","0","0","29.10.12"
"050525","16","Вінницька область","сільський клуб, фойє
вул.Леніна, 11, с.Мар’янівка, Крижопільський р-н, Вінницька обл., 24614","128","42","121","20","69","17","86","","0","69","17","86","1","85","60","2","1","2","16","0","2","0","2","29.10.12"
"050526","16","Вінницька область","школа, клас української мови
вул.Тельмана, 115А, с.Джугастра, Крижопільський р-н, Вінницька обл., 24620","264","76","258","34","163","25","188","","0","163","25","188","9","179","105","2","4","4","63","0","0","0","1","29.10.12"
"050527","16","Вінницька область","будинок культури, велика зала
вул.Шкільна, 28А, с.Джугастра, Крижопільський р-н, Вінницька обл., 24620","208","47","206","19","144","17","161","","0","144","17","161","3","158","97","1","3","5","47","2","1","1","1","29.10.12"
"050528","16","Вінницька область","будинок культури, фойє
вул.Шкільна, 10, с.Леонівка, Крижопільський р-н, Вінницька обл., 24620","152","57","151","28","77","18","95","","0","77","18","95","4","91","38","0","0","3","47","0","2","0","1","28.10.12"
"050529","16","Вінницька область","будинок культури, мала зала
вул.Ворошилова, 2, с.Жабокрич, Крижопільський р-н, Вінницька обл., 24640","808","252","796","42","514","42","556","","0","514","42","556","16","540","177","9","22","18","296","8","2","2","6","29.10.12"
"050530","16","Вінницька область","школа, коридор
вул.Миру, 2, с.Жабокрич, Крижопільський р-н, Вінницька обл., 24640","664","211","652","34","422","31","453","","0","422","31","453","17","436","168","4","16","8","226","4","4","0","6","29.10.12"
"050531","16","Вінницька область","будинок культури, фойє
вул.Леніна, 14, с.Заболотне, Крижопільський р-н, Вінницька обл., 24631","680","194","677","30","458","28","486","","0","458","28","486","7","479","319","9","8","12","120","4","1","1","5","29.10.12"
"050532","16","Вінницька область","сільський клуб, зала
вул.1-го Травня, 5, с.Кісниця, Крижопільський р-н, Вінницька обл., 24613","312","81","307","27","208","23","231","","0","208","23","231","7","224","128","7","9","8","69","1","0","0","2","28.10.12"
"050533","16","Вінницька область","будинок культури, танцювальна зала
вул.Жовтнева, 1Б, с.Красносілка, Крижопільський р-н, Вінницька обл., 24625","424","144","416","39","244","36","280","","0","244","36","280","8","272","156","10","3","10","83","3","1","1","5","28.10.12"
"050534","16","Вінницька область","сільський клуб, зала
вул.Перемоги, 112, с.Зеленянка, Крижопільський р-н, Вінницька обл., 24626","456","123","451","42","291","42","333","","0","291","42","333","13","320","194","7","2","5","107","2","0","1","2","28.10.12"
"050535","16","Вінницька область","будинок культури, молодіжна зала
вул.Кірова, 61, с.Крикливець, Крижопільський р-н, Вінницька обл., 24641","808","275","799","31","505","28","533","","0","505","28","533","10","523","232","5","43","14","220","3","2","0","4","28.10.12"
"050536","16","Вінницька область","сільський клуб, зала
вул.К.Маркса, 46, с.Іллівка, Крижопільський р-н, Вінницька обл., 24642","184","41","176","5","140","3","143","","0","140","3","143","1","142","90","0","1","1","46","0","2","1","1","28.10.12"
"050537","16","Вінницька область","будинок культури, зала
вул.Шевченка, 107, с.Куниче, Крижопільський р-н, Вінницька обл., 24632","456","138","448","47","275","43","318","","0","275","43","318","6","312","207","4","3","5","86","5","0","0","2","30.10.12"
"050538","16","Вінницька область","будинок культури, зала
вул.Леніна, 86, с.Павлівка, Крижопільський р-н, Вінницька обл., 24643","432","104","435","52","280","48","328","","0","280","48","328","5","323","138","8","10","9","150","2","1","2","3","28.10.12"
"050539","16","Вінницька область","школа, актова зала
вул.Шевченка, 30, с.Савчине, Крижопільський р-н, Вінницька обл., 24610","344","102","338","25","217","25","242","","0","217","25","242","9","233","118","0","2","5","107","1","0","0","0","28.10.12"
"050540","16","Вінницька область","клуб цукрозаводу, фойє
вул.Службова, 1, с.Соколівка, Крижопільський р-н, Вінницька обл., 24633","704","285","696","26","396","23","419","","0","396","23","419","9","410","197","11","18","13","114","44","1","0","12","29.10.12"
"050541","16","Вінницька область","будинок культури, велика зала
вул.Леніна, 2, с.Соколівка, Крижопільський р-н, Вінницька обл., 24633","672","258","671","45","375","39","414","","0","375","39","414","14","400","151","9","14","9","165","41","2","0","9","29.10.12"
"050542","16","Вінницька область","школа, фойє
вул.Толстого, 2, с.Левків, Крижопільський р-н, Вінницька обл., 24634","512","166","503","39","307","39","346","","0","307","39","346","11","335","193","7","5","7","92","23","2","0","6","29.10.12"
"050543","16","Вінницька область","будинок культури, фойє
вул.Леніна, 91В, с.Тернівка, Крижопільський р-н, Вінницька обл., 24605","632","184","619","49","405","43","448","","0","405","43","448","12","436","247","7","17","34","120","2","4","2","3","28.10.12"
"050544","16","Вінницька область","сільський клуб, зала
пров.Бичковського, 5А, с.Тернівка, Крижопільський р-н, Вінницька обл., 24605","720","253","708","28","444","23","467","","0","444","23","467","17","450","218","7","10","25","177","3","3","0","7","28.10.12"
"050545","16","Вінницька область","сільський клуб, фойє
вул.Суворова, 62, с.Шарапанівка, Крижопільський р-н, Вінницька обл., 24630","256","110","250","27","123","23","146","","0","123","23","146","7","139","70","4","3","8","52","0","1","0","1","28.10.12"
"050546","16","Вінницька область","будинок культури, фойє
вул.Калініна, 25, с.Шарапанівка, Крижопільський р-н, Вінницька обл., 24630","440","180","438","34","233","27","260","","0","233","27","260","11","249","137","8","8","8","69","6","3","2","8","29.10.12"
"050547","16","Вінницька область","будинок культури, танцювальна зала
вул.Леніна, 1, смт Крижопіль, Крижопільський р-н, Вінницька обл., 24600","2504","1040","2486","37","1431","33","1464","","0","1431","33","1464","30","1434","606","26","45","67","616","44","8","4","18","29.10.12"
"050548","16","Вінницька область","кінотеатр ""Мир"", друге фойє
вул.К.Маркса, 55, смт Крижопіль, Крижопільський р-н, Вінницька обл., 24600","2520","948","2488","37","1535","37","1572","","0","1535","37","1572","42","1530","685","23","52","47","664","28","9","2","20","30.10.12"
"050549","16","Вінницька область","професійний будівельний ліцей, фойє
вул.Чабанюка, 7, смт Крижопіль, Крижопільський р-н, Вінницька обл., 24600","2504","1055","2488","27","1428","21","1449","","0","1428","21","1449","28","1421","568","25","37","54","655","56","12","4","10","29.10.12"
"050550","16","Вінницька область","виправний центр №113, клас службової підготовки
вул.Леніна, 106, с.Городківка, Крижопільський р-н, Вінницька обл., 24615","344","13","331","3","328","3","331","","0","328","3","331","8","323","308","2","2","4","3","1","0","1","2","28.10.12"
"050671","16","Вінницька область","будинок культури, зал
вул.Леніна, 56, смт Вендичани, Могилів-Подільський р-н, Вінницька обл., 24032","1472","720","1464","84","682","70","752","","0","682","70","752","51","701","151","7","125","46","342","15","5","1","9","28.10.12"
"050672","16","Вінницька область","середня школа, спортивний зал
вул.Леніна, 73, смт Вендичани, Могилів-Подільський р-н, Вінницька обл., 24032","1656","912","1636","38","711","33","744","","0","711","33","744","15","729","143","16","145","41","350","16","10","3","5","28.10.12"
"050673","16","Вінницька область","сільський клуб, зал
вул.Жовтнева, 51, с.Тарасівка, Могилів-Подільський р-н, Вінницька обл., 24032","256","104","256","13","139","13","152","","0","139","13","152","5","147","26","3","21","12","70","7","1","1","6","29.10.12"
"050674","16","Вінницька область","Борщівецький загально-навчальний заклад, актовий зал
вул.Ворошилова, 18, с.Борщівці, Могилів-Подільський р-н, Вінницька обл., 24033","656","293","654","22","342","21","363","","0","342","21","363","17","346","89","5","44","9","193","3","1","0","2","28.10.12"
"050675","16","Вінницька область","сільський клуб, глядацький зал
вул.Левадівська, 3, с.Бернашівка, Могилів-Подільський р-н, Вінницька обл., 24054","136","33","138","11","94","9","103","","0","94","9","103","7","96","72","0","13","0","10","0","0","1","0","06.11.12"
"050676","16","Вінницька область","сільський клуб, зал для глядачів
вул.Леніна, 18, с.Бандишівка, Могилів-Подільський р-н, Вінницька обл., 24054","456","160","448","28","268","28","296","","0","268","28","296","8","288","56","0","159","4","62","4","0","0","3","06.11.12"
"050677","16","Вінницька область","будинок культури, зал
вул.50-річчя Жовтня, 11, с.Бронниця, Могилів-Подільський р-н, Вінницька обл., 24052","1080","365","1084","32","683","32","715","","0","683","32","715","15","700","184","2","272","13","207","12","3","1","6","29.10.12"
"050678","16","Вінницька область","школа, клас 2
вул.Шкільна, 17, с.Григорівка, Могилів-Подільський р-н, Вінницька обл., 24052","336","144","325","28","171","21","192","","0","171","21","192","3","189","42","0","60","2","78","2","2","0","3","28.10.12"
"050679","16","Вінницька область","школа, зал
вул.Вишнева, 44, с.Оленівка, Могилів-Подільський р-н, Вінницька обл., 24052","376","105","368","18","253","18","271","","0","253","18","271","1","270","22","2","177","3","54","6","2","0","4","29.10.12"
"050680","16","Вінницька область","будинок культури, фойє
вул.Базарна, 2, с.Грушка, Могилів-Подільський р-н, Вінницька обл., 24050","272","91","275","18","163","18","181","","0","163","18","181","3","178","48","1","92","2","22","4","1","0","8","30.10.12"
"050681","16","Вінницька область","сільський клуб, глядацький зал
вул.Жовтнева, 21, с.Садки, Могилів-Подільський р-н, Вінницька обл., 24050","264","53","267","23","188","23","211","","0","188","23","211","2","209","74","2","93","6","9","4","1","0","20","28.10.12"
"050682","16","Вінницька область","школа, фойє
вул.Леніна, 29, с.Слобода-Шлишковецька, Могилів-Подільський р-н, Вінницька обл., 24051","336","103","325","26","207","26","233","","0","207","26","233","2","231","68","0","98","10","34","5","0","0","16","30.10.12"
"050683","16","Вінницька область","сільська рада, актовий зал
вул.Котовського, 27, с.Жеребилівка, Могилів-Подільський р-н, Вінницька обл., 24010","280","87","276","18","175","18","193","","0","175","18","193","11","182","88","4","29","8","43","7","1","0","2","28.10.12"
"050684","16","Вінницька область","початкова школа, клас початкової школи
вул.Шкільна, 26, с.Іракліївка, Могилів-Подільський р-н, Вінницька обл., 24010","104","41","100","9","54","9","63","","0","54","9","63","1","62","41","0","1","0","13","3","0","0","4","28.10.12"
"050685","16","Вінницька область","дошкільний навчальний заклад, ігрова
вул.Леніна, 1, с.Карпівка, Могилів-Подільський р-н, Вінницька обл., 24045","552","235","544","16","301","16","317","","0","301","16","317","16","301","118","3","46","14","101","4","2","1","12","28.10.12"
"050686","16","Вінницька область","будинок культури, фойє
вул.70-річчя Жовтня, 7, с.Козлів, Могилів-Подільський р-н, Вінницька обл., 24021","432","124","430","10","298","10","308","","0","298","10","308","6","302","60","4","85","9","125","7","1","0","11","29.10.12"
"050687","16","Вінницька область","сільський клуб, зал
вул.Леніна, 71, с.Липчани, Могилів-Подільський р-н, Вінницька обл., 24022","416","133","411","19","264","19","283","","0","264","19","283","10","273","69","2","39","10","145","2","2","0","4","02.11.12"
"050688","16","Вінницька область","фельдшерсько-акушерський пункт, зал
вул.Шевченка, 37, с.Нагоряни, Могилів-Подільський р-н, Вінницька обл., 24023","192","58","190","10","124","10","134","","0","124","10","134","5","129","90","0","10","7","20","0","0","0","2","29.10.12"
"050689","16","Вінницька область","будинок культури, зал
вул.Леніна, 46, с.Конева, Могилів-Подільський р-н, Вінницька обл., 24042","352","88","346","22","245","19","264","","0","245","19","264","15","249","115","2","81","9","36","2","3","0","1","29.10.12"
"050690","16","Вінницька область","сільський клуб, фойє
вул.О.Кошового, 1/2, с.Садова, Могилів-Подільський р-н, Вінницька обл., 24042","184","51","187","25","111","22","133","","0","111","22","133","7","126","58","0","39","5","21","1","1","0","1","28.10.12"
"050691","16","Вінницька область","сільський клуб, глядацький зал
вул.Овсяннікова, 2, с.Кремінне, Могилів-Подільський р-н, Вінницька обл., 24027","432","192","435","22","220","20","240","","0","220","20","240","13","227","89","0","31","9","83","2","2","0","11","28.10.12"
"050692","16","Вінницька область","будинок культури, зал
вул.Леніна, 15А, с.Кричанівка, Могилів-Подільський р-н, Вінницька обл., 24034","440","175","438","17","251","14","265","","0","251","14","265","6","259","60","0","24","9","155","9","1","0","1","29.10.12"
"050693","16","Вінницька область","будинок культури, зал
вул.Леніна, 46, с.Кукавка, Могилів-Подільський р-н, Вінницька обл., 24011","784","323","779","45","416","45","461","","0","416","45","461","8","453","126","2","84","19","205","8","1","4","4","29.10.12"
"050694","16","Вінницька область","школа, спортивний зал
вул.Жовтнева, 1, с.Ломазів, Могилів-Подільський р-н, Вінницька обл., 24013","168","41","168","10","117","10","127","","0","117","10","127","10","117","54","0","8","4","45","3","1","1","1","31.10.12"
"050695","16","Вінницька область","сільський клуб, коридор
вул.Піонерська, 47, с.Нижчий Ольчедаїв, Могилів-Подільський р-н, Вінницька обл., 24013","248","95","241","33","120","33","153","","0","120","33","153","4","149","74","1","13","2","52","6","0","0","1","28.10.12"
"050696","16","Вінницька область","школа, спортивний зал
вул.Центральна, 8А, с.Мервинці, Могилів-Подільський р-н, Вінницька обл., 24063","248","90","253","36","128","30","158","","0","128","30","158","1","157","32","2","78","3","38","0","1","0","3","28.10.12"
"050697","16","Вінницька область","сільський клуб, глядацький зал
вул.Юності, 20, с.Немія, Могилів-Подільський р-н, Вінницька обл., 24006","1696","801","1673","69","832","63","895","","0","832","63","895","27","868","194","11","142","68","423","6","6","0","18","29.10.12"
"050698","16","Вінницька область","будинок культури, фойє
вул.Щорса, 17, с.Озаринці, Могилів-Подільський р-н, Вінницька обл., 24041","1200","392","1194","38","771","37","808","","0","771","37","808","31","777","179","3","146","30","390","13","5","2","9","29.10.12"
"050699","16","Вінницька область","будинок культури, фойє
вул.Гагаріна, 7, с.Пилипи, Могилів-Подільський р-н, Вінницька обл., 24046","272","103","264","30","141","28","169","","0","141","28","169","8","161","66","1","33","4","47","8","0","0","2","28.10.12"
"050700","16","Вінницька область","початкова школа, зал
вул.Леніна, 4, с.Шлишківці, Могилів-Подільський р-н, Вінницька обл., 24046","160","52","163","24","88","20","108","","0","88","20","108","6","102","34","0","24","5","28","6","0","1","4","28.10.12"
"050701","16","Вінницька область","сільський клуб, зал
вул.Піонерська, 3, с.Серебринці, Могилів-Подільський р-н, Вінницька обл., 24014","600","240","596","35","328","32","360","","0","328","32","360","19","341","60","2","158","14","90","9","4","1","3","29.10.12"
"050702","16","Вінницька область","сільський клуб, зал
вул.Горького, 5/2, с.Грабарівка, Могилів-Подільський р-н, Вінницька обл., 24015","328","106","325","34","197","25","222","","0","197","25","222","5","217","85","4","69","6","49","4","0","0","0","28.10.12"
"050703","16","Вінницька область","будинок культури, зал
вул.Леніна, 138, с.Серебрія, Могилів-Подільський р-н, Вінницька обл., 24026","2088","964","2077","38","1086","38","1124","","0","1086","38","1124","34","1090","194","5","491","113","264","6","3","0","14","29.10.12"
"050704","16","Вінницька область","будинок культури, зал
вул.Шевченка, 28, с.Сказинці, Могилів-Подільський р-н, Вінницька обл., 24044","392","184","369","4","204","4","208","","0","204","4","208","8","200","73","2","24","10","79","8","1","0","3","28.10.12"
"050705","16","Вінницька область","фельдшерсько-акушерський пункт, зал
вул.Леніна, 70, с-ще Коштуля, Могилів-Подільський р-н, Вінницька обл., 24044","72","21","68","2","49","2","51","","0","49","2","51","3","48","22","1","5","3","13","3","0","1","0","28.10.12"
"050706","16","Вінницька область","сільська рада, обрядовий зал
вул.Миру, 15, с.Сказинці, Могилів-Подільський р-н, Вінницька обл., 24043","280","143","276","6","131","6","137","","0","131","6","137","2","135","40","3","41","12","33","0","2","1","3","28.10.12"
"050707","16","Вінницька область","будинок культури, зал
вул.Леніна, 7А, с.Сліди, Могилів-Подільський р-н, Вінницька обл., 24035","448","177","450","24","250","21","271","","0","250","21","271","14","257","113","4","46","10","68","7","3","2","4","29.10.12"
"050708","16","Вінницька область","будинок культури, зал
вул.Леніна, 135, с.Слобода-Яришівська, Могилів-Подільський р-н, Вінницька обл., 24016","432","167","425","12","253","12","265","","0","253","12","265","9","256","96","2","58","12","75","6","1","2","4","28.10.12"
"050709","16","Вінницька область","сільський клуб, зал
вул.Комунарів, 24, с.Яструбна, Могилів-Подільський р-н, Вінницька обл., 24016","96","17","95","6","73","6","79","","0","73","6","79","2","77","48","1","1","0","22","3","0","1","1","28.10.12"
"050710","16","Вінницька область","сільська рада, зал засідань
вул.Леніна, 2, с.Суботівка, Могилів-Подільський р-н, Вінницька обл., 24060","352","105","346","33","215","32","247","","0","215","32","247","8","239","78","0","94","1","63","0","2","1","0","28.10.12"
"050711","16","Вінницька область","школа, коридор
вул.Шкільна, 1, с.Садківці, Могилів-Подільський р-н, Вінницька обл., 24061","280","77","290","34","172","31","203","","0","172","31","203","9","194","78","2","61","1","43","4","2","2","1","28.10.12"
"050712","16","Вінницька область","будинок культури, фойє
вул.Леніна, 9, с.Сугаки, Могилів-Подільський р-н, Вінницька обл., 24031","1080","496","1068","47","547","37","584","","0","547","37","584","22","562","237","9","94","26","159","27","3","3","4","29.10.12"
"050713","16","Вінницька область","будинок культури, зал
вул.Леніна, 2, с.Тропове, Могилів-Подільський р-н, Вінницька обл., 24030","624","236","617","24","368","20","388","","0","368","20","388","17","371","138","2","27","12","149","11","25","1","6","30.10.12"
"050714","16","Вінницька область","будинок культури, фойє
вул.1-го Травня, 4/59, с.Хоньківці, Могилів-Подільський р-н, Вінницька обл., 24020","632","235","620","35","368","29","397","","0","368","29","397","7","390","91","0","72","29","186","5","1","3","3","28.10.12"
"050715","16","Вінницька область","будинок культури, зал
вул.Леніна, 235, с.Юрківці, Могилів-Подільський р-н, Вінницька обл., 24040","1040","489","1033","31","522","29","551","","0","522","29","551","8","543","107","2","150","47","171","13","0","0","53","29.10.12"
"050716","16","Вінницька область","будинок культури, зал
вул.Леніна, 1, с.Яришів, Могилів-Подільський р-н, Вінницька обл., 24024","1216","504","1209","88","633","79","712","","0","633","79","712","24","688","253","9","158","41","198","12","2","3","12","30.10.12"
"050717","16","Вінницька область","сільський клуб, зал
вул.Леніна, 78, с.Лядова, Могилів-Подільський р-н, Вінницька обл., 24025","448","158","445","22","269","21","290","","0","269","21","290","14","276","80","1","71","11","101","3","2","1","6","30.10.12"
"050718","16","Вінницька область","будинок культури, зал
вул.Дністровська, 39, с.Яруга, Могилів-Подільський р-н, Вінницька обл., 24062","424","138","416","39","247","39","286","","0","247","39","286","6","280","73","2","73","8","108","9","1","1","5","28.10.12"
"050719","16","Вінницька область","сільський клуб, зал
вул.Кірова, 127, с.Івонівка, Могилів-Подільський р-н, Вінницька обл., 24063","280","88","282","24","171","21","192","","0","171","21","192","0","192","66","2","68","3","49","4","0","0","0","29.10.12"
"050720","16","Вінницька область","приміщення установи, актовий зал
вул.Миру, 1, с.Воєводчинці, Могилів-Подільський р-н, Вінницька обл., 24043","648","1","648","0","647","0","647","","0","647","0","647","17","630","610","2","4","5","8","0","0","0","1","29.10.12"
"050892","16","Вінницька область","школа №1-гімназія, спортзал
вул.Леніна, 46, смт Піщанка, Піщанський р-н, Вінницька обл., 24700","1472","614","1441","33","828","30","858","","0","828","30","858","22","836","298","86","46","31","339","21","3","2","10","28.10.12"
"050893","16","Вінницька область","районний будинок культури, приміщення для засідань
вул.Леніна, 38, смт Піщанка, Піщанський р-н, Вінницька обл., 24700","1216","578","1199","23","620","18","638","","0","620","18","638","13","625","242","46","27","14","274","11","2","3","6","29.10.12"
"050894","16","Вінницька область","школа №2, спортзал
вул.Щорса, 2, смт Піщанка, Піщанський р-н, Вінницька обл., 24700","1584","729","1552","35","830","25","855","","0","830","25","855","22","833","304","52","31","30","394","10","2","4","6","29.10.12"
"050895","16","Вінницька область","клуб ВК №59, приміщення для засідань
вул.Центральна, 1, с-ще Трудове, Піщанський р-н, Вінницька обл., 24703","344","108","329","3","233","3","236","","0","233","3","236","7","229","97","41","1","14","73","1","1","0","1","30.10.12"
"050896","16","Вінницька область","приміщення селищної ради, зал засідань
вул.Леніна, 113, смт Рудниця, Піщанський р-н, Вінницька обл., 24723","936","363","925","38","536","37","573","","0","536","37","573","25","548","188","34","37","33","216","18","7","3","12","29.10.12"
"050897","16","Вінницька область","приміщення сільської ради, приміщення для засідань
вул.Коцюбинського, 1, с.Болган, Піщанський р-н, Вінницька обл., 24712","944","392","942","54","512","40","552","","0","512","40","552","25","527","277","22","45","10","155","3","3","3","9","28.10.12"
