"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Анікушин
Сергій
Ігорович","Бахтеєва
Тетяна
Дмитрівна","Лук’янець
Володимир
Васильович","Талишев
Євген
Іванович","Шейко
Вольга
Василівна","Юрчак
Вадим
Олександрович","Дата підписання протоколу"
"000001","42","Донецька область","Донецький слідчий ізолятор
вул.Кобозєва, 4, м. Донецьк, 83086","2416","138","2290","201","2078","200","2278","","0","2078","200","2278","414","1864","182","1153","176","67","169","117","29.10.12"
"000002","42","Донецька область","Ізолятор тимчасового тримання 
вул.Красноармійська, 18, м.Донецьк, 83036","64","32","32","0","32","0","32","","0","32","0","32","2","30","2","14","4","5","4","1","28.10.12"
"141632","42","Донецька область","спеціалізована дитяча юнацька школа олімпійського резерву №1 з легкої атлетики, хол, 1-й поверх
просп.Дзержинського, 5, м.Донецьк, 83086","1872","822","1871","34","1021","29","1050","","0","1021","29","1050","53","997","31","651","123","23","89","80","29.10.12"
"141633","42","Донецька область","ККП Донецької міської ради ""Донелектроавтотранс"", хол, 1-й поверх
вул.Донецька, 39, м.Донецьк, 83086","1392","653","1382","42","697","42","739","","0","697","42","739","32","707","21","511","69","16","58","32","29.10.12"
"141634","42","Донецька область","школа №9, молодший блок, 1-й поверх
вул.50-річчя СРСР, 104, м.Донецьк, 83001","1928","817","1899","42","1077","34","1111","","0","1077","34","1111","35","1076","22","644","124","43","134","109","29.10.12"
"141635","42","Донецька область","школа №9, центральний блок, хол, 1-й поверх
вул.50-річчя СРСР, 104, м.Донецьк, 83001","1800","726","1782","51","1031","43","1074","","0","1031","43","1074","39","1035","22","612","156","42","105","98","29.10.12"
"141636","42","Донецька область","школа №9, центральний блок, хол, 1-й поверх
вул.50-річчя СРСР, 104, м.Донецьк, 83001","2320","951","2292","44","1327","42","1369","","0","1327","42","1369","61","1308","37","763","199","37","156","116","29.10.12"
"141637","42","Донецька область","ліцей №22 ""Лідер"", актова зала, 2-й поверх
вул.Зелена, 1, м.Донецьк, 83015","1704","733","1719","58","924","47","971","","0","924","47","971","54","917","20","533","134","25","114","91","29.10.12"
"141638","42","Донецька область","Донецький навчально-виховний комплекс №5 імені М.П.Бойка, їдальня, 1-й поверх
бульв.Шкільний, 5, м.Донецьк, 83015","1920","706","1924","25","1189","25","1214","","0","1189","25","1214","48","1166","38","704","144","38","142","100","29.10.12"
"141639","42","Донецька область","Донецький навчально-виховний комплекс №5 імені М.П.Бойка, хол, 2-й поверх
бульв.Шкільний, 5, м.Донецьк, 83015","984","399","991","31","556","29","585","","0","556","29","585","28","557","17","368","54","26","60","32","29.10.12"
"141640","42","Донецька область","Донецький навчально-виховний комплекс №5 імені М.П.Бойка, хол, 2-й поверх
бульв.Шкільний, 5, м.Донецьк, 83015","1280","549","1292","55","678","53","731","","0","678","53","731","23","708","19","446","91","23","65","64","29.10.12"
"141641","42","Донецька область","Донецький український гуманітарний колегіум, актова зала, 2-й поверх
бульв.Шкільний, 15, м.Донецьк, 83015","1464","640","1471","34","794","30","824","","0","794","30","824","19","805","32","484","119","28","81","61","29.10.12"
"141642","42","Донецька область","Донецький національний технічний університет, корпус №3, хол, 1-й поверх
вул.Артема, 96, м.Донецьк, 83050","1048","323","1098","9","717","8","725","","0","717","8","725","32","693","31","463","75","12","64","48","29.10.12"
"141643","42","Донецька область","Донецький національний технічний університет, гуртожиток №9, хол, 1-й поверх
вул.Челюскінців, 184А, м.Донецьк, 83100","1608","410","1610","0","1198","0","1198","","0","1198","0","1198","54","1144","47","804","108","12","122","51","29.10.12"
"141644","42","Донецька область","Донецький національний технічний університет, гуртожиток №4, хол, 1-й поверх
просп.Ватутіна, 36, м.Донецьк, 83015","1056","471","1037","26","562","23","585","","0","562","23","585","15","570","16","332","77","13","71","61","29.10.12"
"141645","42","Донецька область","Донецький Державний університет управління, хол, 1-й поверх
вул.Челюскінців, 163А, м.Донецьк, 83015","2248","719","2230","62","1473","56","1529","","0","1473","56","1529","83","1446","44","973","152","37","151","89","29.10.12"
"141646","42","Донецька область","школа №17, хол, 1-й поверх
пров.Орєшкова, 16, м.Донецьк, 83050","1488","626","1509","15","848","14","862","","0","848","14","862","53","809","14","481","123","27","95","69","29.10.12"
"141647","42","Донецька область","школа №17, спортивна зала, 1-й поверх
пров.Орєшкова, 16, м.Донецьк, 83050","1176","442","1179","21","715","19","734","","0","715","19","734","31","703","23","379","97","26","102","76","29.10.12"
"141648","42","Донецька область","Донецька обласна філармонія, хол, 1-й поверх
вул.Постишева, 117, м.Донецьк, 83001","1832","732","1811","47","1057","43","1100","","0","1057","43","1100","41","1059","36","629","158","37","105","94","29.10.12"
"141649","42","Донецька область","Донецький політехнічний технікум, хол, 1-й поверх
вул.Челюскінців, 159, м.Донецьк, 83001","1656","689","1647","48","927","40","967","","0","927","40","967","44","923","29","598","79","25","92","100","29.10.12"
"141650","42","Донецька область","ПАТ ""Прогрес"", хол, 1-й поверх
пл.Конституції, 1, м.Донецьк, 83001","2024","912","2011","24","1095","17","1112","","0","1095","17","1112","52","1060","40","609","144","55","116","96","29.10.12"
"141651","42","Донецька область","Донецький навчально-виховний комплекс №1, хол, 1-й поверх
бульв.Пушкіна, 6, м.Донецьк, 83001","1368","551","1364","27","790","27","817","","0","790","27","817","26","791","21","457","95","39","96","83","29.10.12"
"141652","42","Донецька область","Центральна міська клінічна лікарня №1, актова зала, 2-й поверх
вул.Артема, 57, м.Донецьк, 83001","1064","494","1078","10","560","10","570","","0","560","10","570","16","554","6","346","59","20","70","53","29.10.12"
"141653","42","Донецька область","Донецький коледж будівництва та архітектури, хол, 1-й поверх
просп.Комсомольський, 3, м.Донецьк, 83001","864","341","879","15","508","15","523","","0","508","15","523","41","482","20","274","56","22","69","41","29.10.12"
"141654","42","Донецька область","МСЦ ""Бригантина"" Донецького національного університету, обідня зала, 1-й поверх
вул.Рози Люксембург 8А, м.Донецьк, 83001","2056","425","2039","0","1631","0","1631","","0","1631","0","1631","83","1548","56","1062","110","13","225","82","29.10.12"
"141655","42","Донецька область","ДРЦ професійно-технічної освіти сфери послуг та дизайну, їдальня, 1-й поверх
вул.Щорса, 5, м.Донецьк, 83001","1408","560","1403","34","816","32","848","","0","816","32","848","23","825","32","487","123","19","103","61","29.10.12"
"141656","42","Донецька область","Донецький національний університет, головний корпус, хол, 1-й поверх
просп.Гурова, 6, м.Донецьк, 83001","2008","689","1982","44","1277","42","1319","","0","1277","42","1319","68","1251","50","729","156","42","161","113","29.10.12"
"141657","42","Донецька область","Донецький індустріальний технікум, хол, 1-й поверх
вул.Артема, 17, м.Донецьк, 83086","920","503","933","17","401","16","417","","0","401","16","417","16","401","13","246","57","11","44","30","29.10.12"
"141658","42","Донецька область","Донецький національний технічний університет, корпус №8, хол, 1-й поверх
просп.25-річчя РККА, 1, м.Донецьк, 83001","1664","698","1652","47","928","38","966","","0","928","38","966","45","921","30","526","146","33","98","88","29.10.12"
"141659","42","Донецька область","Донецький технікум промислової автоматики, хол, 1-й поверх
вул.Горького, 163, м.Донецьк, 83001","1912","803","1926","35","1080","29","1109","","0","1080","29","1109","51","1058","28","611","128","42","132","117","29.10.12"
"141660","42","Донецька область","школа №14, хол, 1-й поверх
вул.Щорса, 27, м.Донецьк, 83050","1144","453","1136","28","669","22","691","","0","669","22","691","25","666","24","380","81","30","93","58","29.10.12"
"141661","42","Донецька область","ДП ""Донецька залізниця"", хол, 1-й поверх
вул.Артема, 68, м.Донецьк, 83001","936","339","932","15","582","15","597","","0","582","15","597","25","572","16","346","73","20","66","51","29.10.12"
"141662","42","Донецька область","Національний академічний театр опери та балету імені А.Б.Солов’яненка, хол, 1-й поверх
вул.Артема, 82, м.Донецьк, 83001","2136","866","2105","55","1216","54","1270","","0","1216","54","1270","25","1245","37","717","194","38","162","97","29.10.12"
"141663","42","Донецька область","школа №3, їдальня, 1-й поверх
вул.Трамвайна, 36, м.Донецьк, 83086","1352","567","1337","24","763","22","785","","0","763","22","785","33","752","20","437","110","25","94","66","29.10.12"
"141664","42","Донецька область","гімназія №18, їдальня, 1-й поверх
вул.Трамвайна, 36А, м.Донецьк, 83086","1264","605","1258","41","618","41","659","","0","618","41","659","27","632","30","431","69","28","43","31","29.10.12"
"141665","42","Донецька область","Донецький національний університет, корпус №10, хол, 2-й поверх
вул.Щорса, 46, м.Донецьк, 83050","1984","955","1971","36","997","32","1029","","0","997","32","1029","40","989","29","555","146","42","122","95","29.10.12"
"141666","42","Донецька область","школа №13, хол, 1-й поверх
вул.Щорса, 64, м.Донецьк, 83114","1440","578","1427","40","826","36","862","","0","826","36","862","27","835","27","520","117","41","70","60","29.10.12"
"141667","42","Донецька область","Інститут прикладної математики і механіки НАН України, хол, 1-й поверх
вул.Рози Люксембург, 74, м.Донецьк, 83114","1320","552","1339","32","740","28","768","","0","740","28","768","34","734","15","433","102","19","95","70","28.10.12"
"141668","42","Донецька область","Донецький фізико-технічний інститут імені О.О.Галкіна НАН України, хол, 1-й поверх
вул.Рози Люксембург, 72, м.Донецьк, 83114","2160","934","2169","15","1212","14","1226","","0","1212","14","1226","55","1171","38","703","123","46","166","95","29.10.12"
"141669","42","Донецька область","гімназія №15, їдальня, 1-й поверх
вул.50-річчя СРСР, 145, м.Донецьк, 83015","1744","751","1740","39","958","35","993","","0","958","35","993","39","954","31","588","131","30","89","85","29.10.12"
"141670","42","Донецька область","міська лікарня №5, хол, 1-й поверх
вул.Красноармійська, 88, м.Донецьк, 83001","168","52","142","0","116","0","116","","0","116","0","116","10","106","3","74","8","4","8","9","29.10.12"
"141671","42","Донецька область","міська лікарня №4, хол, 1-й поверх
вул.Челюскінців, 188А, м.Донецьк, 83015","72","21","56","0","51","0","51","","0","51","0","51","1","50","0","41","1","0","4","4","29.10.12"
"141672","42","Донецька область","Донецький науково-дослідницький інститут чорної металургії, хол
бульв.Шевченка, 26, м.Донецьк, 83017","1904","835","1893","31","1045","24","1069","","0","1045","24","1069","44","1025","15","702","113","33","81","81","29.10.12"
"141673","42","Донецька область","ДВАТ ""Донецький інстітут з проектування організації шахтного будівництва"", к.2
бульв.Шевченка, 27, м.Донецьк, 83017","1528","690","1530","20","818","20","838","","0","818","20","838","50","788","9","471","116","25","104","63","29.10.12"
"141674","42","Донецька область","ВП ""Шахта ім. Калініна"", хол
просп.Миру, 44, м.Донецьк, 83017","1992","789","1966","59","1150","53","1203","","0","1150","53","1203","37","1166","20","839","103","26","103","75","29.10.12"
"141675","42","Донецька область","КП Донецький міський молодіжний центр, к.14
бульв.Шевченка, 54, м.Донецьк, 83017","1544","752","1538","23","770","22","792","","0","770","22","792","22","770","21","523","77","18","80","51","29.10.12"
"141676","42","Донецька область","будинок культури, хол
бульв.Шевченка, 54, м.Донецьк, 83017","1744","454","1712","31","1264","26","1290","","0","1264","26","1290","31","1259","23","919","125","27","89","76","29.10.12"
"141677","42","Донецька область","школа №16, к.8, 1-й поверх
вул.Цусімська, 18, м.Донецьк, 83017","2000","617","1964","58","1328","55","1383","","0","1328","55","1383","34","1349","22","975","142","39","105","66","29.10.12"
"141678","42","Донецька область","школа №4, к.9
вул.Таврійська, 4, м.Донецьк, 83017","1864","971","1849","69","826","67","893","","0","826","67","893","19","874","13","638","83","16","77","47","28.10.12"
"141679","42","Донецька область","спеціалізаване ліфтове управління №2 СП ""УкрОТІС"", к.28
вул.Пархоменка, 11, м.Донецьк, 83052","2472","1220","2486","17","1238","14","1252","","0","1238","14","1252","64","1188","33","759","165","36","107","88","29.10.12"
"141680","42","Донецька область","школа-інтернат №8, актова зала
просп.Красногвардійський, 1А, м.Донецьк, 83076","2456","1348","2422","36","1077","31","1108","","0","1077","31","1108","58","1050","19","794","99","14","64","60","29.10.12"
"141681","42","Донецька область","школа №20, к.16, 1-й поверх
вул.Герцена, 26, м.Донецьк, 83052","2296","978","2281","63","1266","52","1318","","0","1266","52","1318","56","1262","36","812","174","32","117","91","29.10.12"
"141682","42","Донецька область","школа №20, актова зала, 2-й поверх
вул.Герцена, 26, м.Донецьк, 83052","2480","1226","2464","43","1211","43","1254","","0","1211","43","1254","56","1198","37","781","160","18","121","81","28.10.12"
"141683","42","Донецька область","школа №96, актова зала
просп.Красногвардійський, 1, м.Донецьк, 83076","2496","1377","2463","42","1080","39","1119","","0","1080","39","1119","53","1066","46","742","116","17","77","68","29.10.12"
"141684","42","Донецька область","Український науково-дослідний, проектно-конструкторський та технологічний інститут, хол
вул.50-ї Гвардійської дивізії, 17, м.Донецьк, 83052","2040","936","2021","27","1082","22","1104","","0","1082","22","1104","55","1049","44","704","130","18","87","66","29.10.12"
"141685","42","Донецька область","початкова школа №20, актова зала
вул.Герцена, 47А, м.Донецьк, 83052","2008","713","1946","61","1234","61","1295","","0","1234","61","1295","16","1279","28","896","147","38","107","63","29.10.12"
"141686","42","Донецька область","школа №16, к.28, 2-й поверх
вул.Цусімська, 18, м.Донецьк, 83017","1632","549","1627","48","1045","38","1083","","0","1045","38","1083","68","1015","26","767","106","18","57","41","29.10.12"
"141687","42","Донецька область","спеціальна школа №35, хол
вул.50-ї Гвардійської дивізії, 16, м.Донецьк, 83052","1848","774","1838","32","1047","27","1074","","0","1047","27","1074","38","1036","39","651","156","37","80","73","29.10.12"
"141688","42","Донецька область","ПАТ ""Донецький м’ясокомбінат"", к.19
просп.Ілліча, 105, м.Донецьк, 83052","2312","1189","2157","45","1083","40","1123","","0","1079","40","1119","55","1064","22","739","140","11","86","66","29.10.12"
"141689","42","Донецька область","школа №49, хол
вул.50-ї Гвардійської дивізії, 11, м.Донецьк, 83052","2160","910","2134","58","1202","48","1250","","0","1202","48","1250","49","1201","29","785","161","31","112","83","29.10.12"
"141690","42","Донецька область","школа №49, 2-й поверх, хол
вул.50-ї Гвардійської дивізії, 11, м.Донецьк, 83052","2128","993","2055","51","1090","45","1135","","0","1090","45","1135","53","1082","27","727","140","18","90","80","29.10.12"
"141691","42","Донецька область","ВАТ ""Донецький експериментальний ремонтно-механічний завод"", к.8
просп.Павших комунарів, 104, м.Донецьк, 83023","2448","1010","2428","31","1407","31","1438","","0","1407","31","1438","51","1387","21","1045","111","28","92","90","29.10.12"
"141692","42","Донецька область","гуртожиток №7 Донецького національного медичного університету, к.9
вул.Калузька, 6, м.Донецьк, 83003","2640","800","2620","10","1831","9","1840","","0","1831","9","1840","37","1803","29","1404","95","29","139","107","29.10.12"
"141693","42","Донецька область","гуртожиток №4 Донецького національного медичного університету, к.3
просп.Ілліча, 16, м.Донецьк, 83003","2280","919","2260","16","1348","13","1361","","0","1348","13","1361","66","1295","35","856","170","18","120","96","29.10.12"
"141694","42","Донецька область","ліцей №12, хол
вул.Калузька, 32А, м.Донецьк, 83003","2176","876","2162","50","1256","44","1300","","0","1256","44","1300","53","1247","38","784","165","47","108","105","29.10.12"
"141695","42","Донецька область","ВАТ""Автоматгірмаш ім.Антипова"", к.3
просп.Ілліча, 93, м.Донецьк, 83003","1736","772","1703","13","951","13","964","","0","951","13","964","36","928","25","617","141","31","53","61","29.10.12"
"141696","42","Донецька область","спеціальна школа №95, хол
просп.Ілліча, 60, м.Донецьк, 83052","2168","918","2131","61","1196","54","1250","","0","1196","54","1250","44","1206","33","834","147","30","94","68","29.10.12"
"141697","42","Донецька область","екологоекономічна гімназія №1, хол
вул.8-го Березня, 2, м.Донецьк, 83059","2480","197","2460","17","2268","15","2283","","0","2268","15","2283","32","2251","47","1827","138","29","135","75","29.10.12"
"141698","42","Донецька область","школа №8, хол
просп.Дзержинського, 66, м.Донецьк, 83014","2168","876","2130","10","1283","9","1292","","0","1283","9","1292","55","1237","30","788","152","39","134","94","28.10.12"
"141699","42","Донецька область","будинок культури ""Родіна"", хол
вул.Лівобережна, 58, м.Донецьк, 83014","2432","1033","2424","31","1371","28","1399","","0","1371","28","1399","63","1336","28","938","145","17","110","98","29.10.12"
"141700","42","Донецька область","гуртожиток ВАТ Донецького ексериментального ремонтно-механічного заводу, к.29
вул.Лабутенка, 11, м.Донецьк, 83023","1840","891","1827","13","936","13","949","","0","936","13","949","46","903","31","599","111","26","66","70","29.10.12"
"141701","42","Донецька область","ВАТ ""Проектно-конструкторський технологічний інститут"", к.9
просп.Ілліча, 89, м.Донецьк, 83003","2248","984","2232","27","1244","20","1264","","0","1244","20","1264","61","1203","33","761","152","46","116","95","29.10.12"
"141702","42","Донецька область","будинок дитячої та юнацької творчості, хол
вул.Шаповалова, 4, м.Донецьк, 83023","2424","1133","2382","39","1255","36","1291","","0","1255","36","1291","31","1260","43","845","145","27","117","83","28.10.12"
"141703","42","Донецька область","школа №10, хол
вул.Андрєєва, 1, м.Донецьк, 83014","2008","861","2000","28","1120","27","1147","","0","1119","27","1146","47","1099","47","719","136","13","99","85","29.10.12"
"141704","42","Донецька область","школа №7, хол
вул.Осипенко, 18, м.Донецьк, 83003","2264","930","2228","39","1298","36","1334","","0","1298","36","1334","39","1295","25","892","129","29","140","80","29.10.12"
"141705","42","Донецька область","Донецьке обласне клінічне територіальне медичне об’єднання
просп.Ілліча, 14, м.Донецьк, 83099","1160","28","1139","569","567","565","1132","","0","567","565","1132","47","1085","33","864","92","6","43","47","29.10.12"
"141706","42","Донецька область","Обласна клінічна лікарня профзахворювань
просп.Ілліча, 104, м.Донецьк, 83059","408","5","415","0","403","0","403","","0","403","0","403","10","393","8","337","20","7","10","11","29.10.12"
"141707","42","Донецька область","Центральна міська клінічна лікарня №3
вул.Овнатаняна, 16, м.Донецьк, 83017","392","45","347","125","222","125","347","","0","222","125","347","0","347","1","337","2","0","4","3","29.10.12"
"141708","42","Донецька область","Міський шкірно-венерологічний диспансер №1
вул.Ульріха, 55, м.Донецьк, 83017","168","7","161","0","161","0","161","","0","161","0","161","12","149","2","104","18","3","9","13","29.10.12"
"141709","42","Донецька область","Обласна клінічна туберкульозна лікарня
просп.Ілліча, 104А, м.Донецьк, 83059","712","613","99","16","83","16","99","","0","83","16","99","8","91","3","72","9","0","2","5","28.10.12"
"141833","42","Донецька область","Уособлений підрозділ Донецької автобази ДП ""Донецька вугільна енергетична компанія"", вестибюль
вул.Куйбишева, 141, м.Донецьк, 83060","2184","1089","2163","48","1055","40","1095","","0","1055","40","1095","52","1043","31","648","166","17","101","80","30.10.12"
"141836","42","Донецька область","гімназія №72, вестибюль, 2-й поверх
просп.Васнецова, 2, м.Донецьк, 83087","2184","1172","2169","34","981","31","1012","","0","981","31","1012","40","972","25","622","164","21","71","69","29.10.12"
"141837","42","Донецька область","школа №64, вестибюль 1
просп.Панфілова, 51, м.Донецьк, 83087","1776","784","1751","46","953","39","992","","0","953","39","992","48","944","29","587","144","25","86","73","29.10.12"
"141838","42","Донецька область","школа №64, вестибюль 2
просп.Панфілова, 51, м.Донецьк, 83087","1552","768","1526","17","767","17","784","","0","767","17","784","41","743","24","445","109","25","78","62","29.10.12"
"141839","42","Донецька область","гімназія №72, вестибюль, 1-й поверх
просп.Васнецова, 2, м.Донецьк, 83087","1800","730","1802","50","1026","44","1070","","0","1026","44","1070","31","1039","24","698","149","32","85","51","29.10.12"
"141840","42","Донецька область","палац культури імені В.В.Куйбишева, фойє 1
просп.Панфілова, 86, м.Донецьк, 83087","1800","879","1780","26","902","19","921","","0","902","19","921","50","871","32","510","118","46","99","66","29.10.12"
"141841","42","Донецька область","палац культури імені В.В.Куйбишева, фойє 2
просп.Панфілова, 86, м.Донецьк, 83087","1984","1028","1960","32","930","26","956","","0","930","26","956","58","898","26","572","130","44","76","50","29.10.12"
"141842","42","Донецька область","школа №55, вестибюль
вул.Фрунзе, 1А, м.Донецьк, 83087","2072","975","2056","18","1079","18","1097","","0","1079","18","1097","48","1049","31","584","134","79","132","89","29.10.12"
