"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Борковець
Алла
Олексіївна","Васильєв
Олександр
Андрійович","Прилепський
Віктор
Володимирович","Сучков
Олексій
Анатолійович","Шанова
Людмила
Миколаївна","Дата підписання протоколу"
"140087","59","Донецька область","Великоновосілківський професійний ліцей, фойє
вул.Зарічна, 34, смт Велика Новосілка, Великоновосілківський р-н, Донецька обл., 85500","568","115","566","11","442","11","453","","0","442","11","453","19","434","72","269","58","19","16","29.10.12"
"140088","59","Донецька область","Великоновосілківська гімназія, фойє
вул.Весела, 40А, смт Велика Новосілка, Великоновосілківський р-н, Донецька обл., 85500","1384","168","1368","55","1161","55","1216","","0","1161","55","1216","27","1189","239","861","44","26","19","29.10.12"
"140089","59","Донецька область","районний культурно-оздоровчий комплекс, гостьова, 2-й поверх
вул.Октябрська, 33, смт Велика Новосілка, Великоновосілківський р-н, Донецька обл., 85500","2016","221","1991","82","1713","82","1795","","0","1713","82","1795","22","1773","246","1442","11","29","45","29.10.12"
"140090","59","Донецька область","школа №2, їдальня
вул.Інтернаціональна, 1, смт Велика Новосілка, Великоновосілківський р-н, Донецька обл., 85500","1472","343","1445","56","1076","53","1129","","0","1076","53","1129","52","1077","203","687","109","27","51","29.10.12"
"140091","59","Донецька область","сільський будинок культури, фойє
вул.Героя, 86, с.Времівка, Великоновосілківський р-н, Донецька обл., 85581","944","54","928","49","841","49","890","","0","841","49","890","15","875","205","536","89","19","26","29.10.12"
"140092","59","Донецька область","приміщення колишнього дитячого садка, ігрова
вул.Комарова, 22, с.Новий Комар, Великоновосілківський р-н, Донецька обл., 85583","384","129","364","18","238","17","255","","0","238","17","255","22","233","64","116","27","9","17","29.10.12"
"140093","59","Донецька область","школа, фойє
вул.Немировича-Данченка, 45, с.Нескучне, Великоновосілківський р-н, Донецька обл., 85583","552","106","552","30","416","30","446","","0","416","30","446","18","428","77","287","33","13","18","29.10.12"
"140094","59","Донецька область","сільський будинок культури, фойє
вул.Мічуріна, 4, с-ще Октябр, Великоновосілківський р-н, Донецька обл., 85506","528","22","527","90","416","90","506","","0","416","90","506","5","501","58","388","37","7","11","29.10.12"
"140095","59","Донецька область","сільський будинок культури, танцювальна зала
вул.Леніна, 41, с.Андріївка, Великоновосілківський р-н, Донецька обл., 85540","1024","83","999","47","894","47","941","","0","894","47","941","2","939","27","888","16","3","5","29.10.12"
"140096","59","Донецька область","контора СТОВ ""Побєда"", зала засідань
вул.Макарова, 45, с.Шевченко, Великоновосілківський р-н, Донецька обл., 85541","376","45","364","21","310","21","331","","0","310","21","331","15","316","50","203","39","9","15","29.10.12"
"140097","59","Донецька область","сільський будинок культури, мала зала
просп.Миру, 21, с.Багатир, Великоновосілківський р-н, Донецька обл., 85530","1192","255","1171","100","839","98","937","","0","839","98","937","25","912","123","663","67","27","32","28.10.12"
"140098","59","Донецька область","школа, хол
вул.Миру, 2, с.Олексіївка, Великоновосілківський р-н, Донецька обл., 85531","760","77","752","71","612","71","683","","0","612","71","683","7","676","51","571","29","9","16","28.10.12"
"140099","59","Донецька область","сільський будинок культури, танцювальна зала
вул.Леніна, 39, с.Євгенівка, Великоновосілківський р-н, Донецька обл., 85563","352","64","336","26","263","25","288","","0","263","25","288","17","271","47","171","25","14","14","29.10.12"
"140100","59","Донецька область","приміщення колишньої контори КСП ""Дружба"", актова зала
вул.Леніна, 20А, с.Зелене Поле, Великоновосілківський р-н, Донецька обл., 85525","440","136","422","27","279","25","304","","0","279","25","304","12","292","45","208","20","12","7","29.10.12"
"140101","59","Донецька область","дитячий садок, ігрова кімната 1
вул.Ювілейна, 5А, с.Новопіль, Великоновосілківський р-н, Донецька обл., 85525","160","29","154","18","113","18","131","","0","113","18","131","1","130","6","118","2","1","3","29.10.12"
"140102","59","Донецька область","колишня школа, фойє
вул.Совєтська, 45, с.Іскра, Великоновосілківський р-н, Донецька обл., 85510","568","186","556","61","325","57","382","","0","325","57","382","21","361","51","230","54","7","19","29.10.12"
"140103","59","Донецька область","сільський будинок культури, хол
вул.Ювілейна, 64, с-ще Зелений Гай, Великоновосілківський р-н, Донецька обл., 85511","640","99","625","30","514","27","541","","0","514","27","541","17","524","119","288","91","9","17","28.10.12"
"140104","59","Донецька область","сільський будинок культури, мала зала
вул.Єгорова, 6, с.Комар, Великоновосілківський р-н, Донецька обл., 85520","1224","484","1197","131","626","114","740","","0","626","114","740","48","692","93","466","100","18","15","29.10.12"
"140105","59","Донецька область","школа, спортивна зала
вул.Гагаріна, 39, с.Веселе, Великоновосілківський р-н, Донецька обл., 85521","672","85","657","113","475","112","587","","0","475","112","587","2","585","12","551","15","2","5","04.11.12"
"140106","59","Донецька область","клуб СТОВ ""Велес"", кінозала
вул.Зелена, 5, с.Ялта, Великоновосілківський р-н, Донецька обл., 85520","280","83","271","46","159","38","197","","0","159","38","197","12","185","30","116","22","6","11","29.10.12"
"140107","59","Донецька область","сільський клуб, зала
вул.Мічуріна, 26, с.Костянтинопіль, Великоновосілківський р-н, Донецька обл., 85542","784","32","770","54","698","54","752","","0","698","54","752","0","752","71","613","38","6","24","29.10.12"
"140108","59","Донецька область","школа, спортивна зала
вул.Октябрська, 57, с.Улакли, Великоновосілківський р-н, Донецька обл., 85543","624","86","617","63","476","62","538","","0","476","62","538","24","514","47","417","30","3","17","29.10.12"
"140109","59","Донецька область","сільський будинок культури, фойє
вул.Леніна, 27, с-ще Розлив, Великоновосілківський р-н, Донецька обл., 85544","632","44","621","47","542","46","588","","0","542","46","588","9","579","27","482","34","8","28","28.10.12"
"140110","59","Донецька область","культурно-дозвіллєвий комплекс, актова зала
вул.Леніна, 56, с.Красна Поляна, Великоновосілківський р-н, Донецька обл., 85571","1608","324","1589","75","1217","67","1284","","0","1217","67","1284","54","1230","246","806","76","72","30","29.10.12"
"140111","59","Донецька область","їдальня ТОВ""МЕТА"", зала
вул.Заводська, 11, с.Красна Поляна, Великоновосілківський р-н, Донецька обл., 85571","1104","237","1092","78","792","75","867","","0","792","75","867","40","827","274","471","41","29","12","29.10.12"
"140112","59","Донецька область","школа, класна кімната
вул.Лейтенанта Садового, 103, с.Красна Поляна, Великоновосілківський р-н, Донецька обл., 85571","416","49","413","32","338","29","367","","0","338","29","367","1","366","16","322","10","12","6","29.10.12"
"140113","59","Донецька область","будівля механізаторів СТОВ ""Прогрес"", зала засідань
вул.Центральна, 1, с.Новопетриківка, Великоновосілківський р-н, Донецька обл., 85570","488","70","476","58","360","58","418","","0","360","58","418","4","414","12","395","5","1","1","29.10.12"
"140114","59","Донецька область","контора ТОВ ""Южноє"", зала засідань
вул.Радянська, 44, с.Новопетриківка, Великоновосілківський р-н, Донецька обл., 85570","576","109","569","45","422","45","467","","0","422","45","467","24","443","50","320","54","4","15","04.11.12"
"140115","59","Донецька область","школа, спортивна зала
вул.Радянська, 185, с.Новопетриківка, Великоновосілківський р-н, Донецька обл., 85570","488","65","474","26","398","25","423","","0","398","25","423","24","399","39","267","62","16","15","29.10.12"
"140116","59","Донецька область","сільський клуб, танцювальна зала
вул.Жовтнева, 1, с.Ялинське, Великоновосілківський р-н, Донецька обл., 85570","416","93","398","23","301","22","323","","0","301","22","323","12","311","32","153","75","4","47","04.11.12"
"140117","59","Донецька область","школа, спортивна зала
вул.Паркова, 3, с-ще Октябрське, Великоновосілківський р-н, Донецька обл., 85561","792","185","784","47","563","44","607","","0","563","44","607","20","587","58","471","45","5","8","29.10.12"
"140118","59","Донецька область","сільський будинок культури, зала
вул.Полєтаєва, 16, с-ще Новодонецьке, Великоновосілківський р-н, Донецька обл., 85561","216","58","210","12","146","12","158","","0","146","12","158","18","140","18","91","13","13","5","04.11.12"
"140119","59","Донецька область","школа, спортивна зала
вул.Чапаєва, 37, с.Новомайорське, Великоновосілківський р-н, Донецька обл., 85562","336","57","328","29","250","29","279","","0","250","29","279","2","277","62","191","12","7","5","29.10.12"
"140120","59","Донецька область","школа, хол
просп.Київський, 12, с.Піддубне, Великоновосілківський р-н, Донецька обл., 85512","752","214","731","66","472","66","538","","0","472","66","538","18","520","67","367","41","14","31","29.10.12"
"140121","59","Донецька область","сільський будинок культури, фойє
вул.Октябрська, 36А, с.Карла Маркса, Великоновосілківський р-н, Донецька обл., 85513","528","91","516","37","400","37","437","","0","400","37","437","7","430","39","354","29","2","6","04.11.12"
"140122","59","Донецька область","сільський будинок культури, глядацька зала
вул.Первомайська, 23, с-ще Роздольне, Великоновосілківський р-н, Донецька обл., 85532","752","228","736","57","473","51","524","","0","473","51","524","27","497","109","274","63","25","26","29.10.12"
"140123","59","Донецька область","дитячий садок, спортивна зала
вул.Широка, 5, с-ще Одрадне, Великоновосілківський р-н, Донецька обл., 85514","240","77","232","16","147","16","163","","0","147","16","163","6","157","46","91","10","5","5","28.10.12"
"140124","59","Донецька область","сільський будинок культури, фойє
вул.Кооперативна, 21, с.Старомайорське, Великоновосілківський р-н, Донецька обл., 85550","544","52","528","34","458","34","492","","0","458","34","492","10","482","9","457","6","5","5","29.10.12"
"140125","59","Донецька область","сільський будинок дозвілля, зала
вул.Миру, 2, с.Макарівка, Великоновосілківський р-н, Донецька обл., 85550","216","28","202","27","161","27","188","","0","161","27","188","3","185","15","151","11","4","4","05.11.12"
"140126","59","Донецька область","сільський будинок культури, фойє
вул.Центральна, 26, с-ще Урожайне, Великоновосілківський р-н, Донецька обл., 85551","744","90","726","37","617","37","654","","0","617","37","654","4","650","18","549","58","14","11","29.10.12"
"140127","59","Донецька область","центр культури та дозвілля, фойє
вул.Б.Набережна, 112А, с.Старомлинівка, Великоновосілківський р-н, Донецька обл., 85552","1296","175","1277","69","1053","68","1121","","0","1053","68","1121","41","1080","169","720","120","51","20","29.10.12"
"140128","59","Донецька область","їдальня агроцеху №37 Старомлинівського відділення ""Агро Ілліч Донбас"", зала
вул.Чкалова, 36, с.Старомлинівка, Великоновосілківський р-н, Донецька обл., 85552","1096","210","1071","86","800","86","886","","0","800","86","886","5","881","100","749","0","22","10","29.10.12"
"140129","59","Донецька область","сільський клуб, фойє
вул.Космонавтів, 19, с.Орлинське, Великоновосілківський р-н, Донецька обл., 85552","104","15","98","9","80","9","89","","0","80","9","89","0","89","18","58","10","1","2","29.10.12"
"140130","59","Донецька область","сільський клуб, фойє
вул.Першотравнева, 31, с.Завітне Бажання, Великоновосілківський р-н, Донецька обл., 85553","432","109","431","38","285","38","323","","0","285","38","323","1","322","37","245","24","5","11","29.10.12"
"140131","59","Донецька область","приміщення кафе, зала
вул.Маяковського, 31, с-ще Золота Нива, Великоновосілківський р-н, Донецька обл., 85560","240","31","231","15","194","15","209","","0","194","15","209","6","203","18","146","26","6","7","29.10.12"
"140132","59","Донецька область","сільський будинок культури, фойє
вул.Центральна, 20, с.Шахтарське, Великоновосілківський р-н, Донецька обл., 85560","784","249","772","55","484","51","535","","0","484","51","535","24","511","155","262","56","19","19","29.10.12"
"140133","59","Донецька область","сільський будинок культури, актова зала
вул.Гагаріна, 32, с-ще Ясна Поляна, Великоновосілківський р-н, Донецька обл., 85560","288","48","285","30","210","30","240","","0","210","30","240","9","231","34","164","23","4","6","29.10.12"
"140134","59","Донецька область","кафе ""ПП Білозьорова"", фойє
вул.Нова, 1, с.Вільне Поле, Великоновосілківський р-н, Донецька обл., 85524","304","91","298","26","189","24","213","","0","189","24","213","15","198","31","129","12","19","7","05.11.12"
"140135","59","Донецька область","сільський будинок культури, танцювальна зала
вул.Гагаріна, 37, с.Воскресенка, Великоновосілківський р-н, Донецька обл., 85523","424","95","415","36","294","35","329","","0","294","35","329","4","325","41","177","82","12","13","28.10.12"
"140136","59","Донецька область","сільський будинок культури, фойє
вул.Шевченка, 1, с-ще Шевченко, Великоновосілківський р-н, Донецька обл., 85522","1000","197","975","74","731","72","803","","0","731","72","803","34","769","54","599","74","13","29","29.10.12"
"140306","59","Донецька область","школа №1, вестибюль
вул.Заводська, 21, м.Мар’їнка, Мар’їнський р-н, Донецька обл., 85600","2016","710","1967","83","1223","83","1306","","0","1223","83","1306","33","1273","193","791","117","73","99","29.10.12"
"140307","59","Донецька область","будинок культури, дискозала
просп.Ворошилова, 29, м.Мар’їнка, Мар’їнський р-н, Донецька обл., 85600","1656","467","1639","122","1067","122","1189","","0","1067","122","1189","21","1168","150","840","73","52","53","29.10.12"
"140308","59","Донецька область","музична школа, актова зала
вул.Леніна, 38, м.Мар’їнка, Мар’їнський р-н, Донецька обл., 85600","1216","278","1215","85","853","85","938","","0","853","85","938","0","938","43","844","22","14","15","29.10.12"
"140309","59","Донецька область","школа №2, вестибюль
просп.Ворошилова, 4, м.Мар’їнка, Мар’їнський р-н, Донецька обл., 85600","1448","393","1430","101","954","101","1055","","0","954","101","1055","83","972","144","655","80","45","48","29.10.12"
"140310","59","Донецька область","філія ""Мар’їнський автодор"", актова зала
вул.Петровського, 35, м.Мар’їнка, Мар’їнський р-н, Донецька обл., 85600","1376","244","1348","70","1062","70","1132","","0","1062","70","1132","15","1117","127","863","56","34","37","04.11.12"
"140311","59","Донецька область","школа №3, вестибюль
вул.Лермонтова, 36А, м.Красногорівка, Мар’їнський р-н, Донецька обл., 85630","1216","160","1202","78","978","78","1056","","0","978","78","1056","37","1019","104","850","31","10","24","29.10.12"
"140312","59","Донецька область","комбінат комунальних підприємств ""Віта"", зала
вул.Ахтирського, 14, м.Красногорівка, Мар’їнський р-н, Донецька обл., 85630","904","437","901","48","419","48","467","","0","419","48","467","13","454","69","330","25","13","17","28.10.12"
"140313","59","Донецька область","будинок культури, танцювальна зала
вул.Артема, 16, м.Красногорівка, Мар’їнський р-н, Донецька обл., 85630","1320","653","1306","31","642","25","667","","0","620","25","645","36","609","125","387","41","20","36","05.11.12"
"140314","59","Донецька область","будинок культури, дитячий сектор
вул.Артема, 16, м.Красногорівка, Мар’їнський р-н, Донецька обл., 85630","1184","461","1174","88","642","81","723","","0","642","81","723","53","670","133","449","47","13","28","29.10.12"
"140315","59","Донецька область","школа №5, вестибюль
вул.Кірова, 17, м.Красногорівка, Мар’їнський р-н, Донецька обл., 85630","1504","664","1477","84","764","76","840","","0","764","76","840","58","782","150","501","72","22","37","28.10.12"
"140316","59","Донецька область","школа №2, вестибюль
вул.Совєтська, 15, м.Красногорівка, Мар’їнський р-н, Донецька обл., 85630","1544","650","1524","80","814","80","894","","0","814","80","894","34","860","113","685","23","9","30","28.10.12"
"140317","59","Донецька область","школа №1, вестибюль
мікрорайон Сонячний, 6А, м.Красногорівка, Мар’їнський р-н, Донецька обл., 85630","1608","791","1575","26","794","23","817","","0","794","23","817","42","775","165","517","47","23","23","29.10.12"
"140318","59","Донецька область","школа №1, вестибюль
мікрорайон Сонячний, 6А, м.Красногорівка, Мар’їнський р-н, Донецька обл., 85630","1200","584","1181","15","605","11","616","","0","605","11","616","48","568","144","333","46","23","22","29.10.12"
"140319","59","Донецька область","технікум, вестибюль
вул.Нахімова, 2А, м.Красногорівка, Мар’їнський р-н, Донецької обл., 85630","1032","463","1004","54","515","54","569","","0","515","54","569","9","560","111","387","30","14","18","05.11.12"
"140320","59","Донецька область","школа №4, спортивна зала
вул.Крупської, 101А, м.Красногорівка, Мар’їнський р-н, Донецька обл., 85630","1032","462","1023","81","491","79","570","","0","491","79","570","14","556","85","402","40","10","19","29.10.12"
"140321","59","Донецька область","будинок культури, фойє
просп.Маяковського, 2, м.Курахове, Мар’їнський р-н, Донецька обл., 85612","1680","766","1660","38","883","31","914","","0","883","31","914","63","851","173","423","150","53","52","29.10.12"
"140322","59","Донецька область","школа №2, спортивна зала
вул.Пушкіна, 11, м.Курахове, Мар’їнський р-н, Донецька обл., 85612","2136","940","2097","78","1128","68","1196","","0","1128","68","1196","73","1123","231","611","187","51","43","29.10.12"
"140323","59","Донецька область","школа №1, спортивна зала
вул.Пушкіна, 17, м.Курахове, Мар’їнський р-н, Донецька обл., 85612","1896","898","1855","73","930","68","998","","0","930","68","998","57","941","209","502","150","37","43","29.10.12"
"140324","59","Донецька область","професійно-технічний ліцей, фойє, 1-й поверх
вул.Пушкіна, 6, м.Курахове, Мар’їнський р-н, Донецька обл., 85612","1768","690","1723","48","1030","48","1078","","0","1030","48","1078","64","1014","177","580","167","42","48","29.10.12"
"140325","59","Донецька область","професійно-технічний ліцей, фойє, 2-й поверх
вул.Пушкіна, 6, м.Курахове, Мар’їнський р-н, Донецька обл., 85612","1488","815","1459","62","611","62","673","","0","611","62","673","45","628","110","373","89","27","29","29.10.12"
"140326","59","Донецька область","гімназія ""Престиж"", спортивна зала, 1-й поверх
просп.Комсомольський, 12, м.Курахове, Мар’їнський р-н, Донецька обл., 85612","1840","865","1799","48","932","43","975","","0","932","43","975","39","936","221","515","140","26","34","29.10.12"
"140327","59","Донецька область","школа №5, перехід-хол, 1-й поверх
просп.Карла Маркса, 53, м.Курахове, Мар’їнський р-н, Донецька обл., 85612","2088","1074","2048","30","984","30","1014","","0","984","30","1014","57","957","204","516","145","41","51","29.10.12"
"140328","59","Донецька область","школа №5, спортивна зала, 1-й поверх
просп.Карла Маркса, 53, м.Курахове, Мар’їнський р-н, Донецька обл., 85612","1648","744","1637","122","797","107","904","","0","797","107","904","58","846","193","461","123","34","35","28.10.12"
"140329","59","Донецька область","школа №3, кабінет початкових класів
просп.Маяковського, 114, м.Курахове, Мар’їнський р-н, Донецька обл., 85612","632","267","638","60","309","56","365","","0","309","56","365","3","362","60","247","29","10","16","29.10.12"
