"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Івчук
"180801","64","Житомирська область","клуб, актова зала
вул.Приозерна, 5А, с.Красносілка, Овруцький р-н, Житомирська обл., 11152","280","114","269","6","160","6","166","","0","160","6","166","3","163","2","9","0","0","36","11","64","37","4","29.10.12"
"180802","64","Житомирська область","клуб, актова зала
вул.Центральна, 57, с.Бондарівка, Овруцький р-н, Житомирська обл., 11152","144","35","138","4","105","4","109","","0","105","4","109","6","103","0","2","5","2","8","12","45","28","1","29.10.12"
"180803","64","Житомирська область","районна лікарня, їдальня
вул.Радянська, 106, м.Овруч, Овруцький р-н, Житомирська обл., 11104","216","160","59","21","37","19","56","","0","37","19","56","3","53","1","2","1","2","5","9","17","16","0","29.10.12"
"180804","64","Житомирська область","денний стаціонар, холл
вул.Госпітальна, 47, с.Словечне, Овруцький р-н, Житомирська обл., 11122","72","42","30","0","30","0","30","","0","30","0","30","0","30","0","1","0","0","5","3","13","8","0","28.10.12"
"180805","64","Житомирська область","Житомирська обласна психіатрична лікарня №2 Житомирської облас, адміністративний корпус
вул.Молодіжна, 1, с.Прилуки, Овруцький р-н, Житомирська обл., 11110","256","186","174","0","70","0","70","","0","70","0","70","7","63","1","7","3","9","6","4","20","12","1","29.10.12"
"180806","64","Житомирська область","селищна рада, зала засідань
вул.Жовтнева, 2, смт Бучмани, Олевський р-н, Житомирська обл., 11056","640","255","630","19","367","18","385","","0","367","18","385","7","378","11","5","3","1","7","154","152","43","2","29.10.12"
"180807","64","Житомирська область","школа, фойє
вул.Червоноармійська, 4, смт Дружба, Олевський р-н, Житомирська обл., 11024","432","197","416","0","235","0","235","","0","235","0","235","11","224","2","2","1","0","6","73","76","63","1","29.10.12"
"180808","64","Житомирська область","фельдшерсько-акушерський пункт, фойє
пл.Перемоги, 16, смт Діброва, Олевський р-н, Житомирська обл., 11024","56","8","58","0","48","0","48","","0","48","0","48","2","46","0","0","1","0","0","19","17","8","1","29.10.12"
"180809","64","Житомирська область","школа, фойє
вул.Заводська, 1, смт Новоозерянка, Олевський р-н, Житомирська обл., 11021","456","188","444","3","266","2","268","","0","266","2","268","2","266","6","1","4","1","2","80","99","71","2","29.10.12"
"180810","64","Житомирська область","клуб, кінозала
вул.Центральна, 7, с.Озеряни, Олевський р-н, Житомирська обл., 11021","208","42","201","16","150","16","166","","0","150","16","166","4","162","4","7","3","1","1","40","56","50","0","29.10.12"
"180811","64","Житомирська область","клуб, кінозала
вул.Миру, 1, с.Рудня-Озерянська, Олевський р-н, Житомирська обл., 11021","144","23","140","3","118","3","121","","0","118","3","121","10","111","0","0","0","0","0","32","61","18","0","29.10.12"
"180812","64","Житомирська область","селищна рада, зала засідань
вул.Привокзальна, 39, смт Нові Білокоровичі, Олевський р-н, Житомирська обл., 11051","1080","566","1050","17","497","17","514","","0","497","17","514","21","493","12","11","8","7","17","162","136","139","1","29.10.12"
"180813","64","Житомирська область","будинок культури, актова зала
вул.Фрунзе, 8, смт Нові Білокоровичі, Олевський р-н, Житомирська обл., 11052","1288","691","1280","8","594","3","597","","0","594","3","597","20","577","24","5","2","1","17","244","142","137","5","29.10.12"
"180814","64","Житомирська область","клуб, кінозала
вул.Леніна, 32, с.Стовпинка, Олевський р-н, Житомирська обл., 11041","456","146","450","20","290","20","310","","0","290","20","310","11","299","1","4","5","2","6","85","126","63","7","29.10.12"
"180815","64","Житомирська область","клуб, кінозала
вул.Леніна, 7, с.Держанівка, Олевський р-н, Житомирська обл., 11041","32","5","32","0","27","0","27","","0","27","0","27","1","26","0","0","0","0","0","3","17","6","0","31.10.12"
"180816","64","Житомирська область","будинок культури, танцювальна зала
вул.Житомирська, 42, с.Зубковичі, Олевський р-н, Житомирська обл., 11043","1104","443","1097","14","647","14","661","","0","647","14","661","15","646","9","13","20","12","11","105","238","208","30","29.10.12"
"180817","64","Житомирська область","будинок культури, танцювальна зала
вул.Леніна, 12, с.Замисловичі, Олевський р-н, Житомирська обл., 11020","568","214","553","7","347","7","354","","0","347","7","354","12","342","5","6","5","3","8","47","192","73","3","29.10.12"
"180818","64","Житомирська область","Замисловицьке лісництво, зала засідань
вул.Ватутіна, 19, с.Рудня-Замисловицька, Олевський р-н, Житомирська обл., 11020","56","8","57","1","47","1","48","","0","47","1","48","0","48","0","0","0","0","1","7","38","2","0","29.10.12"
"180819","64","Житомирська область","клуб, танцювальна зала
вул.Партизанська, 36, с.Устинівка, Олевський р-н, Житомирська обл., 11020","88","25","84","2","61","2","63","","0","61","2","63","0","63","0","2","0","0","0","10","44","7","0","29.10.12"
"180820","64","Житомирська область","адмінбудівля лісгоспу, зала засідань
вул.Центральна, 2, с.Шебедиха, Олевський р-н, Житомирська обл., 11020","48","15","42","1","32","1","33","","0","32","1","33","2","31","0","0","1","0","0","8","19","3","0","29.10.12"
"180821","64","Житомирська область","будинок культури, танцювальна зала
вул.Центральна, 92, с.Кам’янка, Олевський р-н, Житомирська обл., 11033","1064","386","1038","16","662","16","678","","0","662","16","678","18","660","11","20","10","5","6","86","297","220","5","29.10.12"
"180822","64","Житомирська область","фельдшерсько-акушерський пункт, процедурний кабінет
вул.Лісова, 9, с.Лісове, Олевський р-н, Житомирська обл., 11033","56","10","53","5","41","5","46","","0","41","5","46","0","46","0","0","2","1","2","6","23","12","0","29.10.12"
"180823","64","Житомирська область","сільська рада, зала засідань
вул.Малікова, 48А, с.Хочине, Олевський р-н, Житомирська обл., 11011","400","132","391","14","254","14","268","","0","254","14","268","4","264","1","3","2","6","3","64","77","107","1","29.10.12"
"180824","64","Житомирська область","лікарська амбулаторія, актова зала
вул.Комсомольська, 71, с.Рудня-Хочинська, Олевський р-н, Житомирська обл., 11011","176","45","172","6","125","6","131","","0","125","6","131","4","127","1","1","4","2","1","48","47","22","1","29.10.12"
"180825","64","Житомирська область","клуб, фойє
вул.Комсомольська, 1, с.Перга, Олевський р-н, Житомирська обл., 11012","248","63","243","4","181","4","185","","0","181","4","185","2","183","2","6","3","1","2","72","61","34","2","29.10.12"
"180826","64","Житомирська область","клуб, танцювальна зала
вул.Зарічна, 12А, с.Рудня-Перганська, Олевський р-н, Житомирська обл., 11011","48","11","45","0","37","0","37","","0","37","0","37","0","37","0","0","0","0","0","9","27","1","0","29.10.12"
"180827","64","Житомирська область","клуб, танцювальна зала
вул.Леніна, 15, с.Сущани, Олевський р-н, Житомирська обл., 11016","760","241","769","6","514","5","519","","0","514","5","519","12","507","7","10","7","7","6","110","240","114","6","29.10.12"
"180828","64","Житомирська область","клуб, танцювальна зала
вул.Леніна, 17, с.Андріївка, Олевський р-н, Житомирська обл., 11016","160","41","155","0","119","0","119","","0","119","0","119","4","115","1","3","2","1","0","19","72","17","0","29.10.12"
"180829","64","Житомирська область","будинок культури, фойє
вул.Леніна, 55, с.Кишин, Олевський р-н, Житомирська обл., 11040","1200","440","1202","45","716","44","760","","0","716","44","760","22","738","10","16","14","28","15","152","302","197","4","29.10.12"
"180830","64","Житомирська область","клуб, фойє
вул.Миру, 52, с.Забороче, Олевський р-н, Житомирська обл., 11040","216","51","211","0","165","0","165","","0","165","0","165","9","156","0","0","2","1","2","29","72","48","2","29.10.12"
"180831","64","Житомирська область","школа, спортивна зала
вул.Матросова, 1, с.Болярка, Олевський р-н, Житомирська обл., 11040","112","25","111","1","86","1","87","","0","86","1","87","2","85","1","2","2","1","0","10","50","18","1","29.10.12"
"180832","64","Житомирська область","клуб, танцювальна зала
вул.Житомирська, 1, с.Рудня-Бистра, Олевський р-н, Житомирська обл., 11031","264","71","260","3","190","3","193","","0","190","3","193","6","187","3","6","5","6","4","35","95","30","3","29.10.12"
"180833","64","Житомирська область","будинок культури, танцювальна зала
вул.К.Зеленка, 16, с.Корощине, Олевський р-н, Житомирська обл., 11031","528","139","524","31","358","31","389","","0","358","31","389","9","380","2","18","6","3","11","45","234","58","3","29.10.12"
"180834","64","Житомирська область","клуб, танцювальна зала
вул.Калініна, 45А, с.Варварівка, Олевський р-н, Житомирська обл., 11031","744","253","735","16","479","12","491","","0","479","12","491","15","476","2","14","13","2","11","88","206","136","4","29.10.12"
"180835","64","Житомирська область","будинок культури, танцювальна зала
вул.Партизанська, 50, с.Копище, Олевський р-н, Житомирська обл., 11010","624","190","617","10","424","10","434","","0","424","10","434","5","429","5","12","8","5","3","126","154","111","5","29.10.12"
"180836","64","Житомирська область","школа, кабінет української мови
вул.Шведа, 1, с.Майдан-Копищенський, Олевський р-н, Житомирська обл., 11010","256","75","254","0","181","0","181","","0","181","0","181","1","180","0","3","3","2","0","66","48","57","1","29.10.12"
"180837","64","Житомирська область","клуб, танцювальна зала
вул.8-Березня, 27А, с.Комсомольське, Олевський р-н, Житомирська обл., 11015","520","178","508","14","328","14","342","","0","328","14","342","18","324","4","4","8","7","2","98","120","73","8","29.10.12"
"180838","64","Житомирська область","школа, каб.1
вул.Миру, 12А, с.Будки, Олевський р-н, Житомирська обл., 11002","192","73","188","8","111","8","119","","0","111","8","119","2","117","3","6","3","1","0","20","65","19","0","29.10.12"
"180839","64","Житомирська область","клуб, танцювальна зала
вул.Рад, 12А, с.Михайлівка, Олевський р-н, Житомирська обл., 11015","184","38","178","3","143","3","146","","0","143","3","146","6","140","2","2","4","2","2","27","66","34","1","29.10.12"
"180840","64","Житомирська область","клуб, танцювальна зала
вул.Партизанська, 31А, с.Млинок, Олевський р-н, Житомирська обл., 11015","88","31","85","0","57","0","57","","0","57","0","57","4","53","1","0","1","0","0","20","18","13","0","29.10.12"
"180841","64","Житомирська область","будинок культури, фойє
вул.Левчука, 39А, с.Тепениця, Олевський р-н, Житомирська обл., 11030","728","253","727","9","466","9","475","","0","466","9","475","16","459","4","6","10","5","4","98","195","134","3","29.10.12"
"180842","64","Житомирська область","магазин райспоживспілки, торгова зала
вул.Радянська, 26А, с.Соснівка, Олевський р-н, Житомирська обл., 11001","288","122","281","8","158","8","166","","0","158","8","166","6","160","2","3","1","1","1","29","86","33","4","29.10.12"
"180843","64","Житомирська область","клуб, танцювальна зала
вул.Центральна, 33А, с.Обище, Олевський р-н, Житомирська обл., 11030","192","54","185","6","132","6","138","","0","132","6","138","10","128","1","1","4","1","1","14","56","47","3","29.10.12"
"180844","64","Житомирська область","клуб, танцювальна зала
вул.Лісова, 106А, с.Хмелівка, Олевський р-н, Житомирська обл., 11002","256","78","250","6","173","5","178","","0","173","5","178","5","173","2","1","4","4","3","26","88","43","2","29.10.12"
"180845","64","Житомирська область","клуб, танцювальна зала
вул.Гагаріна, 15, с.Артинськ, Олевський р-н, Житомирська обл., 11030","168","39","164","0","129","0","129","","0","129","0","129","3","126","3","3","1","0","0","32","62","21","4","31.10.12"
"180846","64","Житомирська область","клуб, танцювальна зала
вул.Леніна, 59А, с.Майдан, Олевський р-н, Житомирська обл., 11036","304","63","304","9","233","8","241","","0","233","8","241","11","230","3","2","9","5","3","53","114","40","1","29.10.12"
"180847","64","Житомирська область","клуб, танцювальна зала
вул.Щорса, 16Б, с.Сарнівка, Олевський р-н, Житомирська обл., 11036","160","31","159","6","123","6","129","","0","123","6","129","8","121","0","2","1","1","2","44","50","21","0","29.10.12"
"180848","64","Житомирська область","клуб, танцювальна зала
вул.Жовтнева, 16В, с.Джерело, Олевський р-н, Житомирська обл., 11036","104","28","100","6","70","6","76","","0","70","6","76","4","72","1","5","0","0","0","17","31","18","0","29.10.12"
"180849","64","Житомирська область","школа, каб.1, 2
пл.Перемоги, 3, с.Зольня, Олевський р-н, Житомирська обл., 11035","328","88","321","12","229","11","240","","0","229","11","240","5","235","2","9","1","1","0","47","107","67","1","29.10.12"
"180850","64","Житомирська область","клуб, актова зала
вул.Перемоги, 22, с.Ковалівка, Олевський р-н, Житомирська обл., 11035","112","22","114","7","83","7","90","","0","83","7","90","1","89","2","0","1","1","0","17","55","13","0","29.10.12"
"180851","64","Житомирська область","школа, фойє
вул.Першотравнева, 5, с.Сердюки, Олевський р-н, Житомирська обл., 11035","248","78","244","9","161","9","170","","0","161","9","170","4","166","2","1","4","1","2","38","92","24","2","29.10.12"
"180852","64","Житомирська область","сільська рада, зала засідань
вул.Московська, 2А, с.Радовель, Олевський р-н, Житомирська обл., 11025","1016","366","1006","45","609","41","650","","0","609","41","650","15","635","9","13","13","10","16","228","192","151","3","29.10.12"
"180853","64","Житомирська область","лісництво, актова зала
вул.Залізнична, 8А, с.Пояски, Олевський р-н, Житомирська обл., 11025","280","91","280","14","175","14","189","","0","175","14","189","3","186","0","6","3","6","5","36","89","39","2","29.10.12"
"180854","64","Житомирська область","будинок культури, танцювальна зала
вул.Шевченка, 12, с.Жубровичі, Олевський р-н, Житомирська обл., 11042","1784","917","1760","10","858","9","867","","0","858","9","867","23","844","13","27","12","11","22","235","339","178","7","29.10.12"
"180855","64","Житомирська область","сільська рада, зала засідань
пл.Центральна, 4, с.Журжевичі, Олевський р-н, Житомирська обл., 11013","224","62","220","12","150","12","162","","0","150","12","162","6","156","1","2","3","1","1","47","58","43","0","29.10.12"
"180856","64","Житомирська область","лісництво, зала засідань
вул.Миру, 16, с.Рудня, Олевський р-н, Житомирська обл., 11013","88","33","88","0","55","0","55","","0","55","0","55","3","52","0","1","3","0","1","6","24","17","0","29.10.12"
"180857","64","Житомирська область","будинок культури, танцювальна зала
вул.Гагаріна, 61В, с.Лопатичі, Олевський р-н, Житомирська обл., 11034","1216","506","1207","25","685","25","710","","0","685","25","710","29","681","8","43","15","1","20","127","263","190","14","29.10.12"
"180858","64","Житомирська область","будинок культури, фойє
вул.Леніна, 5, с.Жовтневе, Олевський р-н, Житомирська обл., 11037","480","170","465","4","306","4","310","","0","306","4","310","12","298","7","4","11","1","5","85","123","56","6","29.10.12"
"180859","64","Житомирська область","будинок для голосування, к.2
вул.Миру, 18, с.Бацеве, Олевський р-н, Житомирська обл., 11037","80","24","74","2","54","2","56","","0","54","2","56","1","55","2","1","1","1","2","16","18","12","2","29.10.12"
"180860","64","Житомирська область","будинок для голосування, к.2
вул.Інтернаціональна, 1, с.Ліски, Олевський р-н, Житомирська обл., 11037","64","16","67","0","48","0","48","","0","48","0","48","4","44","1","1","1","0","0","8","27","6","0","29.10.12"
"180861","64","Житомирська область","клуб, фойє
вул.Леніна, 32, с.Юрове, Олевський р-н, Житомирська обл., 11014","472","169","470","2","301","2","303","","0","301","2","303","10","293","5","8","8","4","1","33","131","101","2","29.10.12"
"180862","64","Житомирська область","будинок культури, танцювальна зала
вул.Леніна, 73, с.Білокоровичі, Олевський р-н, Житомирська обл., 11055","1672","822","1654","26","828","22","850","","0","828","22","850","35","815","12","12","19","4","17","330","230","186","5","29.10.12"
"180863","64","Житомирська область","школа №2, спортивна зала
вул.Шкільна, 1, м.Олевськ, Олевський р-н, Житомирська обл., 11001","1632","740","1607","13","880","12","892","","0","880","12","892","23","869","10","22","29","8","29","302","256","206","7","29.10.12"
"180864","64","Житомирська область","будинок культури, вестибюль
вул.Свято-Миколаївська, 34, м.Олевськ, Олевський р-н, Житомирська обл., 11001","1520","738","1453","13","770","12","782","","0","770","12","782","16","766","12","17","11","12","22","248","267","173","4","29.10.12"
"180865","64","Житомирська область","центр дитячої творчості, вестибюль
вул.ім.Гетьмана Виговського, 30, м.Олевськ, Олевський р-н, Житомирська обл., 11001","1808","872","1764","13","924","12","936","","0","924","12","936","22","914","6","21","19","10","23","353","243","227","12","29.10.12"
"180866","64","Житомирська область","школа №3, спортивна зала
вул.Пушкіна, 24Б, м.Олевськ, Олевський р-н, Житомирська обл., 11002","1712","870","1684","18","826","16","842","","0","826","16","842","21","821","10","25","17","7","17","301","218","206","20","29.10.12"
"180867","64","Житомирська область","їдальня ПП ""Діброва"", танцювальна зала
вул.Заводська, 13, м.Олевськ, Олевський р-н, Житомирська обл., 11002","1904","1014","1889","25","872","18","890","","0","872","18","890","34","856","13","19","25","16","25","269","198","265","26","29.10.12"
"180868","64","Житомирська область","райполіклініка, конференцзала
вул.Свято-Миколаївська, 46, м.Олевськ, Олевський р-н, Житомирська обл., 11001","152","102","68","19","32","18","50","","0","32","18","50","2","48","0","1","1","1","1","15","18","10","1","29.10.12"
"181265","64","Житомирська область","виправна колонія №71, їдальня
вул.Білокоровічське шосе, 4, м.Коростень, Житомирська обл., 11510","640","314","649","3","323","3","326","","0","323","3","326","4","322","8","21","4","1","11","88","101","87","1","29.10.12"
"181266","64","Житомирська область","адмінбудівля заводу ""Янтар"", навчальний кабінет
вул.Житомирська, 2, м.Коростень, Житомирська обл., 11503","752","400","753","6","346","6","352","","0","346","6","352","7","345","12","17","0","3","5","74","120","114","0","29.10.12"
"181267","64","Житомирська область","гуртожиток УТОСу, виховна кімната
вул.Шолом-Алейхема, 70А, м.Коростень, Житомирська обл., 11508","2400","1153","2349","16","1237","10","1247","","0","1237","10","1247","49","1198","28","94","10","13","21","313","371","337","11","29.10.12"
"181268","64","Житомирська область","школа №10, фойє
вул.Мельника, 9, м.Коростень, Житомирська обл., 11508","1888","967","1868","18","906","15","921","","0","906","15","921","32","889","22","65","13","6","4","240","266","268","5","29.10.12"
"181269","64","Житомирська область","геріатричний пансіонат, фізкультурна зала
вул.Котовського, 81, м.Коростень, Житомирська обл., 11508","1448","687","1433","106","672","89","761","","0","672","89","761","44","717","18","63","6","1","13","172","205","231","8","29.10.12"
"181270","64","Житомирська область","школа №11, фойє
вул.Грушевського, 66, м.Коростень, Житомирська обл., 11501","2040","955","2005","21","1066","19","1085","","0","1066","19","1085","30","1055","25","65","15","12","25","325","258","329","1","29.10.12"
"181271","64","Житомирська область","будинок культури УТОС, актова зала
вул.Шолом-Алейхема, 36, м.Коростень, Житомирська обл., 11501","2304","1019","2260","30","1261","24","1285","","0","1261","24","1285","50","1235","42","97","6","12","19","412","306","338","3","29.10.12"
"181272","64","Житомирська область","школа №1, фойє
вул.Котовського, 24, м.Коростень, Житомирська обл., 11508","2408","1276","2380","22","1115","17","1132","","0","1115","17","1132","35","1097","47","70","9","9","31","320","287","319","5","29.10.12"
"181273","64","Житомирська область","профтехучилище №16, бібліотека
вул.Грушевського, 24/1, м.Коростень, Житомирська обл., 11501","1640","660","1616","18","962","18","980","","0","962","18","980","27","953","44","46","6","13","20","288","226","307","3","30.10.12"
"181274","64","Житомирська область","школа №3, фойє
вул.Древлянська, 20, м.Коростень, Житомирська обл., 11501","2168","1114","2142","40","1017","37","1054","","0","1017","37","1054","30","1024","30","67","2","5","19","353","258","288","2","29.10.12"
"181275","64","Житомирська область","школа №7, актова зала
вул.Крупської, 1, м.Коростень, Житомирська обл., 11501","1208","577","1195","21","613","18","631","","0","613","18","631","17","614","18","37","7","7","7","202","183","150","3","29.10.12"
"181276","64","Житомирська область","школа №2, актова зала
вул.1 Травня, 2, м.Коростень, Житомирська обл., 11501","1496","717","1469","8","771","8","779","","0","771","8","779","18","761","37","50","6","11","8","195","230","221","3","29.10.12"
"181277","64","Житомирська область","школа №2, фойє
вул.1 Травня, 2, м.Коростень, Житомирська обл., 11501","2048","916","2023","17","1118","14","1132","","0","1118","14","1132","34","1098","20","49","9","15","5","243","399","352","6","29.10.12"
"181278","64","Житомирська область","адмінбудівля цегельного заводу, їдальня
вул.Південна, 12А, м.Коростень, Житомирська обл., 11509","1448","730","1450","7","711","7","718","","0","711","7","718","22","696","29","30","7","4","14","166","217","223","6","29.10.12"
"181279","64","Житомирська область","навчально-виховний комплекс ""Школа-гімназія"" №12, праве крило, фойє
вул.Київська, 4, м.Коростень, Житомирська обл., 11509","1864","884","1824","11","971","9","980","","0","971","9","980","32","948","30","59","5","10","13","268","273","284","6","29.10.12"
"181280","64","Житомирська область","навчально-виховний комплекс ""Школа-гімназія"" №12, ліве крило, фойє
вул.Київська, 4, м.Коростень, Житомирська обл., 11509","1648","708","1615","10","930","10","940","","0","930","10","940","18","922","25","49","5","5","12","252","279","290","5","29.10.12"
"181281","64","Житомирська область","районний будинок культури, актова зала
вул.Франка, 4, м.Коростень, Житомирська обл., 11501","1736","768","1719","23","947","21","968","","0","947","21","968","31","937","37","77","4","8","14","257","247","292","1","29.10.12"
"181282","64","Житомирська область","будинок науки і техніки, актова зала
вул.Кірова, 38/2, м.Коростень, Житомирська обл., 11512","1928","849","1892","17","1062","17","1079","","0","1062","17","1079","48","1031","35","77","17","16","21","247","341","271","6","30.10.12"
"181283","64","Житомирська область","дистанція колії №13, технічний кабінет
вул.Табукашвілі, 24, м.Коростень, Житомирська обл., 11512","1672","796","1655","20","856","20","876","","0","856","20","876","35","841","16","59","6","6","23","182","250","294","5","29.10.12"
"181284","64","Житомирська область","школа №9, кабінет допризовної підготовки юнаків
вул.Кірова, 62, м.Коростень, Житомирська обл., 11512","2128","1108","2106","24","1002","18","1020","","0","1002","18","1020","24","996","22","62","6","13","17","281","313","274","8","29.10.12"
"181285","64","Житомирська область","вагонне депо станції Коростень, виховна кімната
вул.Горького, 33, м.Коростень, Житомирська обл., 11507","1392","737","1375","12","646","9","655","","0","646","9","655","17","638","20","32","8","9","12","166","247","143","1","29.10.12"
"181286","64","Житомирська область","клуб будівельно-монтажного експлуатаційного управління №4, актова зала
вул.Залізнична, 3, м.Коростень, Житомирська обл., 11506","984","521","980","5","459","4","463","","0","459","4","463","14","449","18","25","4","2","12","123","147","114","4","29.10.12"
"181287","64","Житомирська область","школа №8, спортзала
вул.Залізнична, 23, м.Коростень, Житомирська обл., 11506","2032","1060","2008","29","947","25","972","","0","946","25","971","28","943","42","46","10","9","17","239","432","140","8","28.10.12"
"181288","64","Житомирська область","міський ліцей, спортзала
вул.Р.Люксембург, 12, м.Коростень, Житомирська обл., 11507","1440","760","1434","8","672","8","680","","0","672","8","680","24","656","31","30","5","4","9","215","207","153","2","29.10.12"
"181289","64","Житомирська область","міський ліцей, фойє
вул.Р.Люксембург, 12, м.Коростень, Житомирська обл., 11507","1400","740","1392","3","657","3","660","","0","657","3","660","20","640","20","46","10","4","18","208","173","161","0","29.10.12"
"181290","64","Житомирська область","адмінбудівля заводу ""Жовтнева кузня"", їдальня
вул.Жовтнева, 1, м.Коростень, Житомирська обл., 11501","1648","905","1618","16","729","14","743","","0","729","14","743","17","726","25","38","7","4","17","212","205","216","2","29.10.12"
"181291","64","Житомирська область","школа №5, праве крило, фойє
вул.Островського, 2, м.Коростень, Житомирська обл., 11504","1456","804","1430","32","622","30","652","","0","622","30","652","21","631","27","24","5","5","12","178","213","167","0","29.10.12"
"181292","64","Житомирська область","школа №5, ліве крило, фойє
вул.Островського, 2, м.Коростень, Житомирська обл., 11504","1520","765","1500","14","741","14","755","","0","741","14","755","16","739","35","33","4","4","17","268","185","190","3","29.10.12"
"181293","64","Житомирська область","філія міського будинку культури, актова зала
вул.Каштанова, 1, м.Коростень, Житомирська обл., 11502","936","423","943","6","507","6","513","","0","507","6","513","21","492","9","20","7","1","4","147","140","163","1","29.10.12"
"181294","64","Житомирська область","школа №13, кабінет групи продовженого дня
вул.В.Селезньова, 101, м.Коростень, Житомирська обл., 11502","1184","559","1175","8","617","8","625","","0","617","8","625","28","597","21","21","2","3","13","167","202","162","6","29.10.12"
"181295","64","Житомирська область","станція Коростень-Житомирський, виховна кімната
станція Коростень-Житомирський, м.Коростень, Житомирська обл., 11505","416","199","420","10","208","9","217","","0","208","9","217","5","212","0","10","4","2","6","47","103","40","0","29.10.12"
"181296","64","Житомирська область","філія міського будинку культури, актова зала
вул.Проліскова, 18, м.Коростень, Житомирська обл., 11506","792","419","785","10","363","10","373","","0","363","10","373","13","360","9","13","2","4","4","62","191","74","1","29.10.12"
"181297","64","Житомирська область","центральна міська лікарня, фізіотерапевтичне відділення, фойє
вул.Семашко, 8, м.Коростень, Житомирська обл., 11501","456","395","74","40","28","33","61","","0","28","33","61","1","60","0","2","1","0","1","15","28","13","0","29.10.12"
"181298","64","Житомирська область","відділкова лікарня, кабінет заступника головного лікаря з медичної частини
вул.Жмаченка, 46, м.Коростень, Житомирська обл., 11501","168","115","73","25","37","16","53","","0","37","16","53","1","52","1","5","2","0","1","14","21","7","1","29.10.12"
"181299","64","Житомирська область","Коростенська виправна колонія №71, актова зала
вул.Білокоровічське шосе, 4, м.Коростень, Житомирська обл., 11510","1120","21","1131","38","1061","38","1099","","0","1061","38","1099","132","967","39","59","17","23","68","126","480","110","45","29.10.12"
