"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Великий
"350619","103","Кіровоградська область","сільський клуб, малий зал
вул.Ворошилова, 172, смт Петрове, Петрівський р-н, Кіровоградська обл., 28300","320","109","316","19","192","19","211","","0","192","19","211","7","204","5","4","13","57","97","10","1","0","17","29.10.12"
"350620","103","Кіровоградська область","будинок культури, фойє
вул.Шкільна, 3, смт Балахівка, Петрівський р-н, Кіровоградська обл., 28314","680","251","677","23","408","21","429","","0","408","21","429","9","420","4","3","12","76","267","19","2","0","37","29.10.12"
"350621","103","Кіровоградська область","дитячий садок, ігрова кімната
вул.Чапаєва, 9, с.Солдатське, Петрівський р-н, Кіровоградська обл., 28332","368","157","359","23","189","22","211","","0","189","22","211","11","200","10","5","19","46","94","15","0","0","11","28.10.12"
"350622","103","Кіровоградська область","сільський будинок культури, глядацький зал
вул.Засядька, 2, с.Водяне, Петрівський р-н, Кіровоградська обл., 28330","280","116","278","14","150","14","164","","0","150","14","164","2","162","2","1","13","34","84","11","0","2","15","29.10.12"
"350623","103","Кіровоградська область","школа, фойє
вул.Жовтнева, 48, с.Ганнівка, Петрівський р-н, Кіровоградська обл., 28325","720","287","712","53","381","52","433","","0","381","52","433","11","422","16","5","37","62","269","11","2","1","19","29.10.12"
"350624","103","Кіровоградська область","сільський будинок культури, великий зал
вул.Леніна, 17, с-ще Володимирівка, Петрівський р-н, Кіровоградська обл., 28326","784","260","777","22","502","22","524","","0","502","22","524","15","509","18","8","21","54","375","13","1","3","16","28.10.12"
"350625","103","Кіровоградська область","сільський будинок культури, великий зал
вул.Іскрівська, 26, с.Ганнівка, Петрівський р-н, Кіровоградська обл., 28325","264","89","259","7","168","7","175","","0","168","7","175","5","170","0","4","8","15","127","6","0","1","9","28.10.12"
"350626","103","Кіровоградська область","сільський клуб, великий зал
вул.Дружби, 31, с-ще Рядове, Петрівський р-н, Кіровоградська обл., 28327","304","110","299","29","166","28","194","","0","166","28","194","3","191","2","1","17","15","130","13","0","2","11","28.10.12"
"350627","103","Кіровоградська область","сільська рада, зал засідань
вул.Дружби, 4, с.Зелене, Петрівський р-н, Кіровоградська обл., 28320","448","198","440","48","209","41","250","","0","209","41","250","7","243","13","2","23","43","132","9","1","1","19","29.10.12"
"350628","103","Кіровоградська область","сільський будинок культури, великий зал
вул.Жовтнева, 19, с.Іванівка, Петрівський р-н, Кіровоградська обл., 28321","168","51","159","2","115","2","117","","0","115","2","117","5","112","2","3","4","16","83","0","2","0","2","29.10.12"
"350629","103","Кіровоградська область","школа, фойє
пров.Шкільний, 2, с.Іскрівка, Петрівський р-н, Кіровоградська обл., 28337","784","414","780","6","365","5","370","","0","364","5","369","28","341","15","7","55","114","108","11","2","1","28","31.10.12"
"350630","103","Кіровоградська область","сільська рада, зал засідань
вул.Шкільна, 3, с.Йосипівка, Петрівський р-н, Кіровоградська обл., 28323","200","58","197","35","111","31","142","","0","111","31","142","4","138","76","1","6","28","24","0","0","0","3","29.10.12"
"350631","103","Кіровоградська область","школа, фойє
вул.Шкільна, 31А, с.Луганка, Петрівський р-н, Кіровоградська обл., 28335","944","416","932","63","468","60","528","","0","468","60","528","20","508","18","6","44","150","225","28","2","3","32","29.10.12"
"350632","103","Кіровоградська область","сільський клуб, великий зал
вул.Горького, 11, с.Братське, Петрівський р-н, Кіровоградська обл., 28338","184","65","184","6","113","6","119","","0","113","6","119","3","116","3","2","11","31","53","9","0","1","6","28.10.12"
"350633","103","Кіровоградська область","ТОВ ""Малинівське"", їдальня
вул.Енгельса, 25, с.Малинівка, Петрівський р-н, Кіровоградська обл., 28317","296","88","290","15","193","15","208","","0","193","15","208","5","203","2","3","5","106","78","5","0","1","3","28.10.12"
"350634","103","Кіровоградська область","сільська рада, зал засідань
вул.Степняка Кравчинського, 1, с.Новий Стародуб, Петрівський р-н, Кіровоградська обл., 28310","584","297","578","47","244","43","287","","0","244","43","287","5","282","6","6","7","70","170","4","12","1","6","29.10.12"
"350635","103","Кіровоградська область","культурно-спортивний комплекс, спортзал
вул.Леніна, 56А, с.Новий Стародуб, Петрівський р-н, Кіровоградська обл., 28310","936","441","924","36","462","33","495","","0","462","33","495","12","483","10","6","21","99","252","40","14","9","32","29.10.12"
"350636","103","Кіровоградська область","сільський будинок культури, глядацький зал
вул.Леніна, 91, с.Новий Стародуб, Петрівський р-н, Кіровоградська обл., 28310","600","257","595","53","294","49","343","","0","294","49","343","6","337","1","9","20","92","180","5","5","0","25","29.10.12"
"350637","103","Кіровоградська область","амбулаторія, фойє
вул.Садова, 15, с.Новий Стародуб, Петрівський р-н, Кіровоградська обл., 28310","376","137","370","25","217","22","239","","0","217","22","239","8","231","1","0","18","63","114","9","3","2","21","29.10.12"
"350638","103","Кіровоградська область","фельдшерсько-акушерський пункт, к.2
вул.Жовтнева, 114, с.Червоносілля, Петрівський р-н, Кіровоградська обл., 28310","192","72","187","16","104","16","120","","0","104","16","120","3","117","0","3","1","44","59","1","1","0","8","29.10.12"
"350639","103","Кіровоградська область","фельдшерсько-акушерський пункт, к.2
вул.Першотравнева, 7, с.Федорівка, Петрівський р-н, Кіровоградська обл., 28310","80","32","76","9","39","9","48","","0","39","9","48","1","47","0","1","0","10","29","1","0","1","5","29.10.12"
"350640","103","Кіровоградська область","сільський клуб, глядацький зал
вул.Ілліча, 21, с.Олімпіадівка, Петрівський р-н, Кіровоградська обл., 28313","128","48","120","11","70","10","80","","0","70","10","80","0","80","0","0","4","11","64","0","0","0","1","28.10.12"
"350641","103","Кіровоградська область","колишній дитячий садок, музичний зал
вул.Миру, 2, с.Олександро-Мар’ївка, Петрівський р-н, Кіровоградська обл., 28324","208","82","202","14","112","14","126","","0","112","14","126","7","119","17","0","5","30","59","4","0","0","4","28.10.12"
"350642","103","Кіровоградська область","школа, фойє
вул.Молодіжна, 55, с.Петрівське, Петрівський р-н, Кіровоградська обл., 28332","736","278","723","52","407","51","458","","0","407","51","458","9","449","66","4","30","72","228","17","1","2","29","29.10.12"
"350643","103","Кіровоградська область","сільський будинок культури, фойє
вул.Київська, 1А, с.Червонокостянтинівка, Петрівський р-н, Кіровоградська обл., 28333","552","220","550","10","322","10","332","","0","322","10","332","5","327","5","9","32","72","164","23","1","3","18","29.10.12"
"350644","103","Кіровоградська область","сільська бібліотека, фойє
вул.Галугана, 80, с.Баштине, Петрівський р-н, Кіровоградська обл., 28334","336","135","333","4","197","4","201","","0","197","4","201","12","189","5","3","14","57","92","6","1","1","10","29.10.12"
"350645","103","Кіровоградська область","сільський будинок культури, малий зал
вул.Шкільна, 15, с.Чечеліївка, Петрівський р-н, Кіровоградська обл., 28315","536","232","532","9","297","7","304","","0","297","7","304","7","297","2","4","18","88","167","12","1","0","5","30.10.12"
"350646","103","Кіровоградська область","будинок культури, фойє
вул.Пушкіна, 9, с.Олександрівка, Петрівський р-н, Кіровоградська обл., 28313","384","128","379","20","239","17","256","","0","239","17","256","2","254","0","3","7","60","145","3","3","1","32","29.10.12"
"350647","103","Кіровоградська область","Петрівська центральна районна лікарня, бухгалтерія, 1-й поверх
вул.Ілліча, 1, смт Петрове, Петрівський р-н, Кіровоградська обл., 28300","136","98","58","14","26","12","38","","0","26","12","38","0","38","0","0","2","5","23","5","1","0","2","29.10.12"
"350648","103","Кіровоградська область","Петрівська виправна колонія № 49, клуб установи
вул.Польова, 1, с.Новий Стародуб, Петрівський р-н, Кіровоградська обл., 28310","568","40","528","0","528","0","528","","0","528","0","528","50","478","13","29","30","48","274","31","6","12","35","29.10.12"
"350694","103","Кіровоградська область","будинок дитячої та юнацької творчості, фойє
вул.Об’їздна, 20, смт Устинівка, Устинівський р-н, Кіровоградська обл., 28600","1168","492","1160","29","652","24","676","","0","652","24","676","8","668","14","4","8","253","272","62","1","1","53","29.10.12"
"350695","103","Кіровоградська область","школа №2, фойє
вул.Кошового, 8, смт Устинівка, Устинівський р-н, Кіровоградська обл., 28600","672","281","666","14","378","13","391","","0","378","13","391","8","383","2","6","16","196","108","24","1","2","28","29.10.12"
"350696","103","Кіровоградська область","школа №1, фойє
вул.Ювілейна, 18, смт Устинівка, Устинівський р-н, Кіровоградська обл., 28600","1048","478","1043","23","548","22","570","","0","548","22","570","20","550","7","6","18","246","205","33","4","3","28","29.10.12"
"350697","103","Кіровоградська область","школа, фойє
вул.Шкільна, 14, с.Березівка, Устинівський р-н, Кіровоградська обл., 28625","496","200","488","43","257","39","296","","0","257","39","296","5","291","2","4","18","132","114","10","0","0","11","29.10.12"
"350698","103","Кіровоградська область","будинок відпочинку молоді, зал
вул.Центральна, 1, с.Брусівка, Устинівський р-н, Кіровоградська обл., 28611","280","124","273","7","149","7","156","","0","149","7","156","2","154","2","7","10","62","49","12","1","1","10","31.10.12"
"350699","103","Кіровоградська область","школа, актовий зал
вул.Молодіжна, 6, с.Ганно-Леонтовичеве, Устинівський р-н, Кіровоградська обл., 28620","264","112","262","6","146","6","152","","0","146","6","152","5","147","1","4","3","49","85","1","1","0","3","28.10.12"
"350700","103","Кіровоградська область","школа, спортивний зал
вул.Дзержинського, 14, с.Ганно-Требинівка, Устинівський р-н, Кіровоградська обл., 28622","376","130","369","13","233","13","246","","0","233","13","246","8","238","7","3","18","142","45","11","0","1","11","28.10.12"
"350701","103","Кіровоградська область","центр дозвілля та відпочинку молоді, зал
вул.Леніна, 28, с.Димитрове, Устинівський р-н, Кіровоградська обл., 28610","792","370","783","48","375","47","422","","0","375","47","422","16","406","3","5","16","177","146","25","4","2","28","29.10.12"
"350702","103","Кіровоградська область","школа, спортивний зал
вул.Шевченка, 16, с.Мар’янівка, Устинівський р-н, Кіровоградська обл., 28641","200","74","195","10","116","10","126","","0","116","10","126","9","117","0","0","9","69","30","4","0","1","4","29.10.12"
"350703","103","Кіровоградська область","дошкільний навчальний заклад, ігрова кімната
вул.Лесі Українки, 1А, с.Тирлова-Балка, Устинівський р-н, Кіровоградська обл., 28610","128","41","122","15","72","15","87","","0","72","15","87","2","85","0","0","3","34","42","3","0","1","2","28.10.12"
"350704","103","Кіровоградська область","будинок культури, фойє
вул.Леніна, 3В, с.Докучаєве, Устинівський р-н, Кіровоградська обл., 28631","872","313","866","54","508","51","559","","0","508","51","559","11","548","5","8","21","220","219","16","4","0","55","29.10.12"
"350705","103","Кіровоградська область","школа, фойє
школа, с.Мальчевське, Устинівський р-н, Кіровоградська обл., 28632","192","86","182","19","89","17","106","","0","89","17","106","1","105","0","1","4","33","56","1","1","1","8","28.10.12"
"350706","103","Кіровоградська область","будинок культури, фойє
вул.Центральна, 2, с.Жовтневе, Устинівський р-н, Кіровоградська обл., 28613","368","123","363","12","235","10","245","","0","235","10","245","3","242","3","3","3","86","115","16","0","1","15","28.10.12"
"350707","103","Кіровоградська область","сільська рада, обрядовий зал
вул.Центральна, 1, с.Інгульське, Устинівський р-н, Кіровоградська обл., 28624","416","118","409","28","273","25","298","","0","273","25","298","3","295","3","6","6","149","77","12","0","0","42","28.10.12"
"350708","103","Кіровоградська область","будинок культури, зал
вул.Фрунзе, 13, с.Завтурове, Устинівський р-н, Кіровоградська обл., 28624","128","42","118","17","69","17","86","","0","69","17","86","3","83","4","1","1","28","26","1","0","0","22","28.10.12"
"350709","103","Кіровоградська область","будинок культури, фойє
вул.Паші Ангеліної, 3, с.Кринничне, Устинівський р-н, Кіровоградська обл., 28630","840","284","826","33","527","29","556","","0","527","29","556","17","539","6","9","8","224","247","25","1","2","17","28.10.12"
"350710","103","Кіровоградська область","школа, фойє
вул.Шкільна, 1, с.Садки, Устинівський р-н, Кіровоградська обл., 28630","256","99","252","8","149","8","157","","0","149","8","157","5","152","1","3","1","76","56","11","1","3","0","30.10.12"
"350711","103","Кіровоградська область","будинок культури, фойє
вул.Стеріна Ю.І., 19, с.Криничуватка, Устинівський р-н, Кіровоградська обл., 28612","432","162","420","27","243","27","270","","0","243","27","270","8","262","13","5","24","111","82","9","0","3","15","28.10.12"
"350712","103","Кіровоградська область","будинок культури, зал
вул.Осипова М.І., 50, с.Березуватка, Устинівський р-н, Кіровоградська обл., 28614","272","97","263","16","163","12","175","","0","163","12","175","3","172","2","1","8","56","93","2","0","1","9","29.10.12"
"350713","103","Кіровоградська область","сільська рада, зал
вул.Гаркавого, 22, с.Олександрівка, Устинівський р-н, Кіровоградська обл., 28621","296","98","290","11","187","11","198","","0","187","11","198","2","196","0","0","6","84","92","5","0","1","8","29.10.12"
"350714","103","Кіровоградська область","школа, фойє
вул.Шкільна, 2, с.Седнівка, Устинівський р-н, Кіровоградська обл., 28620","544","196","529","21","327","21","348","","0","327","21","348","10","338","9","0","9","122","167","18","0","0","13","29.10.12"
"350715","103","Кіровоградська область","школа, спортивний зал
вул.Леніна, 38, с.Сонцеве, Устинівський р-н, Кіровоградська обл., 28623","192","60","189","10","122","10","132","","0","122","10","132","4","128","2","1","4","44","61","3","2","0","11","28.10.12"
"350716","103","Кіровоградська область","будинок культури, мала зала
вул.Суворова, 31, с.Степанівка, Устинівський р-н, Кіровоградська обл., 28611","480","177","472","28","279","24","303","","0","279","24","303","9","294","4","1","5","153","107","12","0","1","11","28.10.12"
"350717","103","Кіровоградська область","адміністративне приміщення виправного центру (№37), фойє
вул.Центральна, 5, с.Інгульське, Устинівський р-н, Кіровоградська обл., 28624","112","21","104","0","91","0","91","","0","91","0","91","3","88","1","2","2","9","70","2","0","0","2","28.10.12"
"350741","103","Кіровоградська область","школа №8, спортивна зала
вул.Культурна, 86, м.Олександрія, Кіровоградська обл., 28001","1920","921","1908","13","987","12","999","","0","987","12","999","22","977","6","30","116","289","325","93","13","15","90","31.10.12"
"350742","103","Кіровоградська область","НВО ""ЕТАЛ"", пошта, фойє
вул.Заводська, 1, м.Олександрія, Кіровоградська обл., 28000","1480","857","1470","15","612","11","623","","0","612","11","623","19","604","6","11","57","141","259","52","8","10","60","29.10.12"
"350743","103","Кіровоградська область","ясла-садок №20, ігрова кімната
вул.Червоностудентська, 88, м.Олександрія, Кіровоградська обл., 28000","1056","537","1050","9","513","6","519","","0","513","6","519","8","511","5","12","62","117","204","67","7","10","27","29.10.12"
"350744","103","Кіровоградська область","дитячий садок №35, ігрова кімната
пров.Білоруський, 2, м.Олександрія, Кіровоградська обл., 28000","1800","923","1783","25","854","23","877","","0","854","23","877","24","853","3","32","98","207","294","101","8","19","91","29.10.12"
"350745","103","Кіровоградська область","професійний ліцей, фойє, 1-й поверх
пл.Кірова, 18, м.Олександрія, Кіровоградська обл., 28001","1736","897","1712","25","818","21","839","","0","818","21","839","27","812","4","18","73","248","245","105","24","10","85","29.10.12"
"350746","103","Кіровоградська область","гімназія-школа мистецтв, ігрова кімната
вул.20 років Жовтня, 19, м.Олександрія, Кіровоградська обл., 28001","2040","927","2014","29","1089","24","1113","","0","1089","24","1113","30","1083","7","36","98","275","420","100","30","18","99","29.10.12"
"350747","103","Кіровоградська область","спеціальна школа №4, спортивна зала
вул.20 років Жовтня, 6, м.Олександрія, Кіровоградська обл., 28001","2128","984","2117","24","1127","17","1144","","0","1127","17","1144","36","1108","4","20","109","250","455","117","26","20","107","31.10.12"
"350748","103","Кіровоградська область","палац культури, фойє, 1-й поверх
вул.6-го Грудня, 2, м.Олександрія, Кіровоградська обл., 28000","1720","960","1695","40","731","29","760","","0","731","29","760","27","733","5","20","70","193","274","71","9","9","82","29.10.12"
"350749","103","Кіровоградська область","політехнічний коледж, хол, 1-й поверх
пр.Леніна, 62, м.Олександрія, Кіровоградська обл., 28000","1656","802","1640","37","828","26","854","","0","828","26","854","29","825","7","24","68","173","333","79","25","17","99","29.10.12"
"350750","103","Кіровоградська область","дитяча музична школа, фойє, 1-й поверх
пл.Леніна, 6, м.Олександрія, Кіровоградська обл., 28000","1696","787","1678","18","895","14","909","","0","895","14","909","29","880","6","36","73","242","336","81","19","13","74","31.10.12"
"350751","103","Кіровоградська область","Олександрійське училище культури, танцювальна зала
вул.Діброви, 47, м.Олександрія, Кіровоградська обл., 28000","2496","1319","2460","19","1161","16","1177","","0","1161","16","1177","22","1155","7","48","108","249","441","160","17","12","113","29.10.12"
"350752","103","Кіровоградська область","школа №19, спортивна зала
вул.Діброви, 91, м.Олександрія, Кіровоградська обл., 28000","2504","1278","2461","28","1205","21","1226","","0","1205","21","1226","30","1196","7","45","94","224","490","146","33","20","137","29.10.12"
"350753","103","Кіровоградська область","школа №9, конференційна зала
пр.Леніна, 82, м.Олександрія, Кіровоградська обл., 28008","2064","1031","2042","20","1019","14","1033","","0","1019","14","1033","25","1008","8","29","90","231","384","104","17","24","121","29.10.12"
"350754","103","Кіровоградська область","палац культури ""Світлопільський"", фойє, 2-й поверх
пр.Леніна, 89, м.Олександрія, Кіровоградська обл., 28008","2200","1051","2173","36","1119","30","1149","","0","1119","30","1149","37","1112","9","35","66","268","475","89","33","13","124","29.10.12"
"350755","103","Кіровоградська область","школа ""Гранд-Форум"", читальна зала
вул.Калініна, 88, м.Олександрія, Кіровоградська обл., 28008","2032","1072","2011","28","936","24","960","","0","936","24","960","27","933","10","23","91","242","323","127","25","13","79","29.10.12"
"350756","103","Кіровоградська область","школа №15, фойє, 2-й поверх
вул.Семашка, 63А, м.Олександрія, Кіровоградська обл., 28008","1808","879","1795","23","911","18","929","","0","911","18","929","19","910","8","23","61","253","343","95","20","11","96","29.10.12"
"350757","103","Кіровоградська область","палац культури ""Світлопільський"", фойє, 1-й поверх
пр.Леніна, 89, м.Олександрія, Кіровоградська обл., 28008","2208","1075","2188","11","1122","11","1133","","0","1122","11","1133","30","1103","10","24","120","259","432","108","40","21","89","29.10.12"
"350758","103","Кіровоградська область","дитяча міська лікарня, актова зала
вул.Червоного Козацтва, 86, м.Олександрія, Кіровоградська обл., 28008","2080","1042","2052","19","1025","13","1038","","0","0","0","1037","32","1005","4","27","91","270","356","109","22","16","110","30.10.12"
"350759","103","Кіровоградська область","школа №17, фойє, 1-й поверх
пр.Леніна, 130, м.Олександрія, Кіровоградська обл., 28008","2488","1359","2446","9","1121","8","1129","","0","1121","8","1129","29","1100","11","15","118","285","413","108","31","15","104","29.10.12"
"350760","103","Кіровоградська область","Олександрійський колегіум, фойє, 2-й поверх
вул.6-го Грудня, 97, м.Олександрія, Кіровоградська обл., 28000","2480","1518","2448","6","960","2","962","","0","960","2","962","19","943","2","30","67","269","387","92","23","10","63","29.10.12"
"350761","103","Кіровоградська область","міськрайонний центр зайнятості, фойє, 1-й поверх
пр.Леніна, 126А, м.Олександрія, Кіровоградська обл., 28008","2487","1269","2464","11","1215","3","1218","","0","1215","3","1218","38","1180","6","26","86","232","521","141","40","14","114","29.10.12"
"350762","103","Кіровоградська область","училище №17, адміністративний комплекс, актова зала
вул.Героїв Сталінграда, 25, м.Олександрія, Кіровоградська обл., 28009","2480","1394","2443","15","1078","8","1086","","0","1078","8","1086","19","1067","6","19","54","292","474","105","37","10","70","29.10.12"
"350763","103","Кіровоградська область","ясла-садок №42, спортивна зала
вул.Героїв Сталінграда, 23А, м.Олександрія, Кіровоградська обл., 28009","1688","888","1679","10","790","10","800","","0","790","10","800","20","780","8","14","69","173","329","66","23","7","91","29.10.12"
"350764","103","Кіровоградська область","училище №17, блок навчальних майстерень, фойє
вул.Героїв Сталінграда, 25, м.Олександрія, Кіровоградська обл., 28009","2456","1412","2426","9","1039","5","1044","","0","1039","5","1044","26","1018","6","18","61","204","442","122","33","16","116","29.10.12"
"350765","103","Кіровоградська область","ясла-садок №2, спортивна зала
вул.Садова, 56, м.Олександрія, Кіровоградська обл., 28009","2400","1305","2376","18","1081","14","1095","","0","1081","14","1095","24","1071","7","22","78","269","443","114","29","21","88","29.10.12"
"350766","103","Кіровоградська область","трест ""Олександріярозрізбуд"", їдальня
пр.Леніна, 191, м.Олександрія, Кіровоградська обл., 28000","1512","730","1504","9","773","9","782","","0","773","9","782","18","764","4","12","69","244","238","84","18","9","86","29.10.12"
"350767","103","Кіровоградська область","трест ""Олександріярозрізбуд"", навчальний клас
вул.Леоніда Коваленка, 23А, м.Олександрія, Кіровоградська обл., 28006","632","356","616","3","273","3","276","","0","273","3","276","4","272","1","7","25","70","98","29","4","4","34","28.10.12"
"350768","103","Кіровоградська область","школа №7, їдальня
вул.Трудових Резервів, 4, м.Олександрія, Кіровоградська обл., 28006","768","413","768","8","350","5","355","","0","350","5","355","11","344","2","16","61","71","130","25","2","6","31","29.10.12"
"350769","103","Кіровоградська область","автомобільна школа, навчальна кімната
вул.Куйбишева, 89, м.Олександрія, Кіровоградська обл., 28002","1608","892","1585","11","707","9","716","","0","707","9","716","15","701","3","25","75","195","251","72","14","8","58","29.10.12"
"350770","103","Кіровоградська область","школа №6, актова зала, 2-й поверх
вул.Знам’янська, 1, м.Олександрія, Кіровоградська обл., 28002","2272","1197","2256","24","1052","23","1075","","0","1052","23","1075","30","1045","4","15","139","299","363","95","20","11","99","29.10.12"
"350771","103","Кіровоградська область","училище №7, фойє, 1-й поверх
вул.Нагорна, 104, м.Олександрія, Кіровоградська обл., 28006","2288","1206","2262","25","1059","23","1082","","0","1059","23","1082","40","1042","5","14","97","319","388","82","13","17","107","29.10.12"
"350772","103","Кіровоградська область","філія Кіровоградського інституту регіонального управління економіки, фойє
пр.Будівельників, 31А, м.Олександрія, Кіровоградська обл., 28006","2152","1173","2147","17","968","11","979","","0","968","11","979","20","959","1","24","112","240","375","79","22","17","89","29.10.12"
"350773","103","Кіровоградська область","школа №10, спортивна зала
вул.Артема, 2, м.Олександрія, Кіровоградська обл., 28006","1096","597","1081","9","493","6","499","","0","493","6","499","11","488","0","8","39","120","203","64","9","4","41","29.10.12"
"350774","103","Кіровоградська область","гірничорятувальний загін, к.8
вул.Жуковського, 13, м.Олександрія, Кіровоградська обл., 28006","1272","699","1266","8","566","7","573","","0","566","7","573","22","551","7","7","65","159","209","47","9","8","40","28.10.12"
"350775","103","Кіровоградська область","будинок культури, фуршетний зал
вул.Клубна, 9, смт Димитрове, м.Олександрія, Кіровоградська обл., 28040","1576","827","1564","15","735","14","749","","0","735","14","749","21","728","7","20","108","139","297","40","20","8","89","29.10.12"
"350776","103","Кіровоградська область","школа №12, фойє, 1-й поверх
вул.40 років Жовтня, 4, смт Димитрове, м.Олександрія, Кіровоградська обл., 28040","1592","842","1577","18","739","11","750","","0","739","11","750","26","724","3","30","145","84","331","44","10","17","60","29.10.12"
"350777","103","Кіровоградська область","дитяча музична школа, актова зала
вул.Димитрова, 4, смт Димитрове, м.Олександрія, Кіровоградська обл., 28040","592","322","584","22","255","15","270","","0","255","15","270","4","266","2","10","32","55","115","12","5","5","30","29.10.12"
"350778","103","Кіровоградська область","школа, їдальня
вул.Братів Петриченків, 53, с.Звенигородка, м.Олександрія, Кіровоградська обл., 28025","936","448","925","14","479","9","488","","0","479","9","488","15","473","2","11","33","87","220","25","6","2","87","29.10.12"
"350779","103","Кіровоградська область","школа, фойє, 1-й поверх
вул.Самохвалова, 22, с.Марто-Іванівка, м.Олександрія, Кіровоградська обл., 28024","840","420","820","6","414","6","420","","0","414","6","420","12","408","1","5","14","62","234","26","1","3","62","29.10.12"
"350780","103","Кіровоградська область","будинок культури, фойє, 1-й поверх
вул.Магістральна, 47, смт Пантаївка, м.Олександрія, Кіровоградська обл., 28023","1784","883","1770","29","879","22","901","","0","879","22","901","28","873","9","54","66","185","282","54","8","12","203","29.10.12"
"350781","103","Кіровоградська область","геріатричний пансіонат, актова зала
вул.Героїв Сталінграда, 10, м.Олександрія, Кіровоградська обл., 28000","224","29","226","73","137","58","195","","0","137","58","195","13","182","4","7","3","25","124","5","0","2","12","29.10.12"
"350782","103","Кіровоградська область","міська лікарня №1, актова зала
вул.Семашка, 15, м.Олександрія, Кіровоградська обл., 28000","392","166","249","72","162","64","226","","0","162","64","226","7","219","1","4","82","24","71","12","6","1","18","29.10.12"
"350783","103","Кіровоградська область","центральна районна лікарня, актова зала
вул.Клари Цеткін, 12, м.Олександрія, Кіровоградська обл., 28000","128","90","40","12","26","12","38","","0","26","12","38","1","37","1","1","2","6","22","2","0","0","3","29.10.12"
"350784","103","Кіровоградська область","психіатрична лікарня, адміністративний корпус, актова зала
вул.Дружби Народів, 10, м.Олександрія, Кіровоградська обл., 28006","64","22","55","0","42","0","42","","0","42","0","42","4","38","0","0","1","7","28","0","0","0","2","28.10.12"
