"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бойко
"440823","109","Луганська область","дошкільний навчальний заклад ""Ладусі"", спортивна зала
квартал Кошового, 24, м.Молодогвардійськ, м.Краснодон, Луганська обл., 94415","1184","546","1188","16","622","16","638","","0","622","16","638","26","612","4","92","7","2","6","2","4","0","14","90","282","21","5","5","75","3","29.10.12"
"440824","109","Луганська область","дитячий садок ""Колобок"", актова зала
вул.Гастелло, 4, м.Суходільськ, м.Краснодон, Луганська обл., 94420","864","359","852","39","471","34","505","","0","471","34","505","23","482","4","49","1","2","2","1","1","0","15","71","245","21","8","4","56","2","29.10.12"
"440825","109","Луганська область","шахта ""Дуванна"", їдальня
вул.Жуковського, шахта ""Дуванна"", м.Суходільськ, м.Краснодон, Луганська обл., 94420","860","364","854","28","473","23","496","","0","473","23","496","15","481","1","29","1","1","3","0","0","0","9","57","287","23","4","4","61","1","28.10.12"
"440826","109","Луганська область","школа №14, фойє, 2-й поверх
вул.Гастелло, 14, м.Суходільськ, м.Краснодон, Луганська обл., 94420","1588","760","1566","73","762","66","828","","0","762","66","828","30","798","3","72","5","4","10","2","1","1","19","182","354","40","7","12","83","3","29.10.12"
"440827","109","Луганська область","школа-інтернат, фойє
вул.Леніна, 3, м.Суходільськ, м.Краснодон, Луганська обл., 94420","2108","923","2066","46","1142","43","1185","","0","1142","43","1185","51","1134","6","126","17","5","19","2","3","1","30","174","531","58","7","7","138","10","29.10.12"
"440828","109","Луганська область","центр дитячої творчості, фойє
вул.Д.Виставкіна, 31, м.Суходільськ, м.Краснодон, Луганська обл., 94420","1092","536","1081","48","518","38","556","","0","518","38","556","23","533","0","41","3","2","4","0","3","2","10","79","287","26","8","11","54","3","29.10.12"
"440829","109","Луганська область","гірнично-промисловий ліцей, актова зала, 2-й поверх
вул.Блюхера, 7, м.Суходільськ, м.Краснодон, Луганська обл., 94420","2256","1078","2216","44","1148","30","1178","","0","1148","30","1178","30","1148","1","68","11","1","6","2","1","1","33","223","578","59","11","9","134","10","29.10.12"
"440830","109","Луганська область","палац культури, фойє
пл.Блюхера, 1, м.Суходільськ, м.Краснодон, Луганська обл., 94420","2372","1119","2358","62","1199","54","1253","","0","1196","54","1250","32","1218","3","112","5","4","9","0","3","1","36","248","603","54","9","11","116","4","29.10.12"
"440831","109","Луганська область","школа №5, фойє
вул.Станіславського, 21, м.Суходільськ, м.Краснодон, Луганська обл., 94420","1860","835","1855","27","1004","21","1025","","0","1004","21","1025","36","989","2","87","3","1","11","2","1","3","29","183","468","70","10","2","111","6","29.10.12"
"440832","109","Луганська область","школа №17, фойє
вул.Станіславського, 61, м.Суходільськ, м.Краснодон, Луганська обл., 94420","2368","1217","2324","27","1125","26","1151","","0","1125","26","1151","35","1116","1","97","8","2","8","1","6","0","21","209","526","83","9","6","133","6","29.10.12"
"440833","109","Луганська область","школа №11, фойє
вул.Шкільна, 1, смт Урало-Кавказ, м.Краснодон, Луганська обл., 94440","772","322","767","39","420","30","450","","0","420","30","450","18","432","1","50","8","0","6","0","0","0","7","78","191","9","2","13","67","0","29.10.12"
"440834","109","Луганська область","амбулаторія, фойє
вул.Горького, 17, смт Урало-Кавказ, м.Краснодон, Луганська обл., 94440","728","352","718","39","342","34","376","","0","342","34","376","5","371","1","43","9","2","0","1","0","0","9","93","114","12","5","4","78","0","29.10.12"
"440835","109","Луганська область","ТОВ ""Перемога"", актова зала
вул.3-й квартал, ТОВ ""Перемога"", смт Урало-Кавказ, м.Краснодон, Луганська обл., 94440","600","239","596","30","333","28","361","","0","333","28","361","11","350","3","46","4","1","0","0","2","0","12","121","100","6","0","2","53","0","29.10.12"
"440836","109","Луганська область","будинок культури, фойє
вул.Клубна, 2А, смт Ізварине, м.Краснодон, Луганська обл., 94443","796","391","794","27","378","27","405","","0","378","27","405","8","397","2","36","1","1","0","0","2","0","11","98","218","5","3","2","18","0","29.10.12"
"440837","109","Луганська область","адміністративна будівля залізнична-дорожньої станції ""Ізварине"", фойє
вул.Вокзальна, 1, смт Ізварине, м.Краснодон, Луганська обл., 94443","372","165","368","16","191","16","207","","0","191","16","207","2","205","0","14","2","0","1","0","0","0","8","64","94","6","1","1","14","0","29.10.12"
"440838","109","Луганська область","школа №15, фойє
вул.Центральна, 23, смт Краснодарський, м.Краснодон, Луганська обл., 94446","208","34","211","14","160","14","174","","0","160","14","174","7","167","2","2","6","5","1","0","0","0","9","43","74","11","2","0","12","0","28.10.12"
"440839","109","Луганська область","палац культури, танцювальна зала
вул.Советська, 18, смт Сєверний, м.Краснодон, Луганська обл., 94425","1432","550","1347","68","814","68","882","","0","814","68","882","23","859","2","63","20","8","2","2","2","0","30","270","316","52","3","12","77","0","29.10.12"
"440840","109","Луганська область","школа №13, актова зала
вул.Почтова, 7, смт Сєверо-Гундорівський, м.Краснодон, Луганська обл., 94427","992","414","968","58","524","54","578","","0","524","54","578","12","566","1","24","13","1","2","1","1","2","21","137","258","28","3","6","67","1","29.10.12"
"440841","109","Луганська область","школа №18, фойє
вул.Карла Маркса, 12, смт Енгельсове, м.Краснодон, Луганська обл., 94433","692","234","683","28","430","28","458","","0","430","28","458","11","447","2","35","18","0","2","1","0","0","11","54","224","28","2","3","65","2","29.10.12"
"440842","109","Луганська область","приватний будинок, к.2
вул.Кірова, 22, с-ще Широке, м.Краснодон, Луганська обл., 94433","336","134","332","18","184","18","202","","0","184","18","202","2","200","0","10","10","0","2","0","0","0","12","53","64","10","1","2","36","0","29.10.12"
"440843","109","Луганська область","приватний будинок, к.2
вул.Леніна, 27, смт Гірне, м.Краснодон, Луганська обл., 94436","124","68","123","6","50","6","56","","0","50","6","56","2","54","0","11","7","0","0","0","0","0","2","4","22","4","0","0","4","0","29.10.12"
"440844","109","Луганська область","школа №22, рекреація
вул.Єлисеєнко, 17, смт Краснодон, м.Краснодон, Луганська обл., 94430","2156","1015","2112","43","1099","42","1141","","0","1099","42","1141","33","1108","3","115","94","6","9","3","1","3","26","204","381","22","14","11","212","4","29.10.12"
"440845","109","Луганська область","школа-інтернат, фойє
вул.Садова, 1А, смт Краснодон, м.Краснодон, Луганська обл., 94430","1868","832","1851","80","972","64","1036","","0","972","64","1036","30","1006","8","106","74","5","7","6","6","0","33","134","366","20","4","9","226","2","29.10.12"
"440846","109","Луганська область","приватна будівля, к.1
вул.Леніна, 2, с-ще Світличне, м.Краснодон, Луганська обл., 94436","80","17","78","0","63","0","63","","0","63","0","63","0","63","0","4","2","0","0","0","0","0","0","3","31","15","1","0","7","0","30.10.12"
"440847","109","Луганська область","центральна міська лікарня, актова зала
вул.Земнухова, 151, м.Краснодон, Луганська обл., 94400","304","157","167","56","103","44","147","","0","103","44","147","4","143","0","13","2","0","0","1","0","2","4","29","58","15","2","3","14","0","29.10.12"
"440848","109","Луганська область","міська лікарня №2, пал.3
вул.Больнична колона, 1, м.Краснодон, Луганська обл., 94400","40","4","36","7","29","7","36","","0","29","7","36","3","33","0","8","0","0","0","0","0","0","0","4","17","3","0","1","0","0","29.10.12"
"440849","109","Луганська область","виправна колонія, їдальня
вул.Карпинського, 46, м.Суходільськ, м.Краснодон, Луганська обл., 94420","1172","33","1139","0","1139","0","1139","","0","1139","0","1139","12","1127","4","17","5","2","1","2","2","0","5","8","1052","10","7","6","5","1","29.10.12"
"441434","109","Луганська область","ДП ""Луганськвугілля"", актова зала
вул.Карла Маркса, 45, м.Луганськ, 91055","1736","662","1722","18","1058","16","1074","","0","1058","16","1074","43","1031","4","62","22","8","16","7","23","5","12","118","411","69","59","44","152","19","29.10.12"
"441435","109","Луганська область","Луганський обласний палац культури, фойє
вул.Пушкіна, 2, м.Луганськ, 91055","1004","432","998","15","557","15","572","","0","557","15","572","23","549","10","24","10","4","14","3","19","1","60","272","25","28","20","46","10","3","29.10.12"
"441436","109","Луганська область","Палац позашкільної роботи, творчості дітей та учнівської молоді, фойє
вул.Лєніна, 11, м.Луганськ, 91055","1544","661","1526","36","853","30","883","","0","853","30","883","21","862","14","40","14","2","13","2","37","1","8","69","390","63","23","38","131","17","29.10.12"
"441437","109","Луганська область","Луганський державний інститут культури і мистецтв, фойє
вул.Красная площадь, 7, м.Луганськ, 91055","1252","460","1250","20","772","20","792","","0","772","20","792","25","767","12","35","5","6","14","1","20","7","9","55","391","38","39","25","91","19","29.10.12"
"441438","109","Луганська область","5-й навчальний корпус ЛНУ імені Тараса Шевченка, фойє
вул.Красная площадь, 4, м.Луганськ, 91055","1236","456","1235","22","758","22","780","","0","758","22","780","27","753","4","33","12","2","10","3","18","4","9","77","337","54","36","26","105","23","29.10.12"
"441439","109","Луганська область","школа №20, фойє
вул.Луначарского, 1А, м.Луганськ, 91055","1332","495","1330","29","811","26","837","","0","811","26","837","50","787","5","45","14","12","18","8","22","4","12","73","311","46","54","46","95","22","29.10.12"
"441440","109","Луганська область","ДП ""Луганськвугілля"", їдальня
вул.Лєрмонтова, 1В, м.Луганськ, 91055","2172","804","2147","19","1350","18","1368","","0","1350","18","1368","64","1304","16","80","23","4","25","6","32","4","22","159","505","77","77","52","176","46","29.10.12"
"441441","109","Луганська область","Луганський державний коледж економіки і торгівлі, спортивна зала
вул.Совєтская, 44, м.Луганськ, 91055","1704","690","1703","14","1001","13","1014","","0","1001","13","1014","46","968","10","50","13","9","17","8","13","2","8","66","471","55","65","50","109","22","29.10.12"
"441442","109","Луганська область","Луганський академічний обласний театр ляльок, фойє
вул.16-я Лінія, 7Б, м.Луганськ, 91055","1256","453","1243","29","776","27","803","","0","776","27","803","27","775","5","42","5","5","12","2","32","1","10","95","328","46","46","23","101","22","29.10.12"
"441443","109","Луганська область","Луганський академічний обласний російський драматичний театр, фойє
вул.Коцюбінского, 9А, м.Луганськ, 91000","1884","685","1868","20","1180","19","1199","","0","1180","19","1199","55","1144","10","56","18","15","24","7","33","2","87","16","515","78","60","41","157","25","29.10.12"
"441444","109","Луганська область","ДП ""ЖЕК ""МЖК"" ТОВ ""Виробничо-будівельне об’єднання МЖК"", актова зала
вул.Оборонная, 1, м.Луганськ, 91038","1724","724","1695","10","992","8","1000","","0","992","8","1000","63","937","19","76","24","9","26","5","35","4","16","78","343","58","55","61","97","31","29.10.12"
"441445","109","Луганська область","школа №17, спортивна зала
вул.Чєлюскінцев, 4Б, м.Луганськ, 91011","1432","626","1413","26","780","26","806","","0","780","26","806","134","672","4","27","4","10","8","2","19","1","6","55","301","44","46","45","81","19","29.10.12"
"441446","109","Луганська область","Центр побутових послуг ЛНУ імені Тараса Шевченка, фойє
вул.Матросова, 4А, м.Луганськ, 91011","1456","655","1457","0","801","0","801","","0","801","0","801","36","765","18","49","279","20","15","5","9","6","13","24","203","26","28","12","53","5","29.10.12"
"441447","109","Луганська область","2-й навчальний корпус ЛНУ імені Тараса Шевченка, фойє
вул.Оборонная, 2, м.Луганськ, 91011","1240","612","1280","7","622","6","628","","0","622","6","628","35","593","11","45","161","15","19","10","16","1","12","49","140","20","30","10","37","17","29.10.12"
"441448","109","Луганська область","Луганське міжрайонне управління з експлуатації газового господарства, їдальня
вул.Совєтская, 82, м.Луганськ, 91053","1796","769","1768","18","1009","18","1027","","0","1009","18","1027","43","984","7","56","26","4","15","4","13","1","16","133","401","57","73","39","107","32","29.10.12"
"441449","109","Луганська область","школа №26, спортивна зала
вул.50-лєтія Образованія СССР, 35, м.Луганськ, 91053","2184","892","2183","21","1273","19","1292","","0","1273","19","1292","43","1249","15","55","18","8","18","11","37","3","20","152","581","70","59","39","145","18","29.10.12"
"441450","109","Луганська область","Гуртожиток МКП ""Луганськжитло"", спортивна зала
вул.Совєтская, 92А, м.Луганськ, 91053","1436","622","1404","20","795","19","814","","0","795","19","814","33","781","3","45","10","7","7","5","28","4","10","70","383","28","45","31","84","21","29.10.12"
"441451","109","Луганська область","Луганський професійний торгово-кулінарний ліцей ЛНУ ім.Тараса Шевченка, спортивна зала
вул.Оборонная, 4, м.Луганськ, 91011","1864","897","1838","25","942","25","967","","0","942","25","967","25","942","3","59","12","10","12","2","24","2","11","45","451","58","63","55","112","23","29.10.12"
"441452","109","Луганська область","гуртожиток №1 Луганського будівельного коледжу, каб. військової підготовки
вул.Газєти Луганской правди, 149","1596","692","1582","18","887","17","904","","0","887","17","904","36","868","14","65","16","15","15","11","21","4","7","66","368","50","62","29","100","25","29.10.12"
"441453","109","Луганська область","ТОВ ""Поліграфічний центр ""Максим"", приміщення цеху
вул.1-я Славянская, 2Б, м.Луганськ, 91011","1360","595","1304","46","720","45","765","","0","720","45","765","28","737","1","31","10","6","10","2","20","1","4","41","481","19","32","13","59","7","29.10.12"
"441454","109","Луганська область","Луганський обласний академічний український музикально-драматичний театр, фойє
вул.Оборонная, 11, м.Луганськ, 91011","1324","532","1320","32","761","31","792","","0","761","31","792","36","756","2","32","12","4","9","4","17","4","19","133","352","26","37","18","75","12","29.10.12"
"441455","109","Луганська область","Луганський будівельний коледж, фойє
вул.Оборонная, 8, м.Луганськ, 91031","2000","886","1990","29","1086","28","1114","","0","1086","28","1114","46","1068","8","39","9","18","23","5","30","5","17","148","462","42","56","46","135","25","29.10.12"
"441456","109","Луганська область","Луганське вище професійне училище автосервісу, спортивна зала
вул.Курчатова, 10А, м.Луганськ, 91031","1424","567","1409","38","824","33","857","","0","824","33","857","37","820","8","82","11","375","20","10","14","55","17","5","29","46","93","37","3","15","02.11.12"
"441457","109","Луганська область","Луганське вище професійне училище автосервісу, актова зала
вул.Курчатова, 10А, м.Луганськ, 91031","1460","588","1458","19","857","15","872","","0","857","15","872","36","836","12","47","17","6","9","4","30","9","9","126","384","34","36","26","68","19","29.10.12"
"441458","109","Луганська область","Луганська спеціалізована школа №1 імені професора Л.М.Лоповка, спортивна зала
вул.Газєти Луганской правди, 151, м.Луганськ, 91031","1420","671","1400","29","724","25","749","","0","724","25","749","37","712","8","39","8","11","13","4","20","7","12","70","314","44","30","35","83","14","29.10.12"
"441459","109","Луганська область","ДП ""Державний науково-дослідний інститут будівельних конструкцій"", філія, навчальна аудиторія
кв.Дімітрова, 23А, м.Луганськ, 91031","1740","740","1741","20","980","20","1000","","0","980","20","1000","44","956","10","52","16","12","16","6","34","8","10","70","432","56","50","41","124","19","29.10.12"
"441460","109","Луганська область","Луганський обласний інститут післядипломної педагогічної освіти, їдальня
вул.1-я Славянская, 1Б, м.Луганськ, 91011","1304","524","1286","20","761","19","780","","0","761","19","780","29","751","1","43","8","4","7","1","23","1","9","95","346","42","37","38","82","14","29.10.12"
"441461","109","Луганська область","школа №38, їдальня
кв.Шевченко Т.Г., 20А, м.Луганськ, 91033","1904","757","1880","54","1096","51","1147","","0","1096","51","1147","43","1103","10","59","14","9","18","2","36","6","15","54","564","53","54","39","137","33","29.10.12"
"441462","109","Луганська область","школа №14, фойє
кв.Шевченко Т.Г., школа №14, м.Луганськ, 91033","2204","919","2168","50","1235","50","1285","","0","1235","50","1285","59","1224","8","58","14","9","21","9","28","3","15","87","594","70","44","60","188","16","29.10.12"
"441463","109","Луганська область","Луганська обласна організація Товариство сприяння обороні України, актова зала
вул.Оборонная, 24, м.Луганськ, 91033","1744","659","1778","38","1049","36","1085","","0","1049","36","1085","51","1034","14","51","14","10","15","4","40","5","13","92","479","28","49","34","148","38","30.10.12"
"441464","109","Луганська область","""Машзавод 100"", приміщення цеху
вул.Звєйнєка, 145, м.Луганськ, 91033","1792","883","1763","25","886","23","909","","0","886","23","909","40","869","0","24","13","7","12","1","34","6","16","151","392","33","49","35","79","17","29.10.12"
"441465","109","Луганська область","ТОВ ""МілаМ"", фойє
вул.Звєйнєка, 147Б, м.Луганськ, 91033","1116","578","1116","3","535","3","538","","0","535","3","538","21","517","2","24","22","7","14","5","16","4","10","22","272","13","23","21","51","11","29.10.12"
"441466","109","Луганська область","Політехнічний коледж ЛНАУ, гімнастична зала
кв.Пролєтаріата Донбаса, 5, м.Луганськ, 91047","1296","489","1284","0","807","0","807","","0","807","0","807","47","760","13","32","11","15","22","9","24","12","23","102","323","34","33","38","48","21","29.10.12"
"441467","109","Луганська область","Політехнічний коледж ЛНАУ, читальна зала
кв.Пролєтаріата Донбаса, 5, м.Луганськ, 91047","1240","565","1230","4","671","4","675","","0","671","4","675","41","634","7","39","10","2","11","8","24","4","12","124","260","27","24","26","48","8","29.10.12"
"441468","109","Луганська область","Луганське вище професійне училище інформаційних технологій, спортивна зала
вул.Пєрєяславская, 7, м.Луганськ, 91047","2156","948","2101","78","1131","77","1208","","0","1131","77","1208","51","1157","14","40","20","14","19","10","14","12","15","81","569","40","64","141","91","13","29.10.12"
"441469","109","Луганська область","Луганська спеціалізована школа №29 імені льотчика-космонавта Г.Т.Берегового, фойє, ліворуч
кв.Острая Могіла, 158/4, м.Луганськ, 91004","1348","582","1338","15","754","12","766","","0","754","12","766","28","738","2","39","4","5","10","3","18","4","14","57","334","11","34","90","90","23","29.10.12"
"441470","109","Луганська область","Луганська спеціалізована школа №29 імені льотчика-космонавта Г.Т.Берегового, фойє, праворуч
кв.Острая Могіла, 158/4, м.Луганськ, 91004","1340","572","1315","11","758","10","768","","1","758","10","768","18","750","4","28","7","4","17","4","10","3","7","91","312","21","20","103","110","9","29.10.12"
"441471","109","Луганська область","Луганський державний медичний університет, 1-й навчальний корпус, фойє
кв.50-лєтія Оборони Луганска, 1Г, м.Луганськ, 91045","1916","595","1897","17","1305","16","1321","","0","1305","16","1321","58","1263","20","58","14","20","21","16","38","19","20","66","609","49","34","54","158","67","29.10.12"
"441472","109","Луганська область","Луганський державний медичний університет, 2-й навчальний корпус, фойє
кв.50-лєтія Оборони Луганска, 1Г, м.Луганськ, 91045","1228","458","1234","4","766","4","770","","0","766","4","770","31","739","4","49","8","7","20","5","21","10","6","42","279","70","52","31","96","39","29.10.12"
"441473","109","Луганська область","гуртожиток Луганської обласної клінічної лікарні, актова зала
кв.50-лєтія Оборони Луганска, 15, м.Луганськ, 91045","564","96","554","0","468","0","468","","0","468","0","468","24","444","7","32","11","7","9","2","24","11","8","11","209","9","24","22","45","13","28.10.12"
"441474","109","Луганська область","Луганський обласний геріатричний пансіонат для ветеранів війни та праці, фойє
вул.Тєністая, 2, м.Луганськ, 91045","328","4","339","5","319","5","324","","0","319","5","324","6","318","0","2","0","1","1","0","1","0","1","0","305","2","0","1","4","0","29.10.12"
"441475","109","Луганська область","Луганська міська багатопрофільна лікарня №7, фойє
вул.Шерємєта А.С., 1, м.Луганськ, 91055","352","1","428","28","324","27","351","","0","324","27","351","17","334","4","37","3","1","10","2","19","2","10","7","180","13","8","11","19","8","29.10.12"
"441476","109","Луганська область","Луганська міська багатопрофільна лікарня №8, актова зала
вул.Новопромишлєнная, 2, м.Луганськ, 91033","252","0","351","113","198","54","252","","0","198","54","252","10","242","1","9","1","0","2","0","7","0","2","6","198","1","4","2","7","2","29.10.12"
"441477","109","Луганська область","Луганська міська клінічна багатопрофільна лікарня №1, фойє
кв.50-лєтія Оборони Луганска, 12, м.Луганськ, 91045","304","90","214","6","208","6","214","","0","208","6","214","13","201","2","14","7","7","3","2","12","2","6","7","96","13","4","5","17","4","29.10.12"
"441478","109","Луганська область","Луганська обласна клінічна лікарня №2, фойє
кв.50-лєтія Оборони Луганска, 8Б, м.Луганськ, 91045","104","0","128","0","104","0","104","","0","104","0","104","5","99","0","12","0","4","3","5","1","1","1","1","35","7","6","7","16","0","28.10.12"
"441479","109","Луганська область","Луганський обласний госпіталь ветеранів війни ім. маршала А.І.Єрьоменка, фойє
вул.Тєністая, 4, м.Луганськ, 91045","252","48","210","1","203","1","204","","0","203","1","204","26","178","6","14","6","2","4","1","8","0","3","9","73","8","5","8","30","1","29.10.12"
"441480","109","Луганська область","Луганська обласна дитяча клінічна лікарня, фойє
вул.Совєтская, 68, м.Луганськ, 91016","504","458","47","0","46","0","46","","0","46","0","46","3","43","1","2","0","2","0","0","3","4","0","4","22","1","0","0","4","0","29.10.12"
"441481","109","Луганська область","Луганський обласний кардіологічний диспансер, фойє
вул.Совєтская, 68, м.Луганськ, 91016","124","2","123","14","109","13","122","","0","109","13","122","6","116","7","16","2","1","3","4","2","0","3","12","38","4","5","4","13","2","28.10.12"
"441482","109","Луганська область","Луганська обласна клінічна лікарня, зала засідань
кв.50-лєтія Оборони Луганска, 14, м.Луганськ, 91045","1036","385","656","145","507","144","651","","0","507","144","651","61","590","14","82","22","17","14","6","16","4","18","10","27","232","14","16","79","19","29.10.12"
"441483","109","Луганська область","Луганська обласна клінічна психоневрологічна лікарня, фойє
кв.50-лєтія Оборони Луганска, 22, м.Луганськ, 91045","444","58","386","60","326","60","386","","0","326","60","386","17","369","5","7","6","1","1","9","3","7","2","8","293","7","5","3","10","2","28.10.12"
"441484","109","Луганська область","Луганський обласний клінічний онкологічний диспансер, актова зала
вул.Краснодонская, 8, м.Луганськ, 91047","524","50","490","77","407","67","474","","0","407","67","474","34","440","14","69","6","4","7","6","18","3","6","15","199","18","5","16","44","10","29.10.12"
"441485","109","Луганська область","Луганський обласний протитуберкульозний диспансер, фойє
вул.Краснодонская, 12, м.Луганськ, 91047","276","54","233","0","222","0","222","","0","222","0","222","17","205","9","32","12","8","5","4","9","0","4","6","82","8","2","7","12","5","29.10.12"
"441486","109","Луганська область","Луганський обласний шкірно-венерологічний диспансер, актова зала
вул.Краснодонская, 14, м.Луганськ, 91047","132","84","50","0","48","0","48","","0","48","0","48","3","45","1","7","0","0","0","0","0","0","1","3","21","4","2","2","2","2","29.10.12"
