"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Батенко
Тарас
Іванович","Бродецький
Анатолій
Миколайович","Дубик
Ігор
Іванович","Заваруєв
Анатолій
Михайлович","Канака
Остап
Тарасович","Котеляк
Лідія
Леонідівна","Оприско
Микола
Васильович","Петришин
Петро
Васильович","Свистович
Ігор
Михайлович","Сірків
Михайло
Миколайович","Федорів
Лариса
Йосипівна","Шкляр
Василь
Миколайович","Дата підписання протоколу"
"460510","123","Львівська область","Золочівський районний народний дім, фойє
вул.Чорновола, 1, м.Золочів, Золочівський р-н, Львівська обл., 80700","2310","915","2284","25","1372","23","1395","","0","1372","23","1395","24","1371","250","17","10","0","13","434","4","5","16","117","111","394","29.10.12"
"460511","123","Львівська область","актова зала Золочівської ЦРЛ, к.1
вул.Пушкіна, 11, м.Золочів, Золочівський р-н, Львівська обл., 80700","2076","887","2070","39","1155","34","1189","","0","1155","34","1189","17","1172","214","16","11","2","10","378","9","3","11","60","75","383","29.10.12"
"460512","123","Львівська область","Золочівський професійний ліцей, фойє
вул.Ак.Павлова, 72, м.Золочів, Золочівський р-н, Львівська обл., 80700","2334","1095","2305","19","1224","15","1239","","0","1224","15","1239","24","1215","296","11","9","1","7","365","11","7","16","98","100","294","29.10.12"
"460513","123","Львівська область","школа №1, актова зала
вул.Чайковського 4А, м.Золочів, Золочівський р-н, Львівська обл., 80700","2268","876","2240","22","1376","16","1392","","0","1376","16","1392","25","1367","320","24","19","4","22","426","12","3","7","96","108","326","29.10.12"
"460514","123","Львівська область","управління по експлуатації газового господарства, актова зала
вул.Львівська, 50, м.Золочів, Золочівський р-н, Львівська обл., 80700","2400","979","2363","40","1387","34","1421","","0","1387","34","1421","22","1399","324","14","21","1","3","459","6","3","10","81","402","75","29.10.12"
"460515","123","Львівська область","Золочівська райспоживспілка, актова зала
вул.Шашкевича, 24, м.Золочів, Золочівський р-н, Львівська обл., 80700","2100","819","2084","17","1268","13","1281","","0","1268","13","1281","22","1259","280","16","14","3","17","421","9","3","8","88","82","318","29.10.12"
"460516","123","Львівська область","управління водного господарства, актова зала
вул.Закарпатська, 1, м.Золочів, Золочівський р-н, Львівська обл., 80700","2028","745","2008","28","1258","25","1283","","0","1258","25","1283","22","1261","241","9","2","0","13","442","11","0","9","103","73","358","29.10.12"
"460517","123","Львівська область","станція юних техніків, кабінет гурткової роботи
вул.Шевченка, 112, м.Золочів, Золочівський р-н, Львівська обл., 80700","1914","701","1896","21","1192","21","1213","","0","1192","21","1213","15","1198","266","12","8","0","9","344","3","10","10","75","82","379","29.10.12"
"460518","123","Львівська область","Золочівський економічний ліцей, актова зала
вул.Січових Стрільців, 7, м.Золочів, Золочівський р-н, Львівська обл., 80700","2202","1593","968","6","603","6","609","","0","603","6","609","7","602","105","5","18","12","13","142","13","14","11","73","71","125","01.11.12"
"460519","123","Львівська область","Народний дім, актова зала
вул.Зелена, 13, с.Бібщани, Золочівський р-н, Львівська обл., 80762","258","71","255","21","168","19","187","","0","168","19","187","6","181","77","1","1","0","3","44","5","2","0","36","5","7","29.10.12"
"460520","123","Львівська область","Народний дім, актова зала
вул.Зелена, 24, с.Нестюки, Золочівський р-н, Львівська обл., 80762","168","78","163","20","75","15","90","","0","75","15","90","2","88","30","1","0","4","3","30","0","0","0","16","2","2","29.10.12"
"460521","123","Львівська область","адмінбудинок сільської ради, к.1
вул.Шашкевича, 14, с.Білий Камінь, Золочівський р-н, Львівська обл., 80710","582","180","579","21","381","21","402","","0","381","21","402","6","396","185","5","1","1","1","100","5","2","4","39","18","35","29.10.12"
"460522","123","Львівська область","Народний дім, актова зала
вул.Д.Особи, 19, с.Бужок, Золочівський р-н, Львівська обл., 80711","372","80","368","25","267","25","292","","0","267","25","292","6","286","115","0","0","2","1","35","3","0","7","91","3","29","29.10.12"
"460523","123","Львівська область","Народний дім, актова зала
вул.Шевченка, 13, с.Розваж, Золочівський р-н, Львівська обл., 80710","258","58","256","17","183","17","200","","0","183","17","200","7","193","92","0","0","1","2","47","4","0","0","33","3","11","29.10.12"
"460524","123","Львівська область","Народний дім, актова зала
вул.Шашкевича, 11А, с.Підлисся, Золочівський р-н, Львівська обл., 80710","240","51","235","18","171","18","189","","0","171","18","189","0","189","84","1","3","0","1","51","2","0","0","35","0","12","29.10.12"
"460525","123","Львівська область","фельдшерсько-акушерський пункт, к.1
вул.Центральна, 13, с.Гавареччина, Золочівський р-н, Львівська обл., 80710","60","23","58","4","33","4","37","","0","33","4","37","2","35","7","0","0","0","0","10","0","0","0","16","0","2","28.10.12"
"460526","123","Львівська область","Народний дім, актова зала
вул.Л.Українки, 20, с.Черемошня, Золочівський р-н, Львівська обл., 80710","198","60","199","26","115","23","138","","0","115","23","138","3","135","74","1","0","0","0","19","0","1","0","14","7","19","29.10.12"
"460527","123","Львівська область","Народний дім, актова зала
вул.Головна, 57, с.Бортків, Золочівський р-н, Львівська обл., 80730","552","164","549","42","350","38","388","","0","350","38","388","14","374","168","9","3","1","5","92","8","2","3","32","13","38","29.10.12"
"460528","123","Львівська область","Народний дім, фойє
вул.Головна, 2, с.Скнилів, Золочівський р-н, Львівська обл., 80730","288","91","286","22","175","22","197","","0","175","22","197","3","194","96","0","1","1","3","26","0","1","7","39","11","9","29.10.12"
"460529","123","Львівська область","Народний дім, фойє, 1-й поверх
вул.Довга, 30Б, с.Мала Вільшанка, Золочівський р-н, Львівська обл., 80731","318","81","316","37","201","36","237","","0","201","36","237","0","237","131","6","1","0","1","45","5","2","3","24","8","11","28.10.12"
"460530","123","Львівська область","Народний дім, актова зала
вул.Незалежності, 78А, с.Велика Вільшаниця, Золочівський р-н, Львівська обл., 80732","600","168","596","42","392","40","432","","0","392","40","432","8","424","176","2","2","3","2","97","2","1","5","69","19","46","29.10.12"
"460531","123","Львівська область","Народний дім, актова зала
вул.Гологірська, 36, с.Гологірки, Золочівський р-н, Львівська обл., 80736","96","28","92","6","62","6","68","","0","62","6","68","0","68","22","0","0","2","0","6","1","0","5","22","1","9","28.10.12"
"460532","123","Львівська область","Народний дім, актова зала
вул.Головна, 12А, с.Стінка, Золочівський р-н, Львівська обл., 80736","108","34","110","6","68","6","74","","0","68","6","74","3","71","26","1","0","0","1","12","0","1","0","14","3","13","28.10.12"
"460533","123","Львівська область","Народний дім, актова зала
вул.Серпнева, 18, с.Трудовач, Золочівський р-н, Львівська обл., 80732","222","72","215","17","134","16","150","","0","134","16","150","6","144","35","1","2","1","1","34","3","0","6","26","13","22","29.10.12"
"460534","123","Львівська область","адмінбудинок сільської ради, бібліотека
вул.Шевченка, 52, с.Великий Полюхів, Золочівський р-н, Львівська обл., 80724","192","47","195","23","123","22","145","","0","123","22","145","3","142","56","3","2","0","1","35","0","0","7","21","3","14","28.10.12"
"460535","123","Львівська область","Народний дім, актова зала
вул.Золочівська, 52, с.Вороняки, Золочівський р-н, Львівська обл., 80751","1422","604","1416","18","802","16","818","","0","802","16","818","11","807","135","2","2","1","9","265","7","2","9","170","40","165","29.10.12"
"460536","123","Львівська область","адмінбудинок сільської ради, актова зала
вул.Зелена, 3, с.Вороняки, Золочівський р-н, Львівська обл., 80751","906","335","900","16","555","16","571","","0","555","16","571","7","564","91","3","4","1","6","209","8","0","0","123","17","102","29.10.12"
"460537","123","Львівська область","Народний дім, актова зала
вул.Св.Миколая,33, м.Глиняни, Золочівський р-н, Львівська обл., 80720","1020","358","1015","23","639","23","662","","0","639","23","662","8","654","207","2","4","3","3","226","5","4","17","75","13","95","29.10.12"
"460538","123","Львівська область","школа, спортивний зал
вул.Шевченка, 36, м.Глиняни, Золочівський р-н, Львівська обл., 80720","1284","476","1285","31","780","28","808","","0","780","28","808","22","786","293","2","5","3","1","225","12","1","13","87","15","129","29.10.12"
"460539","123","Львівська область","Народний дім, актова зала
вул.Л.Українки, 17, с.Женів, Золочівський р-н, Львівська обл., 80720","288","84","285","12","194","10","204","","0","194","10","204","3","201","67","1","2","0","1","44","2","1","3","65","4","11","28.10.12"
"460540","123","Львівська область","адмінбудинок сільської ради, фойє
вул.Головна, 3А, с.Гологори, Золочівський р-н, Львівська обл., 80736","462","167","458","32","266","29","295","","0","266","29","295","7","288","106","3","1","4","4","66","1","2","7","38","8","48","29.10.12"
"460541","123","Львівська область","бібліотека, к.1
вул.Головна, 7А, с.Зашків, Золочівський р-н, Львівська обл., 80736","126","44","118","11","72","10","82","","0","72","10","82","0","82","40","1","2","1","0","20","1","0","0","15","1","1","29.10.12"
"460542","123","Львівська область","Народний дім, фойє
вул.Головна, 70А, с.Майдан Гологірський, Золочівський р-н, Львівська обл., 80736","246","66","241","35","149","31","180","","0","149","31","180","4","176","96","1","1","1","0","14","3","1","0","41","4","14","29.10.12"
"460543","123","Львівська область","Народний дім, фойє
вул.Шашкевича, 4, с.Гончарівка, Золочівський р-н, Львівська обл., 80715","726","204","725","48","475","47","522","","0","475","47","522","7","515","198","1","2","2","7","95","8","1","8","96","20","77","30.10.12"
"460544","123","Львівська область","Народний дім, актова зала
вул.Ім.Галана, 54, с.Єлиховичі, Золочівський р-н, Львівська обл., 80716","672","253","667","7","412","7","419","","0","412","7","419","0","419","115","3","1","5","1","114","5","1","3","90","14","67","29.10.12"
"460545","123","Львівська область","школа, спортивний зал
вул.Підбір, 32, с.Зозулі, Золочівський р-н, Львівська обл., 80717","582","157","568","27","398","27","425","","0","398","27","425","2","423","102","2","1","1","1","115","7","0","2","79","16","97","29.10.12"
"460546","123","Львівська область","школа, к.1
вул.Весела, 12, с.Городилів, Золочівський р-н, Львівська обл., 80716","282","89","280","11","182","11","193","","0","182","11","193","4","189","52","2","0","1","3","46","1","2","4","36","1","41","29.10.12"
"460547","123","Львівська область","Народний дім, актова зала
вул.Центральна, 13, с.Копані, Золочівський р-н, Львівська обл., 80716","180","63","178","10","108","9","117","","0","108","9","117","5","112","44","0","1","0","0","20","1","0","1","20","3","22","29.10.12"
"460548","123","Львівська область","Народний дім, актова зала
вул.Шевченка, 25, с.Монастирок, Золочівський р-н, Львівська обл., 80716","174","56","166","9","109","9","118","","0","109","9","118","1","117","28","0","3","1","0","24","0","1","1","25","3","31","29.10.12"
"460549","123","Львівська область","Народний дім, актова зала
вул.Шевченка, 18, с.Обертасів, Золочівський р-н, Львівська обл., 80716","72","31","66","7","34","7","41","","0","34","7","41","0","41","17","0","0","0","0","7","0","0","0","14","0","3","01.11.12"
"460550","123","Львівська область","Народний дім, актова зала
вул.Центральна, 3, с.Жуків, Золочівський р-н, Львівська обл., 80754","324","137","321","20","167","20","187","","0","167","20","187","6","181","75","1","0","2","0","39","0","1","1","52","0","10","29.10.12"
"460551","123","Львівська область","фельдшерсько-акушерський пункт, к.1
вул.Липова, 1, с.Кропивна, Золочівський р-н, Львівська обл., 80754","78","16","78","9","53","9","62","","0","53","9","62","2","60","11","0","0","1","1","14","0","0","1","28","2","2","29.10.12"
"460552","123","Львівська область","школа, актова зала
вул.Головна, 7, с.Заставне, Золочівський р-н, Львівська обл., 80724","528","161","525","19","353","14","367","","0","353","14","367","6","361","106","5","4","2","3","123","3","0","11","49","6","49","29.10.12"
"460553","123","Львівська область","Народний дім, актова зала
вул.Головна, 79, с.Вижняни, Золочівський р-н, Львівська обл., 80723","204","68","201","15","121","15","136","","0","121","15","136","4","132","34","3","0","0","1","57","1","0","6","21","5","4","01.11.12"
"460554","123","Львівська область","Народний дім, актова зала
вул.Головна, 21, с.Розворяни, Золочівський р-н, Львівська обл., 80724","300","79","293","16","209","12","221","","0","209","12","221","5","216","100","2","5","1","4","57","2","0","5","26","5","9","29.10.12"
"460555","123","Львівська область","Народний дім, актова зала
вул.Ів.Франка, 1, с.Княже, Золочівський р-н, Львівська обл., 80733","276","83","271","17","180","13","193","","0","180","13","193","3","190","57","3","7","0","0","36","5","0","0","7","9","66","29.10.12"
"460556","123","Львівська область","школа, спортивний зал
вул.Головна, 30, с.Колтів, Золочівський р-н, Львівська обл., 80741","312","75","310","18","220","17","237","","0","220","17","237","3","234","70","1","0","1","2","67","4","0","3","62","5","19","29.10.12"
"460557","123","Львівська область","Народний дім, актова зала
вул.Головна, 10А, с.Кругів, Золочівський р-н, Львівська обл., 80741","156","42","151","19","96","18","114","","0","96","18","114","2","112","43","0","1","0","0","14","3","0","1","35","0","15","28.10.12"
"460558","123","Львівська область","Народний дім, актова зала
вул.Комарівка, 20А, с.Верхобуж, Золочівський р-н, Львівська обл., 80742","342","107","334","43","198","37","235","","0","198","37","235","6","229","100","1","0","0","0","28","2","0","0","71","18","9","28.10.12"
"460559","123","Львівська область","школа, клас фізики
вул.Сонячна, 17, с.Коропець, Золочівський р-н, Львівська обл., 80762","222","71","218","29","123","28","151","","0","123","28","151","2","149","35","0","0","0","1","56","1","2","2","38","1","13","29.10.12"
"460560","123","Львівська область","Народний дім, актова зала
вул.Колгоспна, 1А, с.Куровичі, Золочівський р-н, Львівська обл., 80725","984","297","970","47","646","41","687","","0","646","41","687","14","673","244","7","7","1","7","104","7","4","13","53","28","198","29.10.12"
"460561","123","Львівська область","фельдшерсько-акушерський пункт, к.1
вул.Галицька, 30А, с.Печенія, Золочівський р-н, Львівська обл., 80725","84","18","87","12","54","12","66","","0","54","12","66","1","65","18","0","2","0","0","4","0","0","0","5","0","36","29.10.12"
"460562","123","Львівська область","Народний дім, актова зала
вул.Лисенка, 7А, с.Солова, Золочівський р-н, Львівська обл., 80725","222","68","217","19","137","17","154","","0","137","17","154","7","147","114","2","1","0","1","12","0","0","1","1","4","11","29.10.12"
"460563","123","Львівська область","адмінбудинок сільської ради, актова зала
вул.Головна, 50, с.Новосілки, Золочівський р-н, Львівська обл., 80734","318","91","313","22","205","22","227","","0","205","22","227","3","224","67","7","1","2","1","46","4","0","9","43","11","33","29.10.12"
"460564","123","Львівська область","школа, к.1
вул.Шкільна, 3, с.Митулин, Золочівський р-н, Львівська обл., 80735","366","80","362","20","266","20","286","","0","266","20","286","2","284","98","4","2","2","2","36","1","1","4","61","8","65","29.10.12"
"460565","123","Львівська область","Народний дім, актова зала
вул.Шевченка, 1, с.Перегноїв, Золочівський р-н, Львівська обл., 80722","702","197","696","33","474","31","505","","0","474","31","505","14","491","304","2","0","0","5","90","3","2","7","63","6","9","29.10.12"
"460566","123","Львівська область","Народний дім, актова зала
вул.Шевченка, 27, с.Кривичі, Золочівський р-н, Львівська обл., 80735","192","45","190","19","132","15","147","","0","132","15","147","3","144","43","0","1","1","2","39","0","0","7","28","2","21","29.10.12"
"460567","123","Львівська область","школа, кабінет української мови
вул.Шкільна, 1, с.Підгайчики, Золочівський р-н, Львівська обл., 80726","492","149","484","48","300","43","343","","0","300","43","343","6","337","122","0","2","0","5","80","4","3","4","39","18","60","29.10.12"
"460568","123","Львівська область","школа, к.1
вул.Центральна, 15, с.Погорільці, Золочівський р-н, Львівська обл., 80726","204","46","204","18","140","18","158","","0","140","18","158","10","148","91","1","0","0","1","22","0","0","1","18","6","8","29.10.12"
"460569","123","Львівська область","Народний дім, актова зала
вул.Сонячна, 21, с.Туркотин, Золочівський р-н, Львівська обл., 80725","174","23","171","19","132","19","151","","0","132","19","151","2","149","66","0","1","0","0","34","0","0","0","20","1","27","29.10.12"
"460570","123","Львівська область","школа, к.1
вул.Тернопільська, 61, с.Підгородне, Золочівський р-н, Львівська обл., 80743","1182","378","1173","44","764","40","804","","0","764","40","804","15","789","135","4","3","1","0","184","8","3","2","61","39","349","29.10.12"
"460571","123","Львівська область","Народний дім, актова зала
вул.Панаси, 3, с.Підлипці, Золочівський р-н, Львівська обл., 80744","768","370","760","70","328","70","398","","0","328","70","398","2","396","78","5","2","1","1","118","8","1","7","139","16","20","29.10.12"
"460572","123","Львівська область","Народний дім, актова зала
вул.Підлипецька, 8, с.Плугів, Золочівський р-н, Львівська обл., 80746","552","172","551","61","325","55","380","","0","325","55","380","9","371","106","2","2","1","1","86","8","0","2","104","21","38","28.10.12"
"460573","123","Львівська область","Народний дім, актова зала
вул.Лісок, 9, с.Тростянець, Золочівський р-н, Львівська обл., 80745","252","94","251","15","145","13","158","","0","145","13","158","1","157","60","2","0","0","0","40","2","0","3","33","4","13","29.10.12"
"460574","123","Львівська область","Народний дім, актова зала
вул.Шашкевича, 45, с.Новоселище, Золочівський р-н, Львівська обл., 80745","462","139","463","19","305","18","323","","0","305","18","323","3","320","84","1","7","1","1","91","1","0","4","52","14","64","01.11.12"
"460575","123","Львівська область","Народний дім, актова зала
вул.1 Травня, 10, с.Кам’янисте, Золочівський р-н, Львівська обл., 80746","48","16","47","3","29","3","32","","0","29","3","32","0","32","20","0","0","0","0","1","0","0","0","7","2","2","29.10.12"
"460576","123","Львівська область","школа, актова зала
вул.9-го Травня, 1, с.Поляни, Золочівський р-н, Львівська обл., 80752","546","229","542","16","304","13","317","","0","304","13","317","11","306","184","2","1","1","4","43","0","0","0","56","1","14","29.10.12"
"460577","123","Львівська область","школа, актова зала
вул.Незалежності, 33, с.Красносільці, Золочівський р-н, Львівська обл., 80752","198","74","194","5","120","4","124","","0","120","4","124","0","124","46","5","2","0","1","30","2","0","1","33","0","4","29.10.12"
"460578","123","Львівська область","церковне приборство, к.1
вул.Воїнів УПА, 10, с.Махнівці, Золочівський р-н, Львівська обл., 80752","96","24","101","9","66","6","72","","0","66","6","72","1","71","28","0","1","0","0","11","0","0","1","22","6","2","28.10.12"
"460579","123","Львівська область","Народний дім, актова зала
вул.Зелена, 12, с.Чижів, Золочівський р-н, Львівська обл., 80752","90","34","88","0","56","0","56","","0","56","0","56","1","55","20","0","5","0","0","18","2","0","0","7","2","1","29.10.12"
"460580","123","Львівська область","школа, коридор
вул.Верхній Підгай, 3А, смт Поморяни, Золочівський р-н, Львівська обл., 80760","888","305","885","82","507","76","583","","0","507","76","583","6","577","282","3","8","3","2","79","3","1","2","112","16","66","29.10.12"
"460581","123","Львівська область","Народний дім, актова зала
вул.Шевченка, 295А, с.Богутин, Золочівський р-н, Львівська обл., 80760","162","38","161","15","110","14","124","","0","110","14","124","3","121","66","0","0","0","0","19","1","0","0","27","0","8","28.10.12"
"460582","123","Львівська область","фельдшерсько-акушерський пункт, к.1
вул.Б.Хмельницького, 33, с.Торгів, Золочівський р-н, Львівська обл., 80760","108","25","105","11","72","11","83","","0","72","11","83","1","82","60","0","0","0","0","0","1","0","0","20","0","1","28.10.12"
"460583","123","Львівська область","Народний дім, актова зала
вул.Головна, 29А, с.Почапи, Золочівський р-н, Львівська обл., 80714","264","57","258","17","190","17","207","","0","190","17","207","8","199","65","2","1","2","0","63","3","0","4","34","5","20","29.10.12"
"460584","123","Львівська область","Народний дім, актова зала
вул.Шевченка, 60, с.Жуличі, Золочівський р-н, Львівська обл., 80714","414","104","405","29","281","29","310","","0","281","29","310","9","301","87","1","5","2","1","68","0","1","5","35","7","89","01.11.12"
"460585","123","Львівська область","школа, актова зала
вул.Шкільна, 1, с.Ремезівці, Золочівський р-н, Львівська обл., 80755","762","241","754","83","439","82","521","","0","439","82","521","7","514","114","0","3","0","1","167","7","0","2","139","12","69","29.10.12"
"460586","123","Львівська область","Народний дім, актова зала
вул.Головна, 1, с.Підгір’я, Золочівський р-н, Львівська обл., 80755","114","24","113","12","78","12","90","","0","78","12","90","2","88","43","0","1","1","0","24","0","0","0","15","0","4","29.10.12"
"460587","123","Львівська область","Народний дім, актова зала
вул.Піщана, 46, с.Руда-Колтівська, Золочівський р-н, Львівська обл., 80741","126","36","125","2","88","2","90","","0","88","2","90","1","89","44","2","2","1","1","15","1","0","0","16","2","5","29.10.12"
"460588","123","Львівська область","Народний дім, к.1
вул.Верхобужська, 8, с.Опаки, Золочівський р-н, Львівська обл., 80740","210","77","207","26","108","25","133","","0","108","25","133","1","132","55","1","0","1","1","25","0","1","1","42","4","1","28.10.12"
"460589","123","Львівська область","Народний дім, актова зала
вул.Зелена, 35, с.Хмелева, Золочівський р-н, Львівська обл., 80741","138","42","133","8","88","8","96","","0","88","8","96","2","94","43","4","1","1","0","23","1","0","0","13","4","4","28.10.12"
"460590","123","Львівська область","Народний дім, актова зала
вул.Бродівська, 4А, с.Сасів, Золочівський р-н, Львівська обл., 80713","756","237","746","56","464","55","519","","0","464","55","519","6","513","218","2","4","2","4","109","1","1","7","46","26","93","29.10.12"
