"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бобрик
"560295","155","Рівненська область","сільський клуб, фойє
вул.Миру, 7А, с.Бродець, Дубровицький р-н, Рівненська обл., 34110","168","35","162","10","123","10","133","","0","123","10","133","3","130","2","4","36","4","75","9","29.10.12"
"560296","155","Рівненська область","сільський будинок культури, фойє
вул.Центральна, сільський будинок культури, с.Удрицьк, Дубровицький р-н, Рівненська обл., 34113","760","322","749","13","425","13","438","","0","425","13","438","6","432","3","22","160","29","168","50","29.10.12"
"560297","155","Рівненська область","сільський клуб, фойє
вул.Шкільна, сільський клуб, с.Смородськ, Дубровицький р-н, Рівненська обл., 34114","480","138","468","24","319","23","342","","0","319","23","342","11","331","1","26","107","28","137","32","29.10.12"
"560298","155","Рівненська область","районна лікарня, конференц-зал
вул.Воробинська, 180, м.Дубровиця, Дубровицький р-н, Рівненська обл., 34100","224","185","54","18","26","13","39","","0","26","13","39","0","39","0","3","15","1","15","5","29.10.12"
"560299","155","Рівненська область","школа, їдальня
вул.Крижова, 7А, смт Зарічне, Зарічненський р-н, Рівненська обл., 34000","1376","589","1357","24","766","21","787","","0","766","21","787","18","769","16","26","114","32","222","359","29.10.12"
"560300","155","Рівненська область","районний будинок культури, фойє
вул.Центральна, 1, смт Зарічне, Зарічненський р-н, Рівненська обл., 34000","1456","675","1439","10","773","8","781","","0","773","8","781","16","765","17","31","164","28","170","355","29.10.12"
"560301","155","Рівненська область","школа, спортивна зала
вул.1-го Грудня, 19, смт Зарічне, Зарічненський р-н, Рівненська обл., 34000","1352","582","1324","3","767","3","770","","0","767","3","770","14","756","29","29","128","29","152","389","29.10.12"
"560302","155","Рівненська область","сільський клуб, зала
вул.Харковця, 123, смт Зарічне, Зарічненський р-н, Рівненська обл., 34000","736","307","725","7","422","7","429","","0","422","7","429","16","413","12","11","70","16","81","223","28.10.12"
"560303","155","Рівненська область","сільський клуб, зала
вул.Центральна, 8Б, с.Іванчиці, Зарічненський р-н, Рівненська обл., 34009","584","175","578","27","384","25","409","","0","384","25","409","17","392","10","4","91","12","156","119","29.10.12"
"560304","155","Рівненська область","сільський клуб, зала
вул.Центральна, 17, с.Чернин, Зарічненський р-н, Рівненська обл., 34000","160","44","155","6","110","6","116","","0","110","6","116","3","113","1","5","16","2","51","38","29.10.12"
"560305","155","Рівненська область","школа, спортивна зала
вул.Шкільна, 1, с.Борове, Зарічненський р-н, Рівненська обл., 34061","1632","805","1626","25","806","21","827","","0","806","21","827","32","795","31","23","194","45","231","271","28.10.12"
"560306","155","Рівненська область","сільський клуб, зала
вул.Центральна, 58А, с.Млинок, Зарічненський р-н, Рівненська обл., 34062","504","185","500","41","281","38","319","","0","281","38","319","10","309","14","8","90","26","96","75","28.10.12"
"560307","155","Рівненська область","школа, спортивна зала
вул.Лисичанська, 14А, с.Лисичин, Зарічненський р-н, Рівненська обл., 34061","144","53","143","1","90","1","91","","0","90","1","91","3","88","1","0","24","5","40","18","29.10.12"
"560308","155","Рівненська область","сільський клуб, зала
вул.Центральна, 1В, с.Вичівка, Зарічненський р-н, Рівненська обл., 34050","1032","378","1031","94","570","84","654","","0","570","82","652","10","642","4","38","101","18","303","178","30.10.12"
"560309","155","Рівненська область","сільський клуб, зала
вул.Садова, 1А, с.Бродниця, Зарічненський р-н, Рівненська обл., 34051","592","207","579","17","368","17","385","","0","368","17","385","3","382","14","24","91","16","133","104","29.10.12"
"560310","155","Рівненська область","сільський клуб, зала
вул.Центральна, 51, с.Бутове, Зарічненський р-н, Рівненська обл., 34051","376","106","368","18","252","18","270","","0","252","18","270","11","259","5","7","52","34","101","60","29.10.12"
"560311","155","Рівненська область","сільський клуб, зала
вул.Центральна, 60, с.Дібрівськ, Зарічненський р-н, Рівненська обл., 34041","1224","511","1211","12","703","10","713","","0","703","10","713","33","680","21","38","159","27","183","252","28.10.12"
"560312","155","Рівненська область","сільський клуб, зала
вул.Центральна, 80, с.Вовчиці, Зарічненський р-н, Рівненська обл., 34042","392","165","384","20","207","20","227","","0","207","20","227","13","214","22","8","62","8","55","59","29.10.12"
"560313","155","Рівненська область","сільський клуб, зала
вул.Центральна, 15А, с.Вовчиці, Зарічненський р-н, Рівненська обл., 34042","72","28","66","0","44","0","44","","0","44","0","44","3","41","7","7","9","1","12","5","29.10.12"
"560314","155","Рівненська область","сільський клуб, зала
вул.Садова, 27, с.Зелена Діброва, Зарічненський р-н, Рівненська обл., 34042","128","34","123","5","89","5","94","","0","89","5","94","4","90","6","2","31","3","31","17","29.10.12"
"560315","155","Рівненська область","сільський клуб, зала
вул.Центральна, 40А, с.Кутин, Зарічненський р-н, Рівненська обл., 34032","472","118","459","64","292","62","354","","0","292","62","354","6","348","16","15","79","12","148","78","29.10.12"
"560316","155","Рівненська область","сільський клуб, зала
вул.Центральна, 27, с.Задовже, Зарічненський р-н, Рівненська обл., 34033","232","47","225","15","170","15","185","","0","170","15","185","6","179","4","3","44","6","63","59","29.10.12"
"560317","155","Рівненська область","сільський клуб, зала
вул.Центральна, 68А, с.Заозер’я, Зарічненський р-н, Рівненська обл., 34033","256","64","252","11","183","9","192","","0","183","9","192","5","187","1","9","31","5","98","43","29.10.12"
"560318","155","Рівненська область","контора, к.1
вул.Лесі Українки, 92, с.Кухітська Воля, Зарічненський р-н, Рівненська обл., 34035","952","308","948","54","607","37","644","","0","607","37","644","18","626","3","19","40","16","449","99","29.10.12"
"560319","155","Рівненська область","сільський клуб, зала
вул.Центральна, 20, с.Кухітська Воля, Зарічненський р-н, Рівненська обл., 34035","560","170","546","53","346","44","390","","0","346","44","390","10","380","3","11","22","7","273","64","29.10.12"
"560320","155","Рівненська область","сільський клуб, зала
вул.Залізнична, 20, с.Острівськ, Зарічненський р-н, Рівненська обл., 34036","344","97","328","26","222","25","247","","0","222","25","247","10","237","3","30","27","10","123","44","28.10.12"
"560321","155","Рівненська область","сільський клуб, зала
вул.Центральна, 4, с.Кухче, Зарічненський р-н, Рівненська обл., 34034","712","202","695","52","460","50","510","","0","460","50","510","12","498","8","19","74","10","238","149","29.10.12"
"560322","155","Рівненська область","сільський клуб, зала
вул.А.Харковця, 55, с.Радове, Зарічненський р-н, Рівненська обл., 34034","464","126","458","27","311","27","338","","0","311","27","338","3","335","2","1","119","9","151","53","29.10.12"
"560323","155","Рівненська область","сільський клуб, зала
вул.Центральна, 70, с.Локниця, Зарічненський р-н, Рівненська обл., 34030","808","296","785","28","486","26","512","","0","486","26","512","7","505","5","13","99","23","247","118","29.10.12"
"560324","155","Рівненська область","сільський клуб, зала
вул.Центральна, 23, с.Храпин, Зарічненський р-н, Рівненська обл., 34031","312","78","304","13","221","13","234","","0","221","13","234","5","229","2","6","43","10","127","41","29.10.12"
"560325","155","Рівненська область","клуб ""Велике Морочне"", зала
вул.Центральна, 127, с.Морочне, Зарічненський р-н, Рівненська обл., 34022","464","158","448","8","298","8","306","","0","298","8","306","8","298","2","9","78","13","115","81","30.10.12"
"560326","155","Рівненська область","клуб ""Мале Морочне"", зала
вул.Центральна, 102, с.Морочне, Зарічненський р-н, Рівненська обл., 34022","416","153","410","13","250","13","263","","0","250","13","263","6","257","3","11","24","4","145","70","29.10.12"
"560327","155","Рівненська область","сільський клуб, зала
вул.Центральна, 110, с.Мутвиця, Зарічненський р-н, Рівненська обл., 34023","400","109","392","16","275","16","291","","0","275","16","291","4","287","5","26","84","6","86","80","29.10.12"
"560328","155","Рівненська область","сільський клуб, зала
вул.Центральна, 153, с.Неньковичі, Зарічненський р-н, Рівненська обл., 34020","784","246","754","27","514","24","538","","0","514","24","538","7","531","6","7","80","19","347","72","29.10.12"
"560329","155","Рівненська область","ФАП, к.1
вул.Завальна, 2, с.Комори, Зарічненський р-н, Рівненська обл., 34021","72","5","80","10","59","8","67","","0","59","8","67","2","65","1","1","11","1","45","6","03.11.12"
"560330","155","Рівненська область","сільський клуб, зала
вул.Центральна, 58, с.Нобель, Зарічненський р-н, Рівненська обл., 34013","512","138","497","103","280","94","374","","0","280","94","374","7","367","4","7","77","10","180","89","29.10.12"
"560331","155","Рівненська область","будинок культури, зала
вул.Центральна, 17, с.Новорічиця, Зарічненський р-н, Рівненська обл., 34040","776","329","755","36","416","31","447","","0","416","31","447","9","438","7","4","133","13","172","109","28.10.12"
"560332","155","Рівненська область","сільський клуб, зала
вул.Центральна, 3, с.Омит, Зарічненський р-н, Рівненська обл., 34010","104","37","91","5","62","5","67","","0","62","5","67","3","64","1","9","14","1","34","5","29.10.12"
"560333","155","Рівненська область","сільський клуб, зала
вул.Завальна, 7, с.Ниговищі, Зарічненський р-н, Рівненська обл., 34010","56","12","55","16","32","12","44","","0","32","12","44","0","44","1","0","5","0","32","6","28.10.12"
"560334","155","Рівненська область","сільський клуб, зала
вул.Центральна, 17А, с.Перекалля, Зарічненський р-н, Рівненська обл., 34060","640","228","628","38","376","36","412","","0","376","36","412","16","396","7","13","123","29","120","104","29.10.12"
"560335","155","Рівненська область","сільський клуб, зала
вул.Центральна, 6А, с.Тиховиж, Зарічненський р-н, Рівненська обл., 34036","296","116","295","24","157","23","180","","0","157","23","180","6","174","4","9","38","7","85","31","29.10.12"
"560336","155","Рівненська область","школа, актова зала
вул.Шкільна, 3А, с.Річиця, Зарічненський р-н, Рівненська обл., 34043","416","125","409","17","275","16","291","","0","275","16","291","10","281","14","8","47","21","116","75","29.10.12"
"560337","155","Рівненська область","сільський клуб, зала
вул.Лесі Українки, 22, с.Привітівка, Зарічненський р-н, Рівненська обл., 34044","432","141","417","17","275","16","291","","0","275","16","291","10","281","5","7","48","18","145","58","29.10.12"
"560338","155","Рівненська область","сільський клуб, зала
вул.Центральна, 13, с.Сенчиці, Зарічненський р-н, Рівненська обл., 34011","128","33","123","13","82","13","95","","0","82","13","95","1","94","0","0","39","4","49","2","29.10.12"
"560339","155","Рівненська область","сільський клуб, зала
вул.Центральна, 19, с.Дубчиці, Зарічненський р-н, Рівненська обл., 34011","96","16","97","7","73","7","80","","0","73","7","80","2","78","0","4","18","4","41","11","29.10.12"
"560340","155","Рівненська область","сільський клуб, зала
вул.Центральна, 11, с.Прикладники, Зарічненський р-н, Рівненська обл., 34011","168","55","154","7","107","6","113","","0","107","6","113","4","109","1","4","28","5","55","16","29.10.12"
"560341","155","Рівненська область","сільський клуб, зала
вул.Шевченка, 1, с.Серники, Зарічненський р-н, Рівненська обл., 34052","1440","643","1416","44","755","42","797","","0","755","42","797","24","773","10","54","145","26","321","217","29.10.12"
"560342","155","Рівненська область","школа, к.1
вул.Гвардійська, 1, с.Серники, Зарічненський р-н, Рівненська обл., 34052","520","245","510","17","261","14","275","","0","261","14","275","10","265","7","12","66","5","102","73","29.10.12"
"560343","155","Рівненська область","сільський клуб, зала
вул.Центральна, 47А, с.Олександрове, Зарічненський р-н, Рівненська обл., 34052","368","125","355","8","236","7","243","","0","236","7","243","6","237","5","4","43","5","147","33","29.10.12"
"560344","155","Рівненська область","сільський клуб, зала
вул.Лісова, 5, с.Соломир, Зарічненський р-н, Рівненська обл., 34052","192","63","191","6","123","6","129","","0","123","6","129","3","126","1","8","15","5","71","26","29.10.12"
"560345","155","Рівненська область","ФАП, к.1
вул.Лісова, 24, с.Бір, Зарічненський р-н, Рівненська обл., 34052","64","23","61","9","33","8","41","","0","33","8","41","0","41","2","1","2","4","21","11","29.10.12"
"560734","155","Рівненська область","ДНЗ ""Казка"", актова зала, 1-й поверх
вул.Пролетарська, 42А, смт Рокитне, Рокитнівський р-н, Рівненська обл., 34200","1504","626","1460","37","856","22","878","","0","856","22","878","23","855","9","11","173","237","362","63","29.10.12"
"560735","155","Рівненська область","районний будинок культури, фойє
вул.Кірова, 11, смт Рокитне, Рокитнівський р-н, Рівненська обл., 34200","1960","828","1938","32","1113","19","1132","","0","1113","19","1132","23","1109","8","28","288","309","389","87","29.10.12"
"560736","155","Рівненська область","школа №3, фойє
вул.Горького, 32, смт Рокитне, Рокитнівський р-н, Рівненська обл., 34200","1904","763","1856","37","1107","34","1141","","0","1107","34","1141","27","1114","19","27","294","237","416","121","29.10.12"
"560737","155","Рівненська область","селищний клуб, актова зала
вул.Привокзальна, 15А, смт Томашгород, Рокитнівський р-н, Рівненська обл., 34240","1520","688","1516","19","814","18","832","","0","814","18","832","24","808","9","20","227","146","304","102","28.10.12"
"560738","155","Рівненська область","сільський будинок культури, актова зала
вул.Шевченка, 46В, смт Томашгород, Рокитнівський р-н, Рівненська обл., 34246","432","113","431","7","312","7","319","","0","312","7","319","9","310","5","4","48","22","197","34","29.10.12"
"560739","155","Рівненська область","сільський будинок культури, актова зала
вул.Першотравнева, 2А, с.Березове, Рокитнівський р-н, Рівненська обл., 34212","1832","629","1839","51","1155","48","1203","","0","1155","48","1203","29","1174","80","15","256","105","607","111","29.10.12"
"560740","155","Рівненська область","сільський клуб, актова зала
вул.Соборна, 1А, с.Заболоття, Рокитнівський р-н, Рівненська обл., 34212","304","61","305","9","234","9","243","","0","234","9","243","1","242","4","3","38","16","166","15","28.10.12"
"560741","155","Рівненська область","школа, каб.2
вул.Незалежності, 42А, с.Грабунь, Рокитнівський р-н, Рівненська обл., 34212","224","43","224","13","168","13","181","","0","168","13","181","4","177","0","4","7","10","147","9","29.10.12"
"560742","155","Рівненська область","сільський клуб, актова зала
вул.Центральна, 40, с.Біловіж, Рокитнівський р-н, Рівненська обл., 34222","696","119","691","24","554","23","577","","0","554","23","577","7","570","2","18","34","26","471","19","29.10.12"
"560743","155","Рівненська область","сільський клуб, актова зала
вул.Тарасенка, 5, с.Купель, Рокитнівський р-н, Рівненська обл., 34223","288","50","280","15","223","15","238","","0","223","15","238","5","233","2","6","34","14","155","22","29.10.12"
"560744","155","Рівненська область","сільський клуб, актова зала
вул.Центральна, 43, с.Мушні, Рокитнівський р-н, Рівненська обл., 34222","216","29","206","15","172","15","187","","0","172","15","187","1","186","1","2","9","12","133","29","29.10.12"
"560745","155","Рівненська область","сільський будинок культури, актова зала
вул.Шкільна, 13, с.Блажове, Рокитнівський р-н, Рівненська обл., 34230","1008","332","1000","35","645","31","676","","0","645","31","676","40","636","34","17","82","58","361","84","29.10.12"
"560746","155","Рівненська область","сільський клуб, актова зала
вул.Центральна, 27Б, с.Більськ, Рокитнівський р-н, Рівненська обл., 34231","528","170","521","20","338","20","358","","0","338","20","358","10","348","6","10","41","28","227","36","29.10.12"
"560747","155","Рівненська область","сільський клуб, актова зала
вул.Шевченка, 18А, с.Залав’я, Рокитнівський р-н, Рівненська обл., 34232","472","102","472","20","350","20","370","","0","350","20","370","9","361","2","7","58","30","218","46","30.10.12"
"560748","155","Рівненська область","сільський клуб, актова зала
вул.Центральна, 5А, с.Борове, Рокитнівський р-н, Рівненська обл., 34263","1240","350","1238","93","800","90","890","","0","800","90","890","20","870","21","15","130","93","516","95","29.10.12"
"560749","155","Рівненська область","сільський будинок культури, актова зала
вул.Центральна, 6, с.Нетреба, Рокитнівський р-н, Рівненська обл., 34264","360","62","354","30","269","29","298","","0","269","29","298","7","291","7","12","65","33","155","19","29.10.12"
"560750","155","Рівненська область","сільський клуб, актова зала
вул.Центральна, 13, с.Вежиця, Рокитнівський р-н, Рівненська обл., 34213","656","169","653","28","459","28","487","","0","459","28","487","11","476","6","18","80","51","287","34","28.10.12"
"560751","155","Рівненська область","сільський клуб, актова зала
вул.Центральна, 13, с.Переходичі, Рокитнівський р-н, Рівненська обл., 34210","352","73","342","9","270","9","279","","0","270","9","279","9","270","3","4","40","37","163","23","28.10.12"
"560752","155","Рівненська область","сільський будинок культури, актова зала
вул.Радянська, 4А, с.Глинне, Рокитнівський р-н, Рівненська обл., 34221","1584","590","1570","53","941","53","994","","0","941","53","994","20","974","18","39","138","146","530","103","29.10.12"
"560753","155","Рівненська область","сільський клуб, актова зала
вул.Центральна, 57А, с.Дубно, Рокитнівський р-н, Рівненська обл., 34212","392","99","395","1","292","1","293","","0","292","1","293","7","286","6","9","52","30","143","46","29.10.12"
"560754","155","Рівненська область","сільський клуб, актова зала
вул.Шкільна, 41Б, с.Познань, Рокитнівський р-н, Рівненська обл., 34221","848","354","841","5","489","5","494","","0","489","5","494","26","468","60","21","109","44","209","25","29.10.12"
"560755","155","Рівненська область","сільський клуб, актова зала
вул.Центральна, 82А, с.Хміль, Рокитнівський р-н, Рівненська обл., 34221","632","129","628","14","489","14","503","","0","489","14","503","15","488","2","18","70","29","312","57","29.10.12"
"560756","155","Рівненська область","сільський клуб, актова зала
вул.Центральна, 108, с.Кам’яне, Рокитнівський р-н, Рівненська обл., 34220","944","250","936","42","656","38","694","","0","656","38","694","14","680","7","52","138","40","375","68","29.10.12"
"560757","155","Рівненська область","сільський клуб, актова зала
вул.Прикордонна, 26А, с.Будки-Кам’янські, Рокитнівський р-н, Рівненська обл., 34220","120","25","112","7","88","7","95","","0","88","7","95","1","94","1","10","10","6","56","11","30.10.12"
"560758","155","Рівненська область","сільський клуб, актова зала
вул.Шкільна, 32А, с.Обсіч, Рокитнівський р-н, Рівненська обл., 34220","256","55","250","8","193","8","201","","0","193","8","201","3","198","5","5","25","20","110","33","29.10.12"
"560759","155","Рівненська область","сільський будинок культури, актова зала
вул.Шевченка, 48А, с.Карпилівка, Рокитнівський р-н, Рівненська обл., 34262","1824","383","1809","64","1383","58","1441","","0","1383","58","1441","37","1404","0","13","477","74","778","62","29.10.12"
"560760","155","Рівненська область","сільський будинок культури, актова зала
вул.Центральна, 105, с.Кисоричі, Рокитнівський р-н, Рівненська обл., 34260","936","378","930","42","520","38","558","","0","520","38","558","14","544","8","7","83","119","266","61","29.10.12"
"560761","155","Рівненська область","сільський клуб, актова зала
вул.Центральна, 190А, с.Дерть, Рокитнівський р-н, Рівненська обл., 34261","504","147","493","39","322","35","357","","0","322","35","357","6","351","2","12","53","27","226","31","29.10.12"
"560762","155","Рівненська область","сільський клуб, актова зала
вул.Олександрівська, 86, с.Олександрівка, Рокитнівський р-н, Рівненська обл., 34260","368","106","359","30","236","26","262","","0","236","26","262","14","248","4","3","38","34","141","28","29.10.12"
"560763","155","Рівненська область","сільський будинок культури, актова зала
вул.Леніна, 97А, с.Масевичі, Рокитнівський р-н, Рівненська обл., 34253","1280","408","1240","40","834","38","872","","0","834","38","872","29","843","2","10","195","176","366","94","30.10.12"
"560764","155","Рівненська область","сільський клуб, актова зала
вул.Синіжівська, 32, с.Масевичі, Рокитнівський р-н, Рівненська обл., 34253","704","251","692","7","446","7","453","","0","446","7","453","11","442","3","10","111","110","179","29","29.10.12"
"560765","155","Рівненська область","сільський клуб, актова зала
вул.Шкільна, 14А, с.Буда, Рокитнівський р-н, Рівненська обл., 34200","400","56","400","7","337","7","344","","0","337","7","344","11","333","5","5","58","56","164","45","29.10.12"
"560766","155","Рівненська область","сільський будинок культури, актова зала
вул.Соборна, 13, с.Рокитне, Рокитнівський р-н, Рівненська обл., 34208","1976","832","1954","28","1120","24","1144","","0","1120","24","1144","48","1096","6","25","182","507","272","104","29.10.12"
"560767","155","Рівненська область","аграрний ліцей, спортивна зала, 1-й поверх
вул.Жовтнева, 8, с.Рокитне, Рокитнівський р-н, Рівненська обл., 34208","1696","756","1683","17","923","17","940","","0","923","17","940","25","915","2","22","171","359","279","82","29.10.12"
"560768","155","Рівненська область","сільський клуб, актова зала
вул.Партизанська, 2, с.Лісове, Рокитнівський р-н, Рівненська обл., 34208","200","29","204","1","170","1","171","","0","170","1","171","5","166","0","7","18","23","98","20","29.10.12"
"560769","155","Рівненська область","сільський клуб, актова зала
вул.Центральна, 6А, с.Осницьк, Рокитнівський р-н, Рівненська обл., 34209","592","172","581","5","415","5","420","","0","415","5","420","14","406","7","7","30","195","134","33","29.10.12"
"560770","155","Рівненська область","сільська рада, зал засідань, 1-й поверх
вул.Гагаріна, 3А, с.Сновидовичі, Рокитнівський р-н, Рівненська обл., 34250","712","156","708","51","505","51","556","","0","505","51","556","13","543","3","9","115","76","262","78","29.10.12"
"560771","155","Рівненська область","сільський клуб, актова зала
вул.Антоніо Бланко, 10А, с.Будки-Сновидовицькі, Рокитнівський р-н, Рівненська обл., 34251","176","29","170","15","132","15","147","","0","132","15","147","3","144","3","6","29","6","84","16","28.10.12"
"560772","155","Рівненська область","сільський клуб, актова зала
вул.1 Травня, 21, с.Остки, Рокитнівський р-н, Рівненська обл., 34252","832","249","829","44","542","41","583","","0","542","41","583","10","573","7","31","114","61","269","91","03.11.12"
"560773","155","Рівненська область","сільський будинок культури, актова зала
вул.Богдана Хмельницького, 48А, с.Старе Село, Рокитнівський р-н, Рівненська обл., 34210","2024","804","2025","22","1198","22","1220","","0","1198","22","1220","37","1183","25","41","424","104","508","81","28.10.12"
"560774","155","Рівненська область","сільський будинок культури, актова зала
вул.Шевченка, 94, с.Дроздинь, Рокитнівський р-н, Рівненська обл., 34211","1232","347","1227","10","875","10","885","","0","875","10","885","34","851","12","14","135","51","530","109","29.10.12"
"560775","155","Рівненська область","сільська рада, актова зала, 1-й поверх
вул.Жовтнева, 4А, с.Томашгород, Рокитнівський р-н, Рівненська обл., 34244","1168","381","1160","29","758","29","787","","0","758","29","787","22","765","9","15","158","98","362","123","29.10.12"
"560776","155","Рівненська область","сільський клуб, актова зала
вул.Жовтнева, 35А, с.Єльне, Рокитнівський р-н, Рівненська обл., 34244","512","92","507","22","398","22","420","","0","398","22","420","4","416","4","3","57","38","256","58","29.10.12"
"560879","155","Рівненська область","палац культури, вестибюль 1
майдан Незалежності, 6, м.Кузнецовськ, Рівненська обл., 34400","1616","715","1612","12","892","9","901","","0","892","9","901","25","876","57","44","408","97","112","158","29.10.12"
"560880","155","Рівненська область","палац культури, ""Золота зала""
майдан Незалежності, 6, м.Кузнецовськ, Рівненська обл., 34400","1680","712","1673","19","953","15","968","","0","953","15","968","29","939","68","37","397","113","160","164","29.10.12"
"560881","155","Рівненська область","інформаційний центр ВП РАЕС, вестибюль
майдан Незалежності, 5, м.Кузнецовськ, Рівненська обл., 34400","1640","648","1621","10","985","7","992","","0","985","7","992","31","961","46","38","453","132","139","153","29.10.12"
"560882","155","Рівненська область","школа №1, вестибюль 1
мікрорайон Будівельників, 55, м.Кузнецовськ, Рівненська обл., 34400","1808","714","1796","6","1088","6","1094","","0","1088","6","1094","24","1070","55","42","488","129","206","150","29.10.12"
"560883","155","Рівненська область","школа №1, вестибюль 2
мікрорайон Будівельників, 55, м.Кузнецовськ, Рівненська обл., 34400","1784","710","1763","9","1069","5","1074","","0","1069","5","1074","30","1044","59","31","502","124","168","160","30.10.12"
"560884","155","Рівненська область","музична школа, вестибюль
мікрорайон Будівельників, 54, м.Кузнецовськ, Рівненська обл., 34400","1696","652","1676","11","1035","9","1044","","0","1035","9","1044","32","1012","47","36","528","104","142","155","29.10.12"
"560885","155","Рівненська область","школа №2, вестибюль
мікрорайон Будівельників, 56, м.Кузнецовськ, Рівненська обл., 34400","1680","656","1659","6","1018","6","1024","","0","1018","6","1024","36","988","62","36","481","119","155","135","29.10.12"
"560886","155","Рівненська область","школа №4, вестибюль 1
мікрорайон Вараш, 39, м.Кузнецовськ, Рівненська обл., 34400","2472","922","2447","7","1544","6","1550","","0","1544","6","1550","47","1503","75","54","762","199","199","214","29.10.12"
"560887","155","Рівненська область","школа №4, вестибюль 2
мікрорайон Вараш, 39, м.Кузнецовськ, Рівненська обл., 34400","2408","984","2368","7","1420","4","1424","","0","1420","4","1424","33","1391","85","30","756","145","179","196","29.10.12"
"560888","155","Рівненська область","школа №5, вестибюль 1
мікрорайон Вараш, 36, м.Кузнецовськ, Рівненська обл., 34400","2256","929","2220","8","1321","6","1327","","0","1321","6","1327","29","1298","68","40","657","150","162","221","28.10.12"
"560889","155","Рівненська область","школа №5, вестибюль 2
мікрорайон Вараш, 36, м.Кузнецовськ, Рівненська обл., 34400","2384","945","2342","6","1434","5","1439","","0","1434","5","1439","31","1408","71","44","696","198","177","222","29.10.12"
"560890","155","Рівненська область","школа №3, вестибюль 1
мікрорайон Перемоги, 8, м.Кузнецовськ, Рівненська обл., 34400","2184","802","2146","6","1377","5","1382","","0","1377","5","1382","37","1345","86","43","710","171","144","191","29.10.12"
"560891","155","Рівненська область","школа №3, вестибюль 2
мікрорайон Перемоги, 8, м.Кузнецовськ, Рівненська обл., 34400","2352","907","2332","13","1436","9","1445","","0","1436","9","1445","42","1403","53","41","743","170","196","200","29.10.12"
"560892","155","Рівненська область","ПТУ ВП РАЕС, вестибюль 2
мікрорайон Перемоги, 27, м.Кузнецовськ, Рівненська обл., 34400","2456","967","2441","5","1485","4","1489","","0","1485","4","1489","26","1463","81","34","821","178","152","197","28.10.12"
"560893","155","Рівненська область","ПТУ ВП РАЕС, вестибюль 3
мікрорайон Перемоги, 27, м.Кузнецовськ, Рівненська обл., 34400","2360","871","2352","3","1487","2","1489","","0","1487","2","1489","33","1456","76","46","748","199","193","194","29.10.12"
