"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Бова
"590413","162","Сумська область","сільський клуб, глядацька зала
вул.Кушніренка, 4, с.Куземин, Охтирський р-н, Сумська обл., 42752","688","253","683","81","354","81","435","","0","354","81","435","17","418","57","12","26","140","157","5","21","28.10.12"
"590414","162","Сумська область","сільський будинок культури, фойе
вул.Леніна, 52, с.Куземин, Охтирський р-н, Сумська обл., 42752","576","227","563","70","283","66","349","","0","283","66","349","13","336","42","5","20","101","148","2","18","29.10.12"
"590415","162","Сумська область","сільський будинок культури, фойе
вул.Щорса, 18А, с.Лантратівка, Охтирський р-н, Сумська обл., 42732","304","89","302","26","192","23","215","","0","192","23","215","10","205","5","3","19","87","82","4","5","28.10.12"
"590416","162","Сумська область","сільський клуб, глядацька зала
вул.Шкільна, 2А, с.Новопостроєне, Охтирський р-н, Сумська обл., 42732","192","83","182","6","106","3","109","","0","106","3","109","10","99","3","0","8","59","26","1","2","29.10.12"
"590417","162","Сумська область","сільський клуб, фойе
вул.Шевченка, 68, с.Лутище, Охтирський р-н, Сумська обл., 42751","256","71","257","17","169","16","185","","0","169","16","185","5","180","19","3","11","70","75","0","2","28.10.12"
"590418","162","Сумська область","сільський клуб, зала
вул.Леніна, 33, с.Українка, Охтирський р-н, Сумська обл., 42751","136","35","134","10","92","9","101","","0","92","9","101","2","99","7","2","14","36","31","1","8","29.10.12"
"590419","162","Сумська область","сільський будинок культури, фойе
вул.Леніна, 10, с.Мала Павлівка, Охтирський р-н, Сумська обл., 42730","1072","412","1067","62","604","56","660","","0","604","56","660","33","627","62","13","60","270","202","12","8","29.10.12"
"590420","162","Сумська область","сільський клуб, глядацька зала
вул.Жовтнева, 1, с.Жовтневе, Охтирський р-н, Сумська обл., 42731","368","121","364","9","240","7","247","","0","240","7","247","13","234","24","4","23","99","79","2","3","28.10.12"
"590421","162","Сумська область","сільський будинок культури, мала зала
вул.Довгого, 17А, с.Олешня, Охтирський р-н, Сумська обл., 42726","736","292","715","104","345","99","444","","0","345","99","444","20","424","33","6","68","132","172","2","11","29.10.12"
"590422","162","Сумська область","Горяйстівська школа, каб.2
вул.Береста, 31, с.Горяйстівка, Охтирський р-н, Сумська обл., 42726","208","72","194","46","91","45","136","","0","91","45","136","1","135","9","3","25","23","74","1","0","29.10.12"
"590423","162","Сумська область","сільський будинок культури, обрядова зала
вул.Лозового, 80, с.Пологи, Охтирський р-н, Сумська обл., 42773","776","339","769","40","399","38","437","","0","399","38","437","30","407","25","5","81","126","161","5","4","29.10.12"
"590424","162","Сумська область","сільський будинок культури, фойе
вул.Миру, 1, с.Рибальське, Охтирський р-н, Сумська обл., 42734","672","214","663","77","385","73","458","","0","385","73","458","21","437","44","5","26","206","138","3","15","29.10.12"
"590425","162","Сумська область","сільська рада, зала засідань
вул.Леніна, 10, с.Сонячне, Охтирський р-н, Сумська обл., 42768","960","377","948","63","528","55","583","","0","528","55","583","16","567","36","6","43","230","238","2","12","29.10.12"
"590426","162","Сумська область","сільський будинок культури, фойе
сільський будинок культури, вул.ім.Решітько, с.Стара Іванівка, Охтирський р-н, Сумська обл., 42740","368","138","370","35","200","30","230","","0","200","30","230","9","221","5","7","21","73","108","1","6","29.10.12"
"590427","162","Сумська область","сільський клуб, актова зала
сільський клуб, вул.Садова, с.Сосонка, Охтирський р-н, Сумська обл., 42740","448","177","441","40","235","36","271","","0","235","36","271","10","261","43","8","34","91","76","2","7","28.10.12"
"590428","162","Сумська область","сільський будинок культури, обрядова зала
вул.Леніна, 86, с.Хухра, Охтирський р-н, Сумська обл., 42750","1552","598","1547","121","857","97","954","","0","857","97","954","29","925","73","7","56","328","445","4","12","29.10.12"
"590429","162","Сумська область","сільський будинок культури, фойе
вул.Готеляка, 1, с.Чернеччина, Охтирський р-н, Сумська обл., 42744","1560","632","1581","129","807","121","928","","0","807","121","928","39","889","102","5","80","291","396","6","9","29.10.12"
"590430","162","Сумська область","сільський клуб, фойе
пров.Шкільний, 23, с.Журавне, Охтирський р-н, Сумська обл., 42745","256","108","250","16","133","15","148","","0","133","15","148","12","136","8","3","12","63","50","0","0","29.10.12"
"590431","162","Сумська область","сільський клуб, фойе
вул.Леніна, 20, с.Ясенове, Охтирський р-н, Сумська обл., 42746","264","67","262","35","166","31","197","","0","166","31","197","13","184","23","1","14","79","65","1","1","29.10.12"
"590639","162","Сумська область","школа №1, спортзал
вул.Червоноармійська, 52, м.Тростянець, Тростянецький р-н, Сумська обл., 42600","2448","1095","2397","43","1322","31","1353","","0","1322","31","1353","28","1325","604","16","60","298","332","6","9","29.10.12"
"590640","162","Сумська область","будинок культури, фойє
вул.Миру, 7, м.Тростянець, Тростянецький р-н, Сумська обл., 42600","2480","975","2447","53","1457","48","1505","","0","1457","48","1505","34","1471","744","6","84","292","338","2","5","29.10.12"
"590641","162","Сумська область","школа №2, спортзал
вул.Калініна, 15, м.Тростянець, Тростянецький р-н, Сумська обл., 42600","2480","1038","2474","37","1411","31","1442","","0","1411","31","1442","35","1407","692","8","74","334","290","0","9","29.10.12"
"590642","162","Сумська область","клуб цукрозаводу, актова зала
вул.Калініна, 7, м.Тростянець, Тростянецький р-н, Сумська обл., 42600","2400","940","2367","63","1402","58","1460","","0","1402","58","1460","34","1426","707","4","113","256","335","4","7","29.10.12"
"590643","162","Сумська область","школа №3, коридор
вул.Шевченка, 13, м.Тростянець, Тростянецький р-н, Сумська обл., 42600","2472","1115","2440","57","1304","53","1357","","0","1304","53","1357","33","1324","499","15","91","330","370","6","13","29.10.12"
"590644","162","Сумська область","червоний куточок Локомотивного Депо, зал
вул.Гришина, 4, м.Тростянець, Тростянецький р-н, Сумська обл., 42600","2392","1113","2359","61","1223","56","1279","","0","1223","56","1279","35","1244","451","6","92","359","324","6","6","29.10.12"
"590645","162","Сумська область","школа №4, фойє
пров.Шкільний, 1, м.Тростянець, Тростянецький р-н, Сумська обл., 42600","1872","911","1839","36","930","31","961","","0","930","31","961","38","923","386","6","69","236","214","5","7","29.10.12"
"590646","162","Сумська область","клуб, глядацька зала
вул.Смородянська, 83, м.Тростянець, Тростянецький р-н, Сумська обл., 42600","848","326","839","11","511","11","522","","0","511","11","522","17","505","187","4","44","173","84","1","12","29.10.12"
"590647","162","Сумська область","Білківський НВК, спортзал
вул.Шкільна, 1, с.Білка, Тростянецький р-н, Сумська обл., 42630","1216","440","1207","154","634","142","776","","0","634","142","776","27","749","123","13","81","230","279","8","15","29.10.12"
"590648","162","Сумська область","сільський клуб, зал
вул.Куца, 113, с.Олексине, Тростянецький р-н, Сумська обл., 42601","320","107","319","2","212","1","213","","0","212","1","213","8","205","43","0","17","113","28","1","3","29.10.12"
"590649","162","Сумська область","сільський клуб, зал
вул.Перемоги, 39, с.Микитівка, Тростянецький р-н, Сумська обл., 42630","208","80","201","16","112","16","128","","0","112","16","128","1","127","31","6","9","36","44","1","0","29.10.12"
"590650","162","Сумська область","сільський клуб, зал
вул.Продольна, 14А, с.Вишневе, Тростянецький р-н, Сумська обл., 42601","200","58","142","7","135","7","142","","0","135","7","142","5","137","20","1","14","54","42","2","4","29.10.12"
"590651","162","Сумська область","будинок культури, зал
вул.Першотравнева, 1, с.Боромля, Тростянецький р-н, Сумська обл., 42621","1264","672","1259","62","546","46","592","","0","546","46","592","26","566","99","14","49","206","175","4","19","29.10.12"
"590652","162","Сумська область","Кіровський сільський клуб, зал
вул.Кірова, 18, с.Боромля, Тростянецький р-н, Сумська обл., 42621","1120","554","1124","59","524","42","566","","0","524","42","566","28","538","89","6","81","155","194","1","12","29.10.12"
"590653","162","Сумська область","контора ТДВ ""Маяк"", к.1
вул.Швецова, 33, с.Боромля, Тростянецький р-н, Сумська обл., 42621","936","442","930","68","434","60","494","","0","434","60","494","21","473","57","8","58","202","140","4","4","29.10.12"
"590654","162","Сумська область","школа, кл.3
вул.Леніна, 15, с.Новгородське, Тростянецький р-н, Сумська обл., 42623","368","134","369","18","216","18","234","","0","216","18","234","14","220","55","3","30","52","76","0","4","29.10.12"
"590655","162","Сумська область","будинок культури, зал
вул.Леніна, 36, с.Буймер, Тростянецький р-н, Сумська обл., 42632","488","128","473","38","327","33","360","","0","327","33","360","7","353","29","3","29","225","64","2","1","29.10.12"
"590656","162","Сумська область","будинок культури, фойє
вул.Гагаріна, 8А, с.Гребениківка, Тростянецький р-н, Сумська обл., 42620","752","289","750","114","360","103","463","","0","360","103","463","9","454","61","8","29","206","141","3","6","29.10.12"
"590657","162","Сумська область","Дернівський НВК, каб.9
вул.Леніна, 108, с.Дернове, Тростянецький р-н, Сумська обл., 42645","312","88","313","47","183","41","224","","0","183","41","224","11","213","25","4","23","116","41","1","3","29.10.12"
"590658","162","Сумська область","школа, спортзал
вул.Шкільна, 62, с.Жигайлівка, Тростянецький р-н, Сумська обл., 42624","640","217","631","72","356","67","423","","0","356","67","423","12","411","64","2","55","95","182","2","11","29.10.12"
"590659","162","Сумська область","сільська рада, кабінет сільського голови
вул.Ведяєва, 22А, с.Зарічне, Тростянецький р-н, Сумська обл., 42600","80","19","79","1","60","1","61","","0","60","1","61","1","60","6","0","6","30","18","0","0","29.10.12"
"590660","162","Сумська область","сільський клуб, зал
вул.Центральна, 1, с.Лучка, Тростянецький р-н, Сумська обл., 42600","136","40","144","4","93","3","96","","0","93","3","96","6","90","19","1","5","43","21","0","1","31.10.12"
"590661","162","Сумська область","школа, кл.3
вул.Гагаріна, 149, с.Кам’янка, Тростянецький р-н, Сумська обл., 42652","760","251","752","74","444","65","509","","0","444","65","509","12","497","116","6","64","168","132","3","8","29.10.12"
"590662","162","Сумська область","сільський клуб, гримувальна
вул.Ватутіна, 70А, с.Кам’янецьке, Тростянецький р-н, Сумська обл., 42653","144","49","132","21","78","17","95","","0","78","17","95","6","89","11","1","16","27","32","1","1","31.10.12"
"590663","162","Сумська область","будинок культури, кабінет директора
вул.Чапаєва, 1, с.Криничне, Тростянецький р-н, Сумська обл., 42640","320","100","322","36","190","30","220","","0","190","30","220","5","215","30","3","13","108","53","3","5","29.10.12"
"590664","162","Сумська область","будинок культури, актова зала
вул.Зарічна, 7, с.Люджа, Тростянецький р-н, Сумська обл., 42650","376","119","373","31","228","29","257","","0","228","29","257","6","251","29","5","41","137","36","2","1","29.10.12"
"590665","162","Сумська область","будинок культури, зал
вул.Чкалова, 6, с.Люджа, Тростянецький р-н, Сумська обл., 42650","184","73","166","15","98","13","111","","0","98","13","111","4","107","10","3","19","62","12","1","0","28.10.12"
"590666","162","Сумська область","сільський клуб, зал
вул.Гагаріна, 13А, с.Мартинівка, Тростянецький р-н, Сумська обл., 42634","272","52","266","42","183","37","220","","0","183","37","220","5","215","23","0","23","91","75","0","3","28.10.12"
"590667","162","Сумська область","сільський клуб, зал
вул.Набережна, 23А, с.Артемо-Растівка, Тростянецький р-н, Сумська обл., 42634","168","59","164","22","94","15","109","","0","94","15","109","0","109","20","2","12","51","23","0","1","29.10.12"
"590668","162","Сумська область","сільський клуб, зал
вул.Лісанова, 9, с.Мащанка, Тростянецький р-н, Сумська обл., 42635","200","55","199","15","135","10","145","","0","135","10","145","2","143","5","3","12","91","31","0","1","28.10.12"
"590669","162","Сумська область","ФАП, фойє
вул.Радянська, 16, с.Ницаха, Тростянецький р-н, Сумська обл., 42654","416","127","413","48","245","44","289","","0","245","44","289","5","284","30","5","46","183","20","0","0","29.10.12"
"590670","162","Сумська область","будинок культури, фойє
вул.Червоноармійська, 2А, с.Печини, Тростянецький р-н, Сумська обл., 42644","304","73","297","44","189","42","231","","0","189","42","231","6","225","26","2","23","153","21","0","0","29.10.12"
"590671","162","Сумська область","Полянський НВК, спортзал
вул.Гагаріна, 60, с.Семереньки, Тростянецький р-н, Сумська обл., 42642","176","61","169","11","104","11","115","","0","104","11","115","0","115","11","1","13","69","20","1","0","28.10.12"
"590672","162","Сумська область","ФАП, коридор
вул.Миру, 1А, с.Поляне, Тростянецький р-н, Сумська обл., 42643","320","113","331","17","192","15","207","","0","192","15","207","15","192","20","1","22","123","24","0","2","29.10.12"
"590673","162","Сумська область","будинок культури, глядацька зала
вул.Радянська, 15, с.Станова, Тростянецький р-н, Сумська обл., 42633","640","229","632","62","356","55","411","","0","356","55","411","15","396","78","2","26","221","63","2","4","28.10.12"
"590674","162","Сумська область","КЗ Центральна районна лікарня, фойє актового залу
вул.Нескучанська, 7, м.Тростянець, Тростянецький р-н, Сумська обл., 42600","208","151","68","13","45","12","57","","0","45","12","57","3","54","24","0","6","13","9","1","1","29.10.12"
"590791","162","Сумська область","районний будинок культури, хол
пл.Інтернаціональна, 32, м.Лебедин, Сумська обл., 42200","1904","879","1875","69","963","62","1025","","0","963","62","1025","59","966","50","43","241","247","348","7","30","29.10.12"
"590792","162","Сумська область","школа №2, спортивна зала
вул.Будильська, 8, м.Лебедин, Сумська обл., 42200","1832","804","1795","41","992","36","1028","","0","992","36","1028","64","964","63","43","191","242","390","10","25","29.10.12"
"590793","162","Сумська область","школа №6, хол, 1-й поверх
вул.Першогвардійська, 35, м.Лебедин, Сумська обл., 42200","1928","845","1879","54","1040","43","1083","","0","1040","43","1083","36","1047","64","47","187","279","444","6","20","29.10.12"
"590794","162","Сумська область","вище професійне училище лісового господарства, хол, 1-й поверх
вул.19 Серпня, 61, м.Лебедин, Сумська обл., 42200","1112","508","1106","32","576","28","604","","0","576","28","604","23","581","36","29","134","138","217","3","24","29.10.12"
"590795","162","Сумська область","медичне училище, хол, 1-й поверх
вул.Карла Маркса, 17, м.Лебедин, Сумська обл., 42200","1656","696","1623","46","925","35","960","","0","925","35","960","30","930","43","33","240","194","384","7","29","29.10.12"
"590796","162","Сумська область","школа №4, спортивна зала
вул.Чапаєва, 1, м.Лебедин, Сумська обл., 42200","1688","748","1673","56","896","44","940","","0","896","44","940","42","898","53","54","219","209","326","10","27","29.10.12"
"590797","162","Сумська область","школа №7, хол, 1-й поверх
вул.Сумська, 9, м.Лебедин, Сумська обл., 42200","1896","970","1861","67","864","62","926","","0","864","62","926","45","881","66","51","205","207","322","4","26","29.10.12"
"590798","162","Сумська область","педагогічне училище, хол, 1-й поверх
вул.Леніна, 73, м.Лебедин, Сумська обл., 42200","1888","895","1849","34","964","29","993","","0","964","29","993","38","955","102","48","241","164","366","4","30","29.10.12"
"590799","162","Сумська область","філія ""Дорбудсервіс"", зал засідань
вул.Сумська, 76, м.Лебедин, Сумська обл., 42200","1152","558","1149","46","556","38","594","","1","556","37","593","18","575","57","31","115","141","208","3","20","01.11.12"
"590800","162","Сумська область","міський клуб, глядацька зала
вул.Кобижча, 139, м.Лебедин, Сумська обл., 42200","1520","716","1483","38","768","36","804","","0","768","36","804","28","776","58","82","133","170","305","8","20","29.10.12"
"590801","162","Сумська область","школа №3, хол, 1-й поверх
пл.Зуєва, 3, м.Лебедин, Сумська обл., 42200","1736","859","1717","38","840","37","877","","0","840","37","877","70","807","54","81","170","168","303","3","28","29.10.12"
"590802","162","Сумська область","клуб ВАТ ""Хлібоприймальне підприємство"", глядацька зала
вул.Горячова, 2, м.Лебедин, Сумська обл., 42200","1760","830","1728","30","900","30","930","","0","900","30","930","51","879","77","49","183","187","349","7","27","29.10.12"
"590803","162","Сумська область","центр культури і дозвілля, глядацька зала
вул.Гастелло, 100, м.Лебедин, Сумська обл., 42200","1984","877","1937","24","1088","19","1107","","0","1088","19","1107","41","1066","70","65","308","261","334","10","18","29.10.12"
"590804","162","Сумська область","клуб санаторію ""Токарі"", глядацька зала
вул.Санаторна, 96, с.Токарі, м.Лебедин, Сумська обл., 42215","256","87","261","30","141","28","169","","0","141","28","169","4","165","5","4","49","49","52","0","6","28.10.12"
"590805","162","Сумська область","сільський клуб, глядацька зала
вул.Бишкінська, 19, с.Куданівка, м.Лебедин, Сумська обл., 42200","200","84","200","5","113","3","116","","0","113","3","116","6","110","4","12","19","45","26","1","3","29.10.12"
"590806","162","Сумська область","центральна районна лікарня, центральний хол дитячої поліклініки
вул.Першогвардійська, 17, м.Лебедин, Сумська обл., 42200","152","88","71","48","16","48","64","","0","16","48","64","3","61","4","4","17","22","11","0","3","29.10.12"
"590807","162","Сумська область","Будинок молоді Охтирського професійного ліцею, дискозал
вул.Жовтнева, 1, м.Охтирка, Сумська обл., 42703","2440","1127","2392","46","1274","39","1313","","0","1274","39","1313","58","1255","202","7","159","304","560","14","9","29.10.12"
"590808","162","Сумська область","гімназія №1, їдальня
вул.Фрунзе, 4, м.Охтирка, Сумська обл., 42706","2480","1112","2457","40","1332","36","1368","","0","1332","36","1368","73","1295","193","12","161","321","585","10","13","29.10.12"
"590809","162","Сумська область","коледж Сумського національного аграрного університету, гуртожиток №2, актова зала
вул.Фрунзе, 46, м.Охтирка, Сумська обл., 42706","2216","1085","2180","31","1102","29","1131","","0","1102","29","1131","51","1080","171","8","133","243","507","8","10","29.10.12"
"590810","162","Сумська область","школа №11, їдальня
вул.Фрунзе, 223, м.Охтирка, Сумська обл., 42706","2112","975","2085","12","1125","12","1137","","0","1125","12","1137","107","1030","169","11","148","208","481","3","10","29.10.12"
"590811","162","Сумська область","ТОВ ""Водоторгприлад"" водозабір Гусинка, приміщення контори, лабораторія, 2-й поверх
вул.Фрунзе, 260А, м.Охтирка, Сумська обл., 42706","1176","624","1144","16","536","16","552","","0","536","16","552","35","517","89","4","50","126","237","3","8","29.10.12"
"590812","162","Сумська область","адмінбудівля колишньої школи №10, коридор
пров.Глінки, 2, м.Охтирка, Сумська обл., 42701","1416","699","1388","26","697","20","717","","0","697","20","717","40","677","119","6","79","151","307","9","6","29.10.12"
"590813","162","Сумська область","школа №1, спортивна зала
вул.Леніна, 2, м.Охтирка, Сумська обл., 42706","2336","948","2269","134","1266","122","1388","","0","1266","122","1388","65","1323","261","18","187","298","530","16","13","29.10.12"
"590814","162","Сумська область","школа №2, фойє
пров.Сумський, 35, м.Охтирка, Сумська обл., 42706","2104","918","2068","27","1159","27","1186","","0","1159","27","1186","63","1123","172","6","133","245","555","9","3","29.10.12"
"590815","162","Сумська область","адмінбудівля колишньої школи №7, фойє
вул.Леніна, 104, м.Охтирка, Сумська обл., 42706","1632","767","1605","19","847","18","865","","0","847","18","865","30","835","148","10","97","186","376","5","13","29.10.12"
"590816","162","Сумська область","КУ ""Охтирський міський територіальний центр соціального обслуговування населення"", актова зала
пров.Тельмана, 1, м.Охтирка, Сумська обл., 42701","1792","786","1758","32","977","29","1006","","0","977","29","1006","37","969","157","7","146","184","458","3","14","29.10.12"
"590817","162","Сумська область","школа №3, спортивна зала
вул.Шевченка, 22, м.Охтирка, Сумська обл., 42701","2432","1190","2385","43","1203","39","1242","","0","1203","39","1242","86","1156","196","3","124","262","554","5","12","29.10.12"
"590818","162","Сумська область","школа №8, к.18, к.19
вул.Гоголя, 30А, м.Охтирка, Сумська обл., 42706","2064","905","2038","19","1140","19","1159","","0","1140","19","1159","47","1112","233","11","99","237","504","9","19","29.10.12"
"590819","162","Сумська область","адмінбудівля ПрАТ ""Зоря"", кабінет бухгалтерії, 1-й поверх
пров.Радсело, 4, м.Охтирка, Сумська обл., 42706","1328","638","1305","22","673","17","690","","0","673","17","690","28","662","139","6","38","150","321","5","3","29.10.12"
"590820","162","Сумська область","школа №4, класна кімната
вул.Пушкіна, 2, м.Охтирка, Сумська обл., 42703","2336","1098","2302","30","1220","18","1238","","0","1220","18","1238","56","1182","240","9","120","244","552","8","9","29.10.12"
"590821","162","Сумська область","школа №9, класна кімната
вул.Короленка, 2, м.Охтирка, Сумська обл., 42705","2384","1061","2331","33","1295","28","1323","","0","1295","28","1323","74","1249","213","13","103","266","639","8","7","29.10.12"
"590822","162","Сумська область","школа №5, коридор
вул.Червоноармійська, 107, м.Охтирка, Сумська обл., 42704","2048","908","2015","33","1112","28","1140","","0","1112","28","1140","66","1074","158","9","197","305","386","7","12","29.10.12"
"590823","162","Сумська область","дитяча художня школа, фойє, 2-й поверх
вул.Червоноармійська, 117, м.Охтирка, Сумська обл., 42704","2040","898","2000","28","1122","20","1142","","0","1122","20","1142","57","1084","133","8","180","273","466","3","21","29.10.12"
"590824","162","Сумська область","гуртожиток НГВУ ""Охтирканафтогаз"", актова зала
вул.Київська, 94, м.Охтирка, Сумська обл., 42704","1936","910","1901","17","1010","16","1026","","0","1010","16","1026","61","965","144","7","153","283","367","4","7","29.10.12"
"590825","162","Сумська область","Охтирська філія ТОВ ""Брок-Енергія"", конференцзала, 2-й поверх
вул.Снайпера, 13, м.Охтирка, Сумська обл., 42704","1720","864","1686","10","847","9","856","","0","847","9","856","45","811","121","7","63","182","420","11","7","28.10.12"
"590826","162","Сумська область","Охтирська ЦРЛ, актова зала
вул.Фрунзе, 57, м.Охтирка, Сумська обл., 42706","392","215","180","67","111","66","177","","0","111","66","177","5","172","25","2","12","81","49","1","2","29.10.12"
