"№ ВД","OBO","Назва регіону України","Місцезнаходження та адреса приміщення для голосування","1) К-сть одержаних бюлетенів","2) К-сть невикористаних бюлетенів","3) К-сть виборців, внесених до списку виборців","4) К-сть виборців, внесених до витягу зі списку виборців","5) К-сть виборців, які отримали бюлетені у приміщенні","6) К-сть виборців, які отримали за місцем перебування","7) Сумарна к-сть виборців, які отримали бюлетені","8) К-сть бюлетенів, що виявилися у кожній скринці","9) К-сть бюлетенів, що не підлягають врахуванню","10) К-сть виборців, які взяли участь у голос. у приміщенні для гол.","11) К-сть виборців, які взяли участь у голос. за місцем перебування","12) К-сть виборців, які взяли участь у голосуванні на виборчій дільниці","13) К-сть бюлетенів, визнаних недійсними","14) Сумарна к-сть голосів виборців ЗА","Богатирьов
"740415","208","Чернігівська область","філія ""Менський райавтодор"", актова зала
вул.Жовтнева, 82, м.Мена, Менський р-н, Чернігівська обл., 15600","1972","820","1940","51","1104","48","1152","","0","1104","48","1152","44","1108","8","9","28","6","15","221","593","35","170","5","5","5","8","29.10.12"
"740416","208","Чернігівська область","клуб СК ""Авангард"", актова зала
вул.Свердлова, 28, м.Мена, Менський р-н, Чернігівська обл., 15600","1304","532","1286","35","744","28","772","","0","744","28","772","31","741","2","5","147","13","6","6","414","12","121","1","7","1","6","29.10.12"
"740417","208","Чернігівська область","селищна рада, зала засідань
вул.Радянська, 2А, смт Березна, Менський р-н, Чернігівська обл., 15622","1400","659","1386","42","706","35","741","","0","706","35","741","41","700","16","6","145","9","7","5","373","18","106","3","2","5","5","29.10.12"
"740418","208","Чернігівська область","школа, фойє
вул.Домницька, 18, смт Березна, Менський р-н, Чернігівська обл., 15622","1280","612","1268","45","635","33","668","","0","635","33","668","30","638","4","7","166","6","3","2","350","13","76","3","6","2","0","28.10.12"
"740419","208","Чернігівська область","школа, фойє
вул.Петропавлівська, 41, смт Березна, Менський р-н, Чернігівська обл., 15622","1148","585","1137","51","514","49","563","","0","514","49","563","35","528","10","3","127","7","2","6","316","17","27","2","5","2","4","30.10.12"
"740420","208","Чернігівська область","будинок культури, танцювальна зала
вул.К.Маркса, 5, смт Макошине, Менський р-н, Чернігівська обл., 15652","920","372","850","56","499","49","548","","0","499","49","548","19","529","4","5","155","10","4","3","281","15","44","2","3","0","3","29.10.12"
"740421","208","Чернігівська область","лікарня, вестибюль
вул.Свердлова, 11, смт Макошине, Менський р-н, Чернігівська обл., 15652","960","368","943","65","530","62","592","","0","530","62","592","22","570","9","5","185","4","3","4","247","31","72","3","1","1","5","29.10.12"
"740422","208","Чернігівська область","сільський клуб, актова зала
вул.Короленка, 24, с.Остапівка, Менський р-н, Чернігівська обл., 15652","92","10","97","19","64","18","82","","0","64","18","82","5","77","0","0","22","0","0","0","49","2","3","0","0","1","0","29.10.12"
"740423","208","Чернігівська область","сільський клуб, фойє
вул.Жовтнева, 43, с.Бігач, Менський р-н, Чернігівська обл., 15621","292","101","281","33","158","33","191","","0","158","33","191","5","186","2","4","55","0","2","1","111","4","5","0","0","0","2","29.10.12"
"740424","208","Чернігівська область","школа, фойє
пров.Шкільний, 2, с.Бірківка, Менський р-н, Чернігівська обл., 15674","592","159","582","57","380","53","433","","0","380","53","433","17","416","4","2","153","4","0","0","202","8","40","0","1","1","1","29.10.12"
"740425","208","Чернігівська область","сільська рада, фойє
вул.Мацуєва, 1, с.Блистова, Менський р-н, Чернігівська обл., 15675","720","239","715","55","430","51","481","","0","430","51","481","23","458","4","4","161","3","7","0","167","9","94","1","5","0","3","29.10.12"
"740426","208","Чернігівська область","сільський клуб, актова зала
вул.Леніна, 57, с.Величківка, Менський р-н, Чернігівська обл., 15641","604","205","593","35","367","32","399","","0","367","32","399","8","391","1","1","99","2","1","5","229","17","27","2","1","2","4","29.10.12"
"740427","208","Чернігівська область","сільська рада, зала засідань
вул.1 Травня, 41, с.Волосківці, Менський р-н, Чернігівська обл., 15632","592","195","578","68","341","56","397","","0","341","56","397","15","382","4","4","50","4","1","2","260","17","32","1","6","1","0","28.10.12"
"740428","208","Чернігівська область","сільський клуб, фойє
вул.1 Травня, 19, с.Степанівка, Менський р-н, Чернігівська обл., 15632","260","60","254","24","179","21","200","","0","179","21","200","4","196","0","0","78","0","0","0","96","9","11","0","2","0","0","28.10.12"
"740429","208","Чернігівська область","будинок культури, актова зала
вул.Шевченка, 27, с.Городище, Менський р-н, Чернігівська обл., 15631","652","241","643","39","381","30","411","","0","381","30","411","16","395","2","3","99","6","0","4","252","3","19","0","4","1","2","29.10.12"
"740430","208","Чернігівська область","сільська рада, зала засідань
вул.Миру, 56, с.Данилівка, Менський р-н, Чернігівська обл., 15642","392","84","387","30","281","27","308","","0","281","27","308","10","298","2","1","126","4","1","2","108","10","43","0","0","0","1","29.10.12"
"740431","208","Чернігівська область","сільська рада, фойє
вул.Леніна, 19, с.Дягова, Менський р-н, Чернігівська обл., 15670","656","232","644","43","382","42","424","","0","382","42","424","17","407","3","0","75","19","3","3","235","18","44","2","1","1","3","28.10.12"
"740432","208","Чернігівська область","школа, фойє
вул.Жовтнева, 46, с.Жовтневе, Менський р-н, Чернігівська обл., 15650","788","251","774","80","459","78","537","","0","459","78","537","23","514","6","3","190","4","3","1","245","14","40","2","2","3","1","29.10.12"
"740433","208","Чернігівська область","сільська рада, бухгалтерія
вул.Осипенка, 39, с.Киселівка, Менський р-н, Чернігівська обл., 15640","932","374","918","96","475","83","558","","0","475","83","558","18","540","6","3","180","3","5","4","276","26","26","1","4","2","4","29.10.12"
"740434","208","Чернігівська область","будинок культури, кімната дозвілля
вул.Леніна, 34, с.Куковичі, Менський р-н, Чернігівська обл., 15655","776","222","765","64","495","59","554","","0","495","59","554","39","515","4","5","133","3","8","0","285","10","47","2","10","2","6","29.10.12"
"740435","208","Чернігівська область","сільський клуб, актова зала
вул.Леніна, 23Б, с.Пам’ять Леніна, Менський р-н, Чернігівська обл., 15655","140","34","134","11","95","11","106","","0","95","11","106","4","102","1","0","38","1","0","2","40","2","14","1","0","3","0","29.10.12"
"740436","208","Чернігівська область","школа, коридор
вул.Червона Площа, 4, с.Ленінівка, Менський р-н, Чернігівська обл., 15620","544","188","536","54","310","46","356","","0","310","46","356","9","347","3","2","90","2","5","2","193","16","26","3","1","1","3","29.10.12"
"740437","208","Чернігівська область","сільський клуб, актова зала
вул.Котовського, 1А, с.Климентинівка, Менський р-н, Чернігівська обл., 15620","208","52","203","50","112","44","156","","0","112","44","156","10","146","0","1","57","1","0","1","71","4","9","0","1","0","1","28.10.12"
"740438","208","Чернігівська область","сільський клуб, актова зала
вул.Леніна, 7, с.Лугове, Менський р-н, Чернігівська обл., 15620","72","27","68","17","32","13","45","","0","32","13","45","0","45","0","0","14","1","1","0","22","4","2","0","0","0","1","29.10.12"
"740439","208","Чернігівська область","будинок культури, танцювальна зала
вул.Шевченка, 34В, с.Ліски, Менський р-н, Чернігівська обл., 15672","408","105","405","22","281","22","303","","0","281","22","303","14","289","2","2","77","3","2","1","162","4","26","1","6","0","3","29.10.12"
"740440","208","Чернігівська область","сільський клуб, актова зала
вул.Піонерська, 4, с.Майське, Менський р-н, Чернігівська обл., 15672","124","24","122","23","79","21","100","","0","79","21","100","2","98","1","1","26","0","0","0","58","3","8","0","0","1","0","28.10.12"
"740441","208","Чернігівська область","сільський клуб, актова зала
вул.Осипенка, 89, с.Максаки, Менський р-н, Чернігівська обл., 15681","260","54","254","39","167","39","206","","0","167","39","206","3","203","1","0","57","1","0","0","128","1","14","0","0","1","0","29.10.12"
"740442","208","Чернігівська область","школа, коридор
вул.Перемоги, 2А, с.Локнисте, Менський р-н, Чернігівська обл., 15660","896","340","880","96","464","92","556","","0","464","92","556","32","524","4","2","167","2","2","3","272","10","52","2","4","1","3","28.10.12"
"740443","208","Чернігівська область","школа, коридор
вул.Радянська, 27А, с.Гусавка, Менський р-н, Чернігівська обл., 15660","420","114","411","48","262","44","306","","0","262","44","306","18","288","1","4","120","2","1","4","107","8","36","1","1","1","2","29.10.12"
"740444","208","Чернігівська область","школа, спортзала
вул.Леніна, 32, с.Миколаївка, Менський р-н, Чернігівська обл., 15663","648","237","635","35","379","32","411","","0","379","32","411","8","403","2","4","134","1","2","3","209","7","34","3","3","1","0","29.10.12"
"740445","208","Чернігівська область","фельдшерсько-акушерський пункт, коридор
вул.Першотравнева, 5, с.Гребля, Менський р-н, Чернігівська обл., 15663","128","33","127","27","70","25","95","","0","70","25","95","6","89","1","0","26","0","1","2","45","1","6","1","5","0","1","30.10.12"
"740446","208","Чернігівська область","сільський клуб, актова зала
вул.Шевченка, 75, с.Осьмаки, Менський р-н, Чернігівська обл., 15673","432","117","423","46","273","42","315","","0","273","42","315","14","301","3","3","109","8","1","3","146","6","16","1","1","1","3","29.10.12"
"740447","208","Чернігівська область","будинок культури, актова зала
вул.Перемоги, 5А, с.Семенівка, Менський р-н, Чернігівська обл., 15662","580","194","566","79","322","64","386","","0","322","64","386","12","374","1","2","105","13","0","2","176","4","60","0","1","3","7","29.10.12"
"740448","208","Чернігівська область","контора КСП ""Полісся"", актова зала
вул.Леніна, 91, с.Синявка, Менський р-н, Чернігівська обл., 15630","744","252","730","57","445","47","492","","0","445","47","492","14","478","1","2","79","5","3","2","328","16","33","4","3","2","0","29.10.12"
"740449","208","Чернігівська область","сільська рада, зала засідань
вул.Братів Федоренків, 27, с.Слобідка, Менський р-н, Чернігівська обл., 15651","380","111","373","38","232","37","269","","0","232","37","269","10","259","0","1","109","3","0","1","115","6","22","2","0","0","0","29.10.12"
"740450","208","Чернігівська область","школа, фойє
вул.Леніна, 15, с.Стольне, Менський р-н, Чернігівська обл., 15661","1420","640","1438","101","715","65","780","","0","715","65","780","36","744","5","2","204","22","3","5","417","11","54","1","14","2","4","29.10.12"
"740451","208","Чернігівська область","сільський клуб, актова зала
вул.Пролетарська, 22, с.Ушня, Менський р-н, Чернігівська обл., 15676","516","123","507","113","300","93","393","","0","300","93","393","15","378","0","3","88","6","5","6","224","4","34","1","4","0","3","29.10.12"
"740452","208","Чернігівська область","будинок культури, фойє
вул.Леніна, 31, с.Феськівка, Менський р-н, Чернігівська обл., 15671","936","359","921","20","560","17","577","","0","560","17","577","20","557","1","4","123","5","3","9","328","14","58","0","3","4","5","29.10.12"
"740453","208","Чернігівська область","сільська рада, к.2
вул.Перемоги, 2, с-ще Чапаєвка, Менський р-н, Чернігівська обл., 15643","300","80","293","27","196","24","220","","0","196","24","220","3","217","1","0","134","0","0","1","68","4","7","0","0","0","2","28.10.12"
"740454","208","Чернігівська область","районна лікарня, бібліотека
вул.Шевченка, 61А, м.Мена, Менський р-н, Чернігівська обл., 15600","204","159","60","22","24","21","45","","0","24","21","45","3","42","2","1","10","0","0","2","25","1","1","0","0","0","0","29.10.12"
"740455","208","Чернігівська область","Менська виправна колонія №91, фойє клубу
пров.Леніна, 5, смт Макошине, Менський р-н, Чернігівська обл., 15652","640","47","593","0","593","0","593","","0","593","0","593","87","506","45","42","95","25","13","28","63","29","60","17","22","22","45","28.10.12"
"740456","208","Чернігівська область","Домницький виправний центр №135, фойє клубу
вул.Лісова, 1, с-ще Домниця, Менський р-н, Чернігівська обл., 15663","220","4","216","0","216","0","216","","0","216","0","216","8","208","2","6","160","4","1","4","15","2","7","2","2","0","3","29.10.12"
"740783","208","Чернігівська область","сільський будинок культури, фойє
вул.Слави, 1, с.Березівка, Талалаївський р-н, Чернігівська обл., 17252","420","107","417","44","272","41","313","","0","272","41","313","11","302","2","1","45","3","3","1","228","10","6","1","0","0","2","28.10.12"
"740784","208","Чернігівська область","сільський будинок культури, фойє
вул.Миру, 16, с.Болотниця, Талалаївський р-н, Чернігівська обл., 17240","344","51","358","54","239","54","293","","0","239","54","293","9","284","0","1","98","3","11","1","149","3","17","0","0","1","0","28.10.12"
"740785","208","Чернігівська область","сільський будинок культури, фойє
вул.Леніна, 21А, с.Корінецьке, Талалаївський р-н, Чернігівська обл., 17220","316","86","310","41","193","37","230","","0","193","37","230","7","223","1","0","49","7","8","0","132","10","16","0","0","0","0","28.10.12"
"740786","208","Чернігівська область","сільський будинок культури, фойє
вул.30-річчя Перемоги, 16, с.Красний Колядин, Талалаївський р-н, Чернігівська обл., 17210","784","275","774","82","439","70","509","","0","439","70","509","19","490","1","4","68","6","37","1","318","28","21","2","4","0","0","28.10.12"
"740787","208","Чернігівська область","сільський будинок культури, фойє
вул.Центральна, 18, с.Липове, Талалаївський р-н, Чернігівська обл., 17222","668","244","658","53","374","50","424","","0","374","50","424","8","416","0","0","83","4","8","0","278","13","26","0","1","1","2","29.10.12"
"740788","208","Чернігівська область","будинок народної творчості, фойє
вул.Шкільна, 4, с.Скороходове, Талалаївський р-н, Чернігівська обл., 17223","556","211","512","29","320","25","345","","0","320","25","345","12","333","0","5","62","3","9","0","198","19","32","0","3","1","1","28.10.12"
"740789","208","Чернігівська область","сільський будинок культури, фойє
вул.Кірова, 12А, с.Понори, Талалаївський р-н, Чернігівська обл., 17221","264","60","262","23","184","20","204","","0","184","20","204","2","202","0","1","33","13","3","0","119","8","23","0","2","0","0","28.10.12"
"740790","208","Чернігівська область","сільська рада, актова зала
вул.Ватутіна, 1, с.Поповичка, Талалаївський р-н, Чернігівська обл., 17242","228","68","222","30","130","30","160","","0","130","30","160","6","154","0","1","57","6","30","0","46","5","6","0","1","0","2","28.10.12"
"740791","208","Чернігівська область","сільський будинок культури, фойє
вул.Чоботька, 23, с.Обухове, Талалаївський р-н, Чернігівська обл., 17241","168","30","162","25","114","24","138","","0","114","24","138","2","136","0","1","29","3","20","1","56","17","2","0","6","1","0","28.10.12"
"740792","208","Чернігівська область","фельдшерсько-акушерський пункт, коридор
вул.Садова, 12А, с.Рябухи, Талалаївський р-н, Чернігівська обл., 17212","200","44","193","24","133","23","156","","0","133","23","156","6","150","3","0","13","3","3","0","107","15","4","0","1","0","1","28.10.12"
"740793","208","Чернігівська область","фельдшерсько-акушерський пункт, коридор
вул.Набережна, 29А, с.Грицівка, Талалаївський р-н, Чернігівська обл., 17213","116","32","109","9","75","9","84","","0","75","9","84","1","83","0","0","23","5","1","0","42","4","8","0","0","0","0","28.10.12"
"740794","208","Чернігівська область","фельдшерсько-акушерський пункт, коридор
вул.Вишнева, 12А, с.Петьків, Талалаївський р-н, Чернігівська обл., 17214","116","26","112","22","69","21","90","","0","69","21","90","1","89","0","0","59","4","0","0","19","2","3","1","1","0","0","28.10.12"
"740795","208","Чернігівська область","школа, фойє
вул.Лесі Українки, 12, с.Червоний Плугатар, Талалаївський р-н, Чернігівська обл., 17215","216","43","212","25","149","24","173","","0","149","24","173","2","171","0","1","52","1","6","0","82","15","10","0","3","0","1","28.10.12"
"740796","208","Чернігівська область","сільський будинок культури, фойє
вул.Гагаріна, 55, с.Сильченкове, Талалаївський р-н, Чернігівська обл., 17260","544","142","525","53","354","48","402","","0","354","48","402","11","391","0","0","61","9","3","2","248","10","49","0","7","1","1","28.10.12"
"740797","208","Чернігівська область","сільський будинок культури, фойє
вул.Ковпака, 1А, с.Слобідка, Талалаївський р-н, Чернігівська обл., 17261","136","38","131","14","86","12","98","","0","86","12","98","2","96","0","0","38","2","1","0","44","3","6","1","0","1","0","28.10.12"
"740798","208","Чернігівська область","фельдшерсько-акушерський пункт, коридор
вул.Першотравнева, 28, с-ще Основа, Талалаївський р-н, Чернігівська обл., 17262","72","10","74","6","57","5","62","","0","57","5","62","2","60","0","0","23","4","4","0","23","2","4","0","0","0","0","28.10.12"
"740799","208","Чернігівська область","школа, фойє
вул.Незалежності, 3, с.Українське, Талалаївський р-н, Чернігівська обл., 17230","388","97","385","46","250","41","291","","0","250","41","291","8","283","0","0","33","4","10","0","208","11","2","0","8","0","7","28.10.12"
"740800","208","Чернігівська область","фельдшерсько-акушерський пункт, коридор
вул.Шевченка, 10, с.Займище, Талалаївський р-н, Чернігівська обл., 17231","116","32","111","8","76","8","84","","0","76","8","84","2","82","0","0","9","1","1","0","65","4","1","0","0","0","1","28.10.12"
"740801","208","Чернігівська область","сільський будинок культури, фойє
вул.Науменка, 44, с.Харкове, Талалаївський р-н, Чернігівська обл., 17270","368","113","365","25","233","22","255","","0","233","22","255","8","247","1","0","53","3","8","0","122","43","14","0","3","0","0","28.10.12"
"740802","208","Чернігівська область","сільський будинок культури, фойє
вул.Новосельна, 9, с.Новоселівка, Талалаївський р-н, Чернігівська обл., 17271","164","41","160","14","112","11","123","","0","112","11","123","9","114","0","0","21","3","2","0","74","8","6","0","0","0","0","28.10.12"
"740803","208","Чернігівська область","сільський будинок культури, фойє
вул.Перемоги, 37, с.Чернецьке, Талалаївський р-н, Чернігівська обл., 17263","496","149","484","33","319","28","347","","0","319","28","347","6","341","0","1","39","12","5","0","274","6","3","0","0","1","0","28.10.12"
"740804","208","Чернігівська область","сільська рада, актова зала
вул.40-річчя Перемоги, 11, с.Юрківці, Талалаївський р-н, Чернігівська обл., 17250","160","36","157","13","112","12","124","","0","112","12","124","1","123","0","0","18","3","5","1","87","2","5","0","1","1","0","28.10.12"
"740805","208","Чернігівська область","контора ТОВ ""Лісогір"", фойє
вул.Шевченка, 25, с.Довгалівка, Талалаївський р-н, Чернігівська обл., 17251","224","48","221","19","157","19","176","","0","157","19","176","4","172","0","0","30","2","2","0","106","10","19","1","0","1","1","28.10.12"
"740806","208","Чернігівська область","районний будинок культури, фойє
вул.Леніна, 24, смт Талалаївка, Талалаївський р-н, Чернігівська обл., 17200","1708","706","1666","24","982","20","1002","","0","982","20","1002","16","986","2","4","139","11","59","2","581","74","95","0","16","2","1","28.10.12"
"740807","208","Чернігівська область","школа мистецтв, фойє
вул.Пролетарська, 30А, смт Талалаївка, Талалаївський р-н, Чернігівська обл., 17200","712","255","709","22","438","19","457","","0","438","19","457","8","449","0","0","60","4","14","2","288","34","34","1","10","0","2","29.10.12"
"740808","208","Чернігівська область","селищний будинок культури, кінозал
вул.Петровського, 47, смт Талалаївка, Талалаївський р-н, Чернігівська обл., 17200","1004","392","986","30","589","23","612","","0","589","23","612","10","602","2","0","100","9","19","0","376","25","62","0","5","2","2","28.10.12"
"740809","208","Чернігівська область","школа, фойє
вул.Радянська, 38, смт Талалаївка, Талалаївський р-н, Чернігівська обл., 17200","848","338","832","15","496","14","510","","0","496","14","510","22","488","1","1","71","3","16","1","330","36","26","0","2","0","1","29.10.12"
"740810","208","Чернігівська область","центральна районна лікарня, каб.11
вул.Леніна, 63, смт Талалаївка, Талалаївський р-н, Чернігівська обл., 17200","56","21","46","19","20","15","35","","0","20","15","35","1","34","0","0","10","0","2","0","17","1","3","0","1","0","0","29.10.12"
